lsoa,self_employed_share,part_time_employee_share,unemployed_share
E01000376,0.09727626459143969,0.14396887159533073,0.022568093385214007
E01000377,0.10123456790123457,0.1102880658436214,0.03950617283950617
E01000379,0.09216255442670537,0.12119013062409288,0.02902757619738752
E01000380,0.08513513513513514,0.12837837837837837,0.02972972972972973
E01000381,0.10398749022673964,0.11962470680218922,0.029710711493354185
E01000382,0.10989867498051442,0.10054559625876851,0.01636788776305534
E01000383,0.11136712749615975,0.1259600614439324,0.03763440860215054
E01000384,0.10285714285714286,0.11142857142857143,0.03214285714285714
E01000385,0.08906882591093117,0.12887989203778677,0.047908232118758436
E01000386,0.07886178861788617,0.11463414634146342,0.03983739837398374
E01000387,0.0811232449297972,0.10842433697347893,0.030421216848673948
E01000388,0.09951456310679611,0.09951456310679611,0.015372168284789644
E01000389,0.1111913357400722,0.09891696750902527,0.023104693140794223
E01000390,0.11069767441860465,0.11255813953488372,0.025116279069767444
E01000391,0.11127272727272727,0.128,0.032
E01000392,0.11237458193979934,0.1391304347826087,0.036120401337792644
E01000393,0.12724550898203593,0.13248502994011976,0.030688622754491017
E01000394,0.09730538922155689,0.09880239520958084,0.029191616766467067
E01000395,0.10223642172523961,0.13099041533546327,0.01597444089456869
E01000396,0.09836065573770492,0.13201035375323555,0.026747195858498704
E01000398,0.08218125960061444,0.11904761904761904,0.04531490015360983
E01000399,0.11919504643962849,0.12538699690402477,0.029411764705882353
E01000400,0.09938366718027734,0.1140215716486903,0.03543913713405239
E01000401,0.088659793814433,0.12027491408934708,0.03848797250859107
E01000402,0.07338709677419354,0.11129032258064517,0.037096774193548385
E01000403,0.0851528384279476,0.10753275109170306,0.0425764192139738
E01000404,0.08274231678486997,0.11583924349881797,0.057328605200945626
E01000405,0.09862778730703259,0.1260720411663808,0.04974271012006861
E01000406,0.12179887570268583,0.1311680199875078,0.04372267332916927
E01000407,0.09354413702239789,0.1152832674571805,0.017786561264822136
E01000408,0.0976882923191648,0.1185682326621924,0.041014168530947054
E01000409,0.10530137981118373,0.12200435729847495,0.025417574437182282
E01000410,0.11591962905718702,0.13446676970633695,0.023183925811437404
E01000411,0.11001642036124795,0.12643678160919541,0.031198686371100164
E01000412,0.12011577424023155,0.12590448625180897,0.02894356005788712
E01000413,0.11090909090909092,0.10909090909090909,0.028181818181818183
E01000414,0.10851202079272254,0.1111111111111111,0.03833658219623132
E01000415,0.10177705977382875,0.11793214862681745,0.027463651050080775
E01000416,0.0950191570881226,0.12643678160919541,0.04597701149425287
E01000417,0.12643678160919541,0.10704022988505747,0.03017241379310345
E01000418,0.1119109947643979,0.11910994764397906,0.04581151832460733
E01000419,0.11093117408906883,0.10283400809716599,0.022672064777327937
E01000420,0.09758064516129032,0.13064516129032258,0.018548387096774192
E01000421,0.10038910505836576,0.12373540856031129,0.02178988326848249
E01000422,0.10295616717635066,0.1325178389398573,0.06931702344546381
E01000423,0.11153846153846154,0.10923076923076923,0.025384615384615384
E01000424,0.09121171770972038,0.08655126498002663,0.03195739014647137
E01000425,0.09595613433858807,0.10897875257025359,0.0205620287868403
E01000426,0.11518708730741012,0.11958914159941306,0.027879677182685254
E01000427,0.08272946859903382,0.10628019323671498,0.024758454106280192
E01000428,0.07343550446998723,0.11174968071519796,0.03065134099616858
E01000429,0.07358953393295176,0.12755519215044972,0.05560098119378577
E01000430,0.09461235216819974,0.12417871222076216,0.04664914586070959
E01000431,0.08105147864184009,0.11391018619934283,0.05257393209200438
E01000433,0.10886252616887648,0.12491277041172366,0.05512909979064899
E01000434,0.07125307125307126,0.15233415233415235,0.04832104832104832
E01000435,0.0912280701754386,0.10877192982456141,0.05
E01000436,0.08589835361488905,0.1474588403722262,0.012884753042233358
E01000437,0.0972972972972973,0.13513513513513514,0.032432432432432434
E01000438,0.08934169278996865,0.11990595611285267,0.034482758620689655
E01000439,0.09506398537477148,0.1170018281535649,0.048446069469835464
E01000440,0.08680851063829788,0.12425531914893617,0.022127659574468085
E01000441,0.0811419984973704,0.1457550713749061,0.05108940646130729
E01000442,0.09576023391812866,0.1154970760233918,0.029970760233918127
E01000443,0.10351377018043685,0.09971509971509972,0.02184235517568851
E01000444,0.1162280701754386,0.10891812865497076,0.02046783625730994
E01000445,0.09660766961651918,0.10988200589970501,0.015486725663716814
E01000446,0.10310965630114566,0.1407528641571195,0.018821603927986905
E01000447,0.11356466876971609,0.10599369085173502,0.026498422712933754
E01000448,0.08594449418084155,0.10474485228290063,0.006266786034019696
E01000449,0.10283960092095165,0.08211818879508825,0.021488871834228703
E01000450,0.10129310344827586,0.11781609195402298,0.035201149425287355
E01000451,0.10774647887323943,0.12323943661971831,0.03591549295774648
E01000452,0.10899653979238755,0.1384083044982699,0.025086505190311418
E01000453,0.10446503791069923,0.12636899747262004,0.02695871946082561
