NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2
534,E01002796,2,4356.527999541505,947829.0526123494
534,E01033486,3,679.5903003529781,947829.0526123494
534,E01033487,2,1279.2288173788152,947829.0526123494
534,E01033488,2,61205.845258126865,947829.0526123494
534,E01035707,2,36970.39242490758,947829.0526123494
535,E01000856,2,17268.728416253532,581691.3732109369
535,E01000858,1,20632.038433651112,581691.3732109369
535,E01000860,4,147.00203442226464,581691.3732109369
535,E01000861,2,40719.16728154588,581691.3732109369
535,E01000862,1,132323.97761054803,581691.3732109369
535,E01000863,1,186775.48252110378,581691.3732109369
535,E01000946,1,21245.421418658705,581691.3732109369
535,E01000947,2,6497.01139467457,581691.3732109369
535,E01000948,2,133453.5846951593,581691.3732109369
535,E01000958,2,2564.067507625271,581691.3732109369
535,E01000959,3,6765.380070831246,581691.3732109369
535,E01004730,6,13299.511826463142,581691.3732109369
536,E01032739,1,201900.48643292257,201900.48643292257
537,E01002107,5,137686.40731453893,1966085.0343725423
537,E01002109,5,131547.7557401498,1966085.0343725423
537,E01002110,4,92287.76312092194,1966085.0343725423
537,E01002113,5,238105.36413952825,1966085.0343725423
537,E01002115,5,71408.42921055225,1966085.0343725423
537,E01002116,4,135985.99852963918,1966085.0343725423
537,E01002118,4,203398.2264666503,1966085.0343725423
537,E01002119,4,19858.856103656235,1966085.0343725423
537,E01002120,5,113105.37707220683,1966085.0343725423
537,E01002121,5,109668.51717911124,1966085.0343725423
537,E01002200,5,70637.06406819819,1966085.0343725423
537,E01002203,6,201882.83357818663,1966085.0343725423
537,E01034589,5,318593.1608430168,1966085.0343725423
537,E01034590,6,121919.28100618569,1966085.0343725423
538,E01003515,3,27422.72413662803,743002.6672238654
538,E01034224,3,133764.5337557175,743002.6672238654
538,E01034225,4,333198.6595348154,743002.6672238654
538,E01034226,3,19750.07897348052,743002.6672238654
538,E01034227,3,15510.04717527345,743002.6672238654
538,E01034228,3,51922.31476583206,743002.6672238654
538,E01034230,3,10290.226486771475,743002.6672238654
538,E01034231,6,151144.08239534698,743002.6672238654
540,E01000843,2,9795.456261415926,1019027.9327282018
540,E01000845,2,27045.992694658275,1019027.9327282018
540,E01000846,2,38778.24599236998,1019027.9327282018
540,E01000857,5,85591.85027674078,1019027.9327282018
540,E01000858,1,121353.81352530833,1019027.9327282018
540,E01000859,2,82459.94194852996,1019027.9327282018
540,E01000860,4,146999.4764108859,1019027.9327282018
540,E01000862,1,42423.788183909426,1019027.9327282018
540,E01000900,2,47708.86444568803,1019027.9327282018
540,E01000902,2,60306.43361835264,1019027.9327282018
540,E01000903,3,25737.311536647056,1019027.9327282018
540,E01000904,2,58530.079518308085,1019027.9327282018
540,E01000905,2,52700.52448002546,1019027.9327282018
540,E01000906,2,141755.4047190379,1019027.9327282018
540,E01000948,2,224.9633654931206,1019027.9327282018
540,E01000967,5,58664.503151046796,1019027.9327282018
540,E01004730,6,18951.28259978417,1019027.9327282018
541,E01000914,1,176199.53165379097,546686.6347355053
541,E01000915,1,3022.997414319858,546686.6347355053
541,E01000916,1,30880.079718524154,546686.6347355053
541,E01000917,1,77559.57164210717,546686.6347355053
541,E01000920,1,79823.80555936848,546686.6347355053
541,E01002726,1,1376.2942376196168,546686.6347355053
541,E01004735,1,13163.867137348416,546686.6347355053
541,E01032740,1,164660.4873724267,546686.6347355053
542,E01004733,1,78146.42877104082,211408.6888607576
542,E01004734,1,58699.23187610194,211408.6888607576
542,E01004735,1,49576.67874268585,211408.6888607576
542,E01004736,1,24072.12396275045,211408.6888607576
542,E01032582,1,914.2255081785223,211408.6888607576
545,E01001374,3,6025.731879704914,672783.2078730764
545,E01001377,5,14378.700492519229,672783.2078730764
545,E01001379,5,18.58839759155248,672783.2078730764
545,E01001380,2,93812.97426053984,672783.2078730764
545,E01002687,3,33329.129250199585,672783.2078730764
545,E01002690,5,75531.69899388218,672783.2078730764
545,E01002691,4,25652.668821391428,672783.2078730764
545,E01002692,2,49518.895020615564,672783.2078730764
545,E01002693,2,57656.20139863897,672783.2078730764
545,E01032572,2,141807.5852883719,672783.2078730764
545,E01032573,2,175051.03406962124,672783.2078730764
547,E01003019,4,21005.53324873343,1141951.1545578665
547,E01003026,5,84768.67108724419,1141951.1545578665
547,E01003027,4,63785.637107385075,1141951.1545578665
547,E01003029,2,106439.63851026661,1141951.1545578665
547,E01003032,2,221758.42382875868,1141951.1545578665
547,E01003033,3,87685.18012046284,1141951.1545578665
547,E01003035,2,14726.476519372096,1141951.1545578665
547,E01003036,1,28242.21396356207,1141951.1545578665
547,E01003038,2,56900.44022732435,1141951.1545578665
547,E01003039,1,133133.94921712525,1141951.1545578665
547,E01003040,4,157772.95352148128,1141951.1545578665
547,E01003041,2,110068.95601199806,1141951.1545578665
547,E01003042,2,11601.300562936707,1141951.1545578665
547,E01003054,2,6671.86241616113,1141951.1545578665
547,E01003057,2,37389.91821505477,1141951.1545578665
548,E01003019,4,10967.548909722793,552732.9247635778
548,E01003020,2,159.45328068124616,552732.9247635778
548,E01003053,1,2341.0988380569097,552732.9247635778
