NLC,total_activity,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,max_posterior,entropy,tot_entry,tot_exit
547,43460.13684270918,10.679622411837123,-0.2673751412117841,0.06362576798698483,0.13930699872198998,0.10669117393325797,0.9647151135461993,high,2,1.0,6.8654281447106105e-78,15919.988308653175,27540.148534056007
548,28297.057922668708,10.250548456635869,-0.29229253163074087,0.05922041960857543,0.09977047034538708,0.0989037307785986,0.9866656351025234,high,2,1.0,1.1640977145741404e-29,10013.019612375085,18284.038310293618
549,28768.1633456732,10.267059375332792,-0.4361849644196381,0.04705682129335714,0.07939244271258042,0.07296791216925291,0.7020369732780788,high,0,1.0,1.6412473907881108e-45,8109.961520161199,20658.201825511995
550,5962.36756675847,8.6933906284708,-0.5015055988296232,0.05531525495716146,0.0799284552590307,0.08534289974003367,0.9279199050895466,low,0,1.0,1.9165333248035132e-19,1486.1034248744706,4476.264141884
551,25778.2360646284,10.157324643184776,-0.5534502050312907,0.04359341722252239,0.06351197853834496,0.06816974538714114,0.7626187555072801,medium,0,1.0,4.390544696161849e-37,5755.633014657403,20022.603049971
552,23303.6656195828,10.056408860692013,-0.4843953880254521,0.048508024269824944,0.08053823807443972,0.07516667492344396,0.7712453822005632,medium,0,1.0,5.5369852178147217e-42,6007.7387346847945,17295.926884897995
553,61907.49425448638,11.033412674694105,0.35736091039981266,0.02119585310432245,0.019295901334688875,0.03367861712379901,1.0410102719553331,high,1,1.0,1.1698606657402964e-87,42015.40638092037,19892.087873565983
554,2822.317292891853,7.94566781757762,-0.6869470143909996,0.0621758891135498,0.013144381071384796,0.08875792759619275,0.5515287277482959,low,4,1.0,3.739890711410271e-61,441.76742743785314,2380.549865453999
555,9071.003060412566,9.11294836331454,-0.5169030595192169,0.03837375439872534,0.01798087489288167,0.055614978153278205,0.7031752326055508,low,4,1.0,1.282381679702261e-18,2191.0869127885653,6879.916147624003
556,16764.524725329255,9.727079957267032,-0.5311622199343835,0.039902580420400686,0.016486861088975745,0.058127452083288525,0.6556007198103458,medium,4,1.0,6.125962154189393e-16,3929.921278039253,12834.603447290006
557,5760.9651001935,8.659033858735034,-0.49234040839984117,0.04614073831631793,0.02106138010574435,0.0662204824509776,0.5991131476612006,low,4,1.0,1.4494677006948829e-21,1462.3045949935004,4298.660505199999
558,12159.15254919829,9.405919700605802,-0.4442673723983078,0.044358628105476465,0.06932330214618855,0.06936622776984645,0.8291478407238001,medium,0,1.0,3.4972459082387395e-42,3378.6188977878883,8780.533651410402
560,68658.98600723094,11.136921863213686,-0.3812612215961155,0.03311943349900782,0.06515649999223132,0.04922100201931225,0.8774221917368156,high,0,1.0,1.6612647372264968e-32,21240.988564281724,47417.997442949214
561,7288.316508599102,8.894165063213391,-0.3679423950576134,0.04576381964246468,0.02031329258454131,0.07004372621461734,0.7290628677429541,low,0,1.0,2.569702232019675e-28,2303.3179382436024,4984.9985703555
562,70956.79510947461,11.169840544199053,-0.22143042796416598,0.03757169481392508,0.03849664079502818,0.06118392008856955,0.9655753231799572,high,2,1.0,6.396719084636541e-13,27622.40080070901,43334.3943087656
563,13770.026303190662,9.530322120767467,-0.3471573495262576,0.04299969097946342,0.06429876175700344,0.06537105632787743,0.7685827330679543,medium,0,1.0,1.995944694608074e-48,4494.830234434071,9275.1960687566
564,7581.341401128724,8.933577322908604,-0.5457634767986126,0.04155149415144806,0.01573917802601891,0.06008491408286936,0.6356936924107709,low,4,1.0,5.069269687393374e-16,1721.8610796257235,5859.480321503004
565,21667.2698168856,9.98360424902099,-0.5036083176171402,0.037855902385984005,0.04351808662084258,0.056895092546951166,0.6929426474529822,medium,0,1.0,2.932842754351731e-31,5377.726258523599,16289.543558362002
566,44475.817949744,10.702723387465795,-0.45580904319923116,0.052405189109091165,0.019847090670138373,0.08151289918103767,0.8003262284197267,high,4,0.9999997938735062,3.3793987003017467e-06,12101.66896228401,32374.14898746
567,24239.41128417908,10.095776407208414,-0.4320472215835343,0.03599487992968876,0.008549151028904411,0.05317528418073921,0.714233645577542,medium,0,1.0,3.967772966841706e-25,6883.42049301447,17355.99079116461
568,14931.434918284001,9.611290966203125,-0.5221682531187056,0.041580229693593394,0.06738059999500652,0.06180511968885183,0.8250841582347538,medium,0,1.0,7.271593015142656e-15,3567.356815224,11364.078103059994
569,22066.78616432162,10.001874184492268,0.048825111615241175,0.032822080063765774,0.006481566157347634,0.049816707919563157,0.8277353829939386,medium,2,1.0,4.905914737972757e-13,11572.099730892143,10494.686433429484
570,64580.1103140263,11.07567723701096,-0.1312984484656617,0.03835276413754502,0.0030975625574837847,0.06222434413804185,0.9931446578696926,high,2,1.0,2.295757605555078e-28,28050.42101402668,36529.689299999634
571,8760.745363776408,9.078150406524527,-0.6377612386734803,0.04163678069401736,0.029562678065946483,0.05931134795804089,0.63038618736029,low,4,1.0,2.149882783781716e-40,1586.740774435708,7174.0045893407005
572,11819.574734914298,9.377596913713203,-0.6292400374267466,0.05663684935356729,0.03180757010099506,0.08333819123613925,0.9391900071243686,low,4,0.9999999999997726,8.541883974659841e-12,2191.1125431742994,9628.462191740004
574,127475.47399058186,11.755687108834202,-0.0026837868432137996,0.020381289928225074,0.01669106848857898,0.029787989352677048,1.0689374604505542,high,2,1.0,4.137723561751525e-23,63566.67849532675,63908.79549525513
575,37214.76400824307,10.524487714161223,0.26221707385127396,0.024304471418338483,0.0029042798058477952,0.03475141202813226,0.6562920564647743,high,3,1.0,1.4520207931799595e-37,23486.555265275125,13728.20874296794
