run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
16,10058,7,0,1,0.5833333333333334,0.9333333333333333,0.6086956521739131
16,10058,7,1,6,0.47738693467336685,0.6291390728476821,0.6643356643356644
16,10058,7,2,2,0.4857142857142857,0.5074626865671642,0.918918918918919
16,10058,7,3,3,0.19327731092436976,0.38333333333333336,0.2804878048780488
16,10058,7,4,0,0.5555555555555556,0.7142857142857143,0.7142857142857143
16,10058,7,5,4,0.4883720930232558,0.65625,0.65625
16,10058,7,6,5,0.5714285714285714,0.7272727272727273,0.7272727272727273
17,10059,5,0,1,0.92,0.9426229508196722,0.9745762711864406
17,10059,5,1,4,0.9615384615384616,1.0,0.9615384615384616
17,10059,5,2,2,1.0,1.0,1.0
17,10059,5,3,0,0.9176470588235294,0.9570552147239264,0.9570552147239264
17,10059,5,4,3,0.9647058823529412,1.0,0.9647058823529412
17,10059,7,0,2,0.875,0.9333333333333333,0.9333333333333333
17,10059,7,1,0,0.8701298701298701,0.8874172185430463,0.9781021897810219
17,10059,7,2,6,0.9402985074626866,0.9402985074626866,1.0
17,10059,7,3,1,0.7777777777777778,0.8166666666666667,0.9423076923076923
17,10059,7,4,3,0.5862068965517241,0.8095238095238095,0.68
17,10059,7,5,4,0.7176470588235294,0.953125,0.7439024390243902
17,10059,7,6,5,0.7333333333333333,1.0,0.7333333333333333
18,10060,5,0,4,1.0,1.0,1.0
18,10060,5,1,1,1.0,1.0,1.0
18,10060,5,2,2,1.0,1.0,1.0
18,10060,5,3,3,1.0,1.0,1.0
18,10060,5,4,0,1.0,1.0,1.0
18,10060,7,0,6,0.9333333333333333,0.9333333333333333,1.0
18,10060,7,1,3,0.9477124183006536,0.9602649006622517,0.9863945578231292
18,10060,7,2,5,0.9701492537313433,0.9701492537313433,1.0
18,10060,7,3,4,0.9047619047619048,0.95,0.95
18,10060,7,4,2,0.6428571428571429,0.8571428571428571,0.72
18,10060,7,5,0,0.9545454545454546,0.984375,0.9692307692307692
18,10060,7,6,1,0.7857142857142857,1.0,0.7857142857142857
19,10061,5,0,0,0.9024390243902439,0.9098360655737705,0.9910714285714286
19,10061,5,1,1,0.9615384615384616,1.0,0.9615384615384616
19,10061,5,2,4,0.7857142857142857,0.9166666666666666,0.8461538461538461
19,10061,5,3,3,0.9310344827586207,0.9938650306748467,0.9364161849710982
19,10061,5,4,2,0.975609756097561,0.975609756097561,1.0
19,10061,7,0,0,0.6829268292682927,0.9333333333333333,0.717948717948718
