lsoa,hospitality_industry_share,shiftwork_industry_share
E01000341,0.030555555555555555,0.20972222222222223
E01000342,0.03365384615384615,0.21875
E01000343,0.04126547455295736,0.20495185694635487
E01000344,0.03299492385786802,0.18908629441624364
E01000345,0.03089887640449438,0.21207865168539325
E01000346,0.023142509135200974,0.20584652862362973
E01000347,0.05,0.23513513513513515
E01000348,0.031806615776081425,0.19974554707379133
E01000349,0.029232643118148598,0.19853836784409257
E01000350,0.04177215189873418,0.2139240506329114
E01000351,0.029593094944512947,0.1812577065351418
E01000352,0.047979797979797977,0.21717171717171718
E01000353,0.01790633608815427,0.19146005509641872
E01000354,0.052039381153305204,0.2208157524613221
E01000355,0.038461538461538464,0.21153846153846156
E01000356,0.034074074074074076,0.2414814814814815
E01000357,0.027739251040221916,0.18862690707350901
E01000358,0.02518891687657431,0.2128463476070529
E01000359,0.02090032154340836,0.18971061093247588
E01000360,0.07684210526315789,0.23263157894736844
E01000361,0.0356718192627824,0.18787158145065397
E01000362,0.06236323851203501,0.2341356673960613
E01000363,0.05779569892473118,0.1868279569892473
E01000364,0.03952095808383234,0.2574850299401198
E01000365,0.04627249357326478,0.20308483290488433
E01000366,0.034403669724770644,0.18922018348623854
E01000367,0.06020408163265306,0.30102040816326536
E01000368,0.05858854860186418,0.29161118508655126
E01000369,0.02751196172248804,0.27511961722488043
E01000370,0.036048064085447265,0.2416555407209613
E01000371,0.030120481927710843,0.23132530120481928
E01000372,0.03918918918918919,0.2743243243243243
E01000373,0.0473186119873817,0.305993690851735
E01000374,0.038580246913580245,0.32098765432098764
E01000375,0.03884372177055104,0.29990966576332434
E01000376,0.029782359679266894,0.26002290950744555
E01000377,0.02997275204359673,0.24931880108991825
E01000379,0.02981651376146789,0.25573394495412843
E01000380,0.03391684901531729,0.32713347921225383
E01000381,0.03770949720670391,0.24022346368715083
E01000382,0.020969855832241154,0.17038007863695936
E01000383,0.03137789904502047,0.24556616643929058
E01000384,0.04161849710982659,0.19190751445086707
E01000385,0.07628128724672228,0.26817640047675806
E01000386,0.060221870047543584,0.2630744849445325
E01000387,0.03430079155672823,0.2137203166226913
E01000388,0.026277372262773723,0.19854014598540146
E01000389,0.03329223181257707,0.18495684340320592
E01000390,0.020602218700475437,0.20126782884310618
E01000391,0.03506787330316742,0.23529411764705882
E01000392,0.059837728194726165,0.25963488843813387
E01000393,0.04133180252583238,0.2261768082663605
E01000394,0.04627249357326478,0.16966580976863754
E01000395,0.04040404040404041,0.19318181818181818
E01000396,0.0291005291005291,0.21296296296296297
E01000398,0.05655172413793103,0.24413793103448275
E01000399,0.05813953488372093,0.23772609819121446
E01000400,0.04896907216494845,0.23582474226804123
E01000401,0.0611183355006502,0.2535760728218466
E01000402,0.052486187845303865,0.281767955801105
E01000403,0.04356636271529889,0.2887537993920973
E01000404,0.046966731898238745,0.31604696673189825
E01000405,0.037283621837549935,0.303595206391478
E01000406,0.044343891402714934,0.24796380090497738
