lsoa,deprived_1plus_share,deprived_2plus_share
E01004526,0.4634794156706507,0.15405046480743692
E01004527,0.45439469320066334,0.17744610281923714
E01004528,0.5768156424581006,0.26256983240223464
E01004529,0.4040632054176072,0.13882618510158012
E01004530,0.41983695652173914,0.15896739130434784
E01004531,0.4434250764525994,0.17889908256880735
E01004532,0.42258064516129035,0.17096774193548386
E01004533,0.42716857610474634,0.18985270049099837
E01004534,0.3409090909090909,0.08964646464646464
E01004535,0.695898161244696,0.3451202263083451
E01004536,0.5460750853242321,0.20932878270762229
E01004537,0.6115879828326181,0.2821888412017167
E01004538,0.48342541436464087,0.21178637200736647
E01004539,0.6585677749360613,0.2749360613810742
E01004540,0.45793499043977054,0.18738049713193117
E01004541,0.6070038910505836,0.3009079118028534
E01004542,0.3193979933110368,0.07859531772575251
E01004543,0.2733612273361227,0.06555090655509066
E01004544,0.3310696095076401,0.0899830220713073
E01004545,0.3974484789008832,0.08635917566241413
E01004546,0.31158238172920066,0.08482871125611746
E01004547,0.42342342342342343,0.16936936936936936
E01004548,0.4637964774951076,0.17025440313111545
E01004549,0.36541353383458647,0.12481203007518797
E01004550,0.43103448275862066,0.1360153256704981
E01004551,0.41804320203303685,0.0940279542566709
E01004552,0.3013544018058691,0.07787810383747178
E01004553,0.3281853281853282,0.06692406692406692
E01004554,0.26570048309178745,0.040257648953301126
E01004555,0.24436741767764297,0.05025996533795494
E01004556,0.2547332185886403,0.05163511187607573
E01004557,0.3293051359516616,0.09063444108761329
E01004558,0.29253731343283584,0.0791044776119403
E01004559,0.36293436293436293,0.1138996138996139
E01004560,0.37104072398190047,0.10972850678733032
E01004563,0.5898617511520737,0.22811059907834103
E01004564,0.42581423401688784,0.14595898673100122
E01004565,0.4146341463414634,0.14120667522464697
E01004566,0.4040660736975858,0.10419313850063533
E01004567,0.5804480651731161,0.2454175152749491
E01004568,0.6835164835164835,0.3120879120879121
E01004569,0.5889655172413794,0.24275862068965517
E01004570,0.7104895104895105,0.32867132867132864
E01004571,0.5828488372093024,0.24273255813953487
E01004572,0.49850299401197606,0.20209580838323354
E01004573,0.6012658227848101,0.21360759493670886
E01004574,0.7226173541963016,0.3129445234708393
E01004575,0.6476608187134503,0.25
E01004576,0.5767284991568297,0.24620573355817876
E01004577,0.3778857837181045,0.1227217496962333
E01004579,0.41183574879227053,0.11956521739130435
E01004580,0.42665173572228443,0.12877939529675253
E01004581,0.4491017964071856,0.1377245508982036
E01004582,0.39695431472081216,0.10050761421319797
E01004583,0.4182041820418204,0.12915129151291513
E01004584,0.6703910614525139,0.3016759776536313
E01004585,0.3223844282238443,0.10827250608272507
E01004586,0.30624263839811544,0.08362779740871613
E01004587,0.321377331420373,0.08321377331420372
E01004588,0.28717366628830876,0.06923950056753689
E01004589,0.3128415300546448,0.08333333333333333
E01004590,0.5201958384332925,0.22888616891064872
E01004591,0.4843205574912892,0.1753774680603949
E01004592,0.5083440308087291,0.21566110397946084
E01004593,0.37559808612440193,0.11961722488038277
E01004594,0.3248407643312102,0.04777070063694268
E01004595,0.3409090909090909,0.08964646464646464
E01004596,0.3027950310559006,0.07142857142857142
E01004597,0.4155844155844156,0.14285714285714285
E01004598,0.2628272251308901,0.06596858638743455
E01004599,0.2992957746478873,0.061619718309859156
E01004601,0.3972602739726027,0.13333333333333333
E01004602,0.3104895104895105,0.06713286713286713
E01004604,0.29441624365482233,0.05414551607445008
E01004605,0.39676616915422885,0.13432835820895522
E01004606,0.27066666666666667,0.048
