NLC,log_total_activity,log_entry_activity,log_exit_activity,zero_total,zero_entry,zero_exit
708,11.493215909366581,11.079704958333433,10.41053377993644,1,0,1
709,8.105015474335715,6.7267880041731996,7.815033614811777,61,31,30
710,8.701590849047076,7.198270452053786,8.450273894522962,55,29,26
711,9.681189294832217,8.590143257133292,9.272013507762098,3,3,0
712,9.6478604098512,8.168540466033326,9.389441971302967,2,1,1
713,9.11542955930821,8.052880175562622,8.691601279947832,52,26,26
714,9.45763410969652,7.986588556656,9.19677944868384,3,3,0
715,9.982857692308263,9.128370806546249,9.428680347377076,54,28,26
716,10.47942155272862,9.370378370356674,10.07917331681085,4,2,2
717,9.165167015401794,7.916633649207625,8.827144623322484,58,30,28
718,11.19987243512051,10.771492748289722,10.145611038402912,4,2,2
719,12.29661903704484,11.602885715802753,11.604066782735998,0,0,0
720,8.743448592017057,7.1902845650590645,8.505929742014212,52,26,26
721,8.739338231145354,7.253619283753015,8.482923020992322,52,26,26
723,9.978941248772157,9.12017715794631,9.42792011926814,2,1,1
724,10.226102978038783,9.96030079249665,8.771296161635275,62,31,31
725,7.8525348927072445,6.317979909266212,7.61025588500139,41,22,19
726,10.301896199202886,9.054292162386341,9.963400008147728,2,1,1
727,10.909789958871093,9.846701569738327,10.486106104499976,2,1,1
728,12.62869060638248,12.278713449671228,11.408924032327818,0,0,0
729,10.949278409226617,10.041246526078854,10.432938194432028,0,0,0
730,9.022571939362443,7.44454929653211,8.791569925967128,3,2,1
731,10.966051825508439,10.206288469466141,10.335391377395023,58,29,29
733,9.652829538800475,8.556693756390308,9.246220354115012,4,2,2
734,9.919669441299725,8.864950911115791,9.491588641443755,0,0,0
735,10.500152936555695,9.094949261516575,10.21873181781966,0,0,0
736,9.626423916203976,8.19749602809083,9.352645191720887,43,24,19
737,7.58371448255811,6.0185222359556665,7.3498396157144885,42,20,22
738,8.939936830032156,7.539426776063545,8.657122664825115,48,24,24
739,10.74739055633033,9.586739649252891,10.371590028177806,52,26,26
740,9.671491095665045,8.686258239797956,9.204220968943396,53,31,22
741,12.417331637267273,11.685645017481145,11.761301362090228,2,1,1
742,10.886588832849933,9.54907301945124,10.582129142321614,0,0,0
743,8.922427813035998,7.581089485284784,8.619480343602874,2,1,1
745,10.818182452421878,10.472235866796582,9.58878842447112,2,1,1
746,9.47480909480153,8.498967430108483,9.001924108390467,64,32,32
747,12.649346346151592,11.859824683952082,12.044102475451918,3,2,1
748,8.61339887642944,7.056447085188114,8.376921914427223,59,31,28
751,9.901337709829235,8.84039405762315,9.47656909743815,61,31,30
752,11.178741181987363,10.147043349233149,10.738082943906278,0,0,0
753,8.24636012675723,6.76969587574302,7.987413103464645,0,0,0
754,9.593865124488321,8.681026385140328,9.080845366227747,44,22,22
755,9.93047377896589,9.198002020656105,9.275256806662465,52,26,26
