lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,activity_band
E01001624,188.07541,5.242145930191414,0.3098249260761946,0.08678976161742781,0.06348474795296206,0.14143308459174947,0.7368392566893408,below_450
E01001625,1466.21752,7.291123042543228,-0.3211859178984575,0.11764505446640688,0.07884312417710028,0.19061054552566534,0.8266511162067707,at_least_450
E01001629,1546.13045,7.3441571715169855,0.19979852928968572,0.13938598130578178,0.09032018611366201,0.24391091392606168,0.7692049559897217,at_least_450
E01001631,6847.574979999999,8.8317958774978,-0.15684211463720255,0.13995023972705736,0.09925925338315901,0.2548912992147534,0.9225559564853842,at_least_450
E01001632,1672.40585,7.422616259732046,-0.5108083005091139,0.17219715537349978,0.10180355444224258,0.308375907615317,0.7508624518344098,at_least_450
E01001633,170.80194,5.146342301686631,-0.31745868928655024,0.05794834648833614,0.050102826700914524,0.08427364367803565,0.739288151683664,below_450
E01001634,358.00963,5.8833492126410425,-0.33089196511278196,0.06386336591001755,0.049693802929267575,0.09235591667903736,0.8201368554227217,below_450
E01001635,72.18266,4.292958507659622,0.02490681279963915,0.34642156440341765,0.32601666383588523,0.7336271484201375,0.7252154232269064,below_450
E01001637,459.4895,6.1322900541324765,-0.7443620800910575,0.13425799719036016,0.057746782026575134,0.24365892804138992,0.7118145733117889,at_least_450
E01001638,246.51740999999998,5.511480922969105,-0.23316799409826677,0.19084708864984423,0.10337614694231942,0.3405972202675599,0.9913837381806355,below_450
E01001641,8307.10861,9.024987257852295,0.2841136044807292,0.07651503668013317,0.03396804872158762,0.12150778004534854,1.1144033041869619,at_least_450
E01001642,614.60939,6.422612655259698,0.022522386128854936,0.09556150777325416,0.05085586147650624,0.13841726656005646,0.9133078353131989,at_least_450
E01001644,2404.86563,7.785665047094774,-0.17732812373388201,0.14341207911894854,0.07905203834610919,0.2446554288836445,1.0174862932412003,at_least_450
E01001645,579.05304,6.363119547635188,-0.36263759188622857,0.07425487309418148,0.044272351976599573,0.11417379851671679,0.7470231180785251,at_least_450
E01001646,2219.0865599999997,7.705301465097187,-0.34885855917220293,0.11908030302342061,0.06982545106307164,0.19242253689347766,0.7661899868899957,at_least_450
E01001647,178.47048999999998,5.190010793298783,-0.6009397407941223,0.046734056705957386,0.006532004254596936,0.07239171035434977,0.6454966770610668,below_450
E01001648,1028.31586,6.936649646943873,-0.2124588256374846,0.12692144999105623,0.08292455977485362,0.2049827539458233,0.7031180904845977,at_least_450
E01001651,695.21767,6.545662355693003,-0.18846910205835252,0.18973907840978782,0.13712443471121785,0.32501008958168764,0.729800431034803,at_least_450
E01001652,1305.03145,7.174748390710289,-0.30077807703408216,0.0959923992636346,0.05383579070067622,0.15387090659718053,0.7694465280374971,at_least_450
E01001653,445.42391,6.101268971460675,-0.31094852990716193,0.07203001293756323,0.05639589486787991,0.10570984367152723,0.7141145643950441,below_450
E01001655,169.77499999999998,5.140346900617913,-0.24112431158886766,0.09193137976733913,0.08044647327345017,0.1286175104042593,0.6245511896496381,below_450
E01001656,84.70247,4.450881646658648,-0.19682413039430843,0.0662657181071579,0.05679822560074104,0.09221211018000589,0.9995866077188749,below_450
E01001658,1331.40713,7.1947424575510786,-0.1236373054424006,0.15223273590250339,0.09885179899855275,0.2453668256969709,0.7779891024991876,at_least_450
E01001659,1237.04558,7.121289270014292,-0.04585352465347314,0.1690612887521897,0.12988189974374267,0.29368460997525064,0.7653187219397528,at_least_450
E01001660,290.89895,5.676407680731297,-0.613505514543796,0.04524388967371659,0.015237662425388609,0.06536220042179959,0.7528019108463494,below_450
E01001661,745.1544299999999,6.614932589503858,-0.04576123904946786,0.12814491353154808,0.08546741109758954,0.19650205344236843,0.6344736973117632,at_least_450
E01001665,2180.40091,7.687722568657845,-0.1633252437048377,0.11311267522815334,0.059631061151960346,0.1930495744687829,0.8423450282581241,at_least_450
E01001666,4096.07329,8.318028166085918,0.01724290192082962,0.14384139840427512,0.09518116068670246,0.2395828102575705,0.7673971638696213,at_least_450
E01001669,1191.12679,7.083494209418343,-0.30361180105771945,0.13228407027936967,0.09682442790158385,0.22607450460657702,0.8091459289323953,at_least_450
E01001671,917.9356700000001,6.823216119905573,-0.48701267922184566,0.09837400697153428,0.05364320355913394,0.16155773044378072,0.6833653453084204,at_least_450
E01001673,9881.47754,9.198518522463983,-0.15632292981966345,0.14116850484689764,0.08204672193182964,0.24306880358661237,0.8236868379183088,at_least_450
E01001674,107.04852,4.682580385496753,0.05746945403822491,0.23644530536246558,0.20489288408658057,0.4216898602487344,0.8508292856266749,below_450
E01001676,4278.20025,8.361521413639174,-0.2637536917539099,0.16658951857150678,0.11802156292239943,0.2917540249689357,0.7831306799568869,at_least_450
E01001677,1379.47426,7.230182385778054,0.09064346006717086,0.20774493465358315,0.15879429312439655,0.3654645974602411,0.8968556986406675,at_least_450
E01001678,477.38055,6.170406545455415,-0.2686828987900743,0.12326214379701894,0.09869547471089887,0.19566500053835104,0.7176958205568693,at_least_450
E01001680,206.11471,5.333272794367788,-0.4943478803623478,0.04821829553067804,0.03473725868473919,0.07128481729145811,0.5269427937526874,below_450
E01001682,1598.7596,7.377608646939211,-0.2996785758159012,0.10480075928863851,0.05876227420307593,0.16106064201909187,0.7760090587120267,at_least_450
E01001683,3065.11898,8.028167864941047,-0.45968203818306586,0.1222310332631851,0.06960329154987648,0.2045250132315253,0.7439407441613209,at_least_450
E01001684,151.56346,5.027580640636454,0.3427089880370902,0.16485622590035884,0.13709815017419105,0.269245946523179,1.2264197473488627,below_450
E01001685,86.61611,4.472964885143647,0.9541186968567393,0.2489631547757109,0.2477088846405132,0.4073235898283475,0.8035148323233222,below_450
E01001686,952.28812,6.859917187447687,-0.45245762385442756,0.08149538818146759,0.0559358757935571,0.13404528019338063,0.728800818154385,at_least_450
E01001687,53.81238,4.003916080848363,-0.2528366149202098,0.011987947754773154,0.004184167286412528,0.01496181039065377,0.508673344872301,below_450
E01001688,1943.87338,7.572952153676364,-0.2749551928119927,0.16531203796823432,0.12551415257304466,0.2872707125756869,0.7551707687122573,at_least_450
E01001690,629.58413,6.446646580286191,-0.3164265751107799,0.17050197882211549,0.1295634786728185,0.2948442399491928,0.7214195083848799,at_least_450
E01001693,3182.8708699999997,8.065852990237339,-0.27548277822530703,0.15594592437864122,0.11656314853891639,0.2719559763731807,0.7273213755222334,at_least_450
E01001694,543.80137,6.300421269516429,-0.30397600874010294,0.09449509110284146,0.06309816762690393,0.14779045241401192,0.7899827093411546,at_least_450
E01001695,190.9881,5.257433390940327,0.1931652286189558,0.38335074279496995,0.33103224755887933,0.8930298826303505,0.921978758334171,below_450
E01001696,30888.81141,10.338181680681947,0.17780007061786776,0.11080600138896701,0.04960407409862198,0.18830236733753114,0.7869810414548162,at_least_450
E01001697,739.26237,6.607004677412834,-0.36314096441835664,0.14534941092700282,0.09413573965627385,0.2588048482053368,0.7370488465894335,at_least_450
E01001698,104.68869,4.660497886205109,0.14167022244714303,0.1267331743285736,0.11526679720607833,0.20176098505671874,0.8903523031343281,below_450
E01001699,1503.99925,7.316547678843982,-0.1534151097482262,0.13220448746899308,0.0932814228464542,0.22955315078260433,0.8095842405807759,at_least_450
E01001700,2750.26295,7.919815339780979,-0.2545128821227803,0.19531970933906523,0.12374332061594329,0.36430375438777435,0.7977969487945271,at_least_450
E01001701,4488.25728,8.409442550572416,-0.011062298104265515,0.06115468496494034,0.041389585848340675,0.08468957087545233,0.7274806262260292,at_least_450
E01001703,977.5393200000001,6.886060969983811,-0.3288063543060344,0.04831826099844249,0.03196485231918855,0.07407927877118077,0.8609857623643192,at_least_450
E01001704,247.83306,5.516782229851055,0.25208670707612624,0.25266213474505783,0.23206920013011986,0.4573128947524287,0.8953417117736943,below_450
E01001705,1568.90641,7.358771285100552,-0.2878237778377105,0.12019933043679767,0.07167621298710863,0.20236893174628187,0.8437171753520538,at_least_450
