alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
5.0,1,boardings,Saturday,1560,0.00031773143325819795
5.0,1,boardings,Saturday,1620,0.0004976366593243698
5.0,1,boardings,Saturday,1680,0.0014072403680198584
5.0,1,boardings,Saturday,1740,0.004957284301885161
5.0,1,boardings,Sunday,1080,0.06413513732197175
5.0,1,boardings,Sunday,1140,0.05397897475378978
5.0,1,boardings,Sunday,1200,0.040908241903459146
5.0,1,boardings,Sunday,1260,0.026152727401905315
5.0,1,boardings,Sunday,1320,0.017610506087041285
5.0,1,boardings,Sunday,1380,0.009190307921446482
5.0,1,boardings,Sunday,1440,0.0045043807463126095
5.0,1,boardings,Sunday,1500,0.0008637568660612673
5.0,1,boardings,Sunday,1560,0.00043774756113082984
5.0,1,boardings,Sunday,1620,0.0005356188280977037
5.0,1,boardings,Sunday,1680,0.002695047461354747
5.0,1,boardings,Sunday,1740,0.038455029938536195
5.0,1,alightings,Weekday,1080,0.13131422304524498
5.0,1,alightings,Weekday,1140,0.09372943220350591
5.0,1,alightings,Weekday,1200,0.05898059261657067
5.0,1,alightings,Weekday,1260,0.043398560931480076
5.0,1,alightings,Weekday,1320,0.035152641121578815
5.0,1,alightings,Weekday,1380,0.025532201092228767
5.0,1,alightings,Weekday,1440,0.011298699789834594
5.0,1,alightings,Weekday,1500,0.0018256478926196216
5.0,1,alightings,Weekday,1560,0.0005225039411554997
5.0,1,alightings,Weekday,1620,0.00042109664253734905
5.0,1,alightings,Weekday,1680,0.0006105719481435724
5.0,1,alightings,Weekday,1740,0.005961747474660695
5.0,1,alightings,Saturday,1080,0.0934575869366107
5.0,1,alightings,Saturday,1140,0.0776914173888786
5.0,1,alightings,Saturday,1200,0.05757800694135627
5.0,1,alightings,Saturday,1260,0.04438388961651482
5.0,1,alightings,Saturday,1320,0.03806812260492544
5.0,1,alightings,Saturday,1380,0.03252471884414848
5.0,1,alightings,Saturday,1440,0.007100941225239336
5.0,1,alightings,Saturday,1500,0.0010168636401541474
5.0,1,alightings,Saturday,1560,0.0003230701503691892
5.0,1,alightings,Saturday,1620,0.0002766324958682421
5.0,1,alightings,Saturday,1680,0.0004599516858909642
5.0,1,alightings,Saturday,1740,0.0012971668453213645
5.0,1,alightings,Sunday,1080,0.0587013850063789
5.0,1,alightings,Sunday,1140,0.050085475966154896
5.0,1,alightings,Sunday,1200,0.03797459896044796
5.0,1,alightings,Sunday,1260,0.030164028515157978
5.0,1,alightings,Sunday,1320,0.023137058200001597
5.0,1,alightings,Sunday,1380,0.016370898588069192
5.0,1,alightings,Sunday,1440,0.011298699789834594
5.0,1,alightings,Sunday,1500,0.0018256478926196216
5.0,1,alightings,Sunday,1560,0.0005225039411554997
5.0,1,alightings,Sunday,1620,0.00042109664253734905
5.0,1,alightings,Sunday,1680,0.0006105719481435724
5.0,1,alightings,Sunday,1740,0.005961747474660695
5.0,2,boardings,Weekday,1080,0.10329595696038402
5.0,2,boardings,Weekday,1140,0.07258977612379415
5.0,2,boardings,Weekday,1200,0.04732369625733052
5.0,2,boardings,Weekday,1260,0.033420620449054424
5.0,2,boardings,Weekday,1320,0.025382160582921195
5.0,2,boardings,Weekday,1380,0.016781739117661218
5.0,2,boardings,Weekday,1440,0.0074221528238660696
5.0,2,boardings,Weekday,1500,0.004319563810211456
5.0,2,boardings,Weekday,1560,0.0036034143285017368
5.0,2,boardings,Weekday,1620,0.005783040995596059
5.0,2,boardings,Weekday,1680,0.013483471375788876
5.0,2,boardings,Weekday,1740,0.041080598019285375
5.0,2,boardings,Saturday,1080,0.08970612354458993
5.0,2,boardings,Saturday,1140,0.07101005491016707
5.0,2,boardings,Saturday,1200,0.050157878362278925
5.0,2,boardings,Saturday,1260,0.036760820401399864
5.0,2,boardings,Saturday,1320,0.029586359820594273
5.0,2,boardings,Saturday,1380,0.022171496997731622
5.0,2,boardings,Saturday,1440,0.006738420246122767
5.0,2,boardings,Saturday,1500,0.0034454755344686117
5.0,2,boardings,Saturday,1560,0.0033539301771613053
5.0,2,boardings,Saturday,1620,0.006204792886563768
5.0,2,boardings,Saturday,1680,0.011658827413821321
5.0,2,boardings,Saturday,1740,0.01692752191555199
5.0,2,boardings,Sunday,1080,0.05659483850946479
5.0,2,boardings,Sunday,1140,0.0503623531820924
5.0,2,boardings,Sunday,1200,0.03631886145727714
5.0,2,boardings,Sunday,1260,0.026232188677875183
5.0,2,boardings,Sunday,1320,0.020036560438117683
5.0,2,boardings,Sunday,1380,0.012555063327076687
5.0,2,boardings,Sunday,1440,0.0074221528238660696
5.0,2,boardings,Sunday,1500,0.004319563810211456
5.0,2,boardings,Sunday,1560,0.0036034143285017368
5.0,2,boardings,Sunday,1620,0.005783040995596059
5.0,2,boardings,Sunday,1680,0.013483471375788876
5.0,2,boardings,Sunday,1740,0.041080598019285375
5.0,2,alightings,Weekday,1080,0.10817984697018683
5.0,2,alightings,Weekday,1140,0.07834616234519619
5.0,2,alightings,Weekday,1200,0.05360931780319469
5.0,2,alightings,Weekday,1260,0.04073670952379763
5.0,2,alightings,Weekday,1320,0.03327693936652737
5.0,2,alightings,Weekday,1380,0.025422450078349375
5.0,2,alightings,Weekday,1440,0.013109368356204059
5.0,2,alightings,Weekday,1500,0.006136446148044773
5.0,2,alightings,Weekday,1560,0.003907636033443619
5.0,2,alightings,Weekday,1620,0.003999459609912901
5.0,2,alightings,Weekday,1680,0.005512524891712122
5.0,2,alightings,Weekday,1740,0.015800400456901606
5.0,2,alightings,Saturday,1080,0.0824437267202675
5.0,2,alightings,Saturday,1140,0.06722841484838103
5.0,2,alightings,Saturday,1200,0.05332009638326087
5.0,2,alightings,Saturday,1260,0.041343156468684986
5.0,2,alightings,Saturday,1320,0.036298746129265556
5.0,2,alightings,Saturday,1380,0.030688326632821714
5.0,2,alightings,Saturday,1440,0.01124013667937827
5.0,2,alightings,Saturday,1500,0.004883085600345458
5.0,2,alightings,Saturday,1560,0.00303870469705098
5.0,2,alightings,Saturday,1620,0.0035960457741026366
5.0,2,alightings,Saturday,1680,0.00523791252617378
5.0,2,alightings,Saturday,1740,0.008958957867632514
5.0,2,alightings,Sunday,1080,0.055597369755287264
5.0,2,alightings,Sunday,1140,0.047060419835815576
5.0,2,alightings,Sunday,1200,0.03885246689611843
5.0,2,alightings,Sunday,1260,0.030003942642316775
5.0,2,alightings,Sunday,1320,0.024641520194997338
5.0,2,alightings,Sunday,1380,0.019063873268409078
5.0,2,alightings,Sunday,1440,0.013109368356204059
5.0,2,alightings,Sunday,1500,0.006136446148044773
5.0,2,alightings,Sunday,1560,0.003907636033443619
5.0,2,alightings,Sunday,1620,0.003999459609912901
5.0,2,alightings,Sunday,1680,0.005512524891712122
5.0,2,alightings,Sunday,1740,0.015800400456901606
20.0,0,boardings,Weekday,1080,0.10553097043575387
20.0,0,boardings,Weekday,1140,0.0757619908328159
20.0,0,boardings,Weekday,1200,0.05101187893115146
20.0,0,boardings,Weekday,1260,0.03684320700254346
20.0,0,boardings,Weekday,1320,0.028790046253706222
20.0,0,boardings,Weekday,1380,0.019152199087364444
20.0,0,boardings,Weekday,1440,0.008577486624389076
20.0,0,boardings,Weekday,1500,0.003552901855601034
20.0,0,boardings,Weekday,1560,0.0027552448881098335
20.0,0,boardings,Weekday,1620,0.004185342143028815
