K,replicate,base_cluster,matched_jaccard
8,4,3,0.7752173913043479
8,4,4,0.05341246290801187
8,4,5,0.41509433962264153
8,4,6,0.0
8,4,7,0.5679012345679012
8,5,0,0.7361111111111112
8,5,1,0.42213114754098363
8,5,2,0.42857142857142855
8,5,3,0.8571428571428571
8,5,4,0.7851002865329513
8,5,5,0.4362745098039216
8,5,6,0.0
8,5,7,0.8072289156626506
8,6,0,0.0
8,6,1,0.17254901960784313
8,6,2,0.8
8,6,3,0.7759726378794357
8,6,4,0.3549222797927461
8,6,5,0.3614864864864865
8,6,6,0.1111111111111111
8,6,7,0.6951219512195121
8,7,0,0.3696969696969697
8,7,1,0.41904761904761906
8,7,2,0.45454545454545453
8,7,3,0.8054003724394786
8,7,4,0.3541666666666667
8,7,5,0.6371681415929203
8,7,6,0.0
8,7,7,0.7558139534883721
8,8,0,0.0
8,8,1,0.7228915662650602
8,8,2,0.9523809523809523
8,8,3,0.8200765631646108
8,8,4,0.36363636363636365
8,8,5,0.16535433070866143
8,8,6,0.16666666666666666
8,8,7,0.8571428571428571
8,9,0,0.8082191780821918
8,9,1,0.7533333333333333
8,9,2,0.8
8,9,3,0.8680774425934263
8,9,4,0.7634408602150538
8,9,5,0.24509803921568626
8,9,6,0.0
8,9,7,0.7195121951219512
8,10,0,0.7790697674418605
8,10,1,0.545045045045045
8,10,2,0.7692307692307693
8,10,3,0.8555045871559633
8,10,4,0.7231182795698925
8,10,5,0.3799126637554585
8,10,6,0.16666666666666666
8,10,7,0.6966292134831461
8,11,0,0.5929203539823009
8,11,1,0.8515625
8,11,2,0.7906976744186046
8,11,3,0.8643835616438356
8,11,4,0.5945945945945946
8,11,5,0.3850267379679144
8,11,6,0.0
8,11,7,0.6590909090909091
8,12,0,0.5930232558139535
8,12,1,0.8145161290322581
8,12,2,0.4523809523809524
8,12,3,0.884090909090909
8,12,4,0.7064935064935065
8,12,5,0.4719626168224299
8,12,6,0.0
8,12,7,0.5977011494252874
8,13,0,0.6210526315789474
8,13,1,0.01020408163265306
8,13,2,0.7407407407407407
8,13,3,0.7863860277653381
8,13,4,0.575107296137339
8,13,5,0.41434262948207173
8,13,6,0.0
8,13,7,0.8181818181818182
8,14,0,0.011363636363636364
8,14,1,0.2733118971061093
8,14,2,0.28431372549019607
8,14,3,0.7270029673590505
8,14,4,0.35400516795865633
8,14,5,0.2786885245901639
8,14,6,0.0
8,14,7,0.32
8,15,0,0.37640449438202245
8,15,1,0.6149732620320856
8,15,2,0.8163265306122449
8,15,3,0.7575757575757576
8,15,4,0.014141414141414142
8,15,5,0.3936651583710407
8,15,6,0.1
8,15,7,0.5309734513274337
8,16,0,0.38181818181818183
8,16,1,0.5491803278688525
8,16,2,0.7358490566037735
8,16,3,0.8100558659217877
8,16,4,0.17804878048780487
8,16,5,0.4892703862660944
8,16,6,0.05555555555555555
8,16,7,0.3798449612403101
8,17,0,0.45454545454545453
8,17,1,0.24295774647887325
8,17,2,0.1450381679389313
8,17,3,0.7226787181594084
8,17,4,0.01881720430107527
8,17,5,0.4292682926829268
8,17,6,0.05
8,17,7,0.5567010309278351
8,18,0,0.37640449438202245
8,18,1,0.49122807017543857
8,18,2,0.28225806451612906
8,18,3,0.7582752613240418
8,18,4,0.125
8,18,5,0.3764705882352941
8,18,6,0.0
8,18,7,0.3828125
8,19,0,0.775
8,19,1,0.7453416149068323
8,19,2,0.3418803418803419
8,19,3,0.8411602209944752
8,19,4,0.7154046997389034
8,19,5,0.43137254901960786
8,19,6,0.0
8,19,7,0.7888888888888889
8,20,0,0.0
8,20,1,0.37410071942446044
8,20,2,0.20833333333333334
8,20,3,0.7659392383397519
8,20,4,0.3515625
8,20,5,0.3094170403587444
8,20,6,0.07692307692307693
8,20,7,0.8390804597701149
