MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000204,0.0,0.0,2915.9699100000003,1838.12465,1838.12465,2915.9699100000003
E02000206,0.0,0.0,1025.33792,660.35665,660.35665,1025.33792
E02000207,0.0,0.0,835.56355,561.25707,561.25707,835.56355
E02000208,0.0,0.0,2134.60753,1435.71485,1435.71485,2134.60753
E02000209,0.0,0.0,579.57239,353.18542,353.18542,579.57239
E02000210,0.0,0.0,382.53013,205.115,205.115,382.53013
E02000211,0.0,0.0,232.01015999999998,75.39789,75.39789,232.01015999999998
E02000212,0.0,0.0,1152.03299,920.24073,920.24073,1152.03299
E02000213,1519.203433014,2774.680985524,6775.95902,7035.2985499999995,8554.501983013999,9550.640005524001
E02000214,0.0,0.0,118.34758,103.03801,103.03801,118.34758
E02000215,0.0,0.0,1154.40921,1357.78446,1357.78446,1154.40921
E02000216,0.0,0.0,436.82193,318.88888,318.88888,436.82193
E02000217,0.0,0.0,1168.79974,1229.80784,1229.80784,1168.79974
E02000218,0.0,0.0,705.06667,309.98703,309.98703,705.06667
E02000219,0.0,0.0,1070.30294,711.32663,711.32663,1070.30294
E02000220,0.0,0.0,8312.05286,10288.78721,10288.78721,8312.05286
E02000221,0.0,0.0,1182.79217,893.95699,893.95699,1182.79217
E02000222,0.0,0.0,643.9245099999999,410.48229,410.48229,643.9245099999999
E02000223,0.0,0.0,416.16235,211.4864,211.4864,416.16235
E02000224,0.0,0.0,1004.21274,744.85766,744.85766,1004.21274
E02000225,0.0,0.0,484.41508,318.20842,318.20842,484.41508
E02000226,0.0,0.0,688.67821,465.00594,465.00594,688.67821
E02000227,0.0,0.0,1285.49334,896.16102,896.16102,1285.49334
E02000228,0.0,0.0,194.66346,147.5222,147.5222,194.66346
E02000229,0.0,0.0,594.80177,369.21046,369.21046,594.80177
E02000230,0.0,0.0,1878.55379,1969.67907,1969.67907,1878.55379
E02000231,0.0,0.0,279.95601999999997,171.21665000000002,171.21665000000002,279.95601999999997
E02000232,0.0,0.0,193.34302,115.93025,115.93025,193.34302
E02000233,0.0,0.0,306.81109,144.90794,144.90794,306.81109
E02000234,0.0,0.0,1006.9283399999999,889.91425,889.91425,1006.9283399999999
E02000235,0.0,0.0,141.89346999999998,72.13273,72.13273,141.89346999999998
E02000236,0.0,0.0,137.09732,71.44145999999999,71.44145999999999,137.09732
E02000237,0.0,0.0,463.52103999999997,218.86979,218.86979,463.52103999999997
E02000238,0.0,0.0,578.51557,511.12194999999997,511.12194999999997,578.51557
E02000239,0.0,0.0,590.97402,389.70414999999997,389.70414999999997,590.97402
E02000240,0.0,0.0,940.26518,659.7893799999999,659.7893799999999,940.26518
E02000241,911.14869607,3005.79138986,1893.8458500000002,2404.21527,3315.36396607,4899.63723986
E02000242,0.0,0.0,385.90854,267.29665,267.29665,385.90854
E02000243,790.8772639944084,2225.8329349620003,1129.64967,1312.85976,2103.7370239944084,3355.4826049620006
E02000244,378.651586185246,1128.602302001,502.71867000000003,491.86783,870.519416185246,1631.320972001
E02000245,0.0,0.0,1451.12683,899.43966,899.43966,1451.12683
E02000246,0.0,0.0,2182.00115,1458.48893,1458.48893,2182.00115
E02000247,0.0,0.0,1574.25864,960.8072999999999,960.8072999999999,1574.25864
E02000248,760.5278949177716,1860.417846167858,1497.79727,1341.62949,2102.1573849177717,3358.215116167858
E02000249,0.0,0.0,3714.45475,2930.4986599999997,2930.4986599999997,3714.45475
