MSOA11CD,od_origin_total,od_destination_total
E02000552,1103,1662
E02000553,774,961
E02000554,736,1059
E02000555,522,567
E02000556,1239,1129
E02000557,2311,1906
E02000558,1286,1553
E02000559,697,604
E02000560,1567,1016
E02000561,173,247
E02000562,562,609
E02000563,527,868
E02000564,1603,1407
E02000565,337,513
E02000566,1625,1554
E02000567,660,930
E02000568,1557,1830
E02000569,871,1017
E02000570,394,388
E02000571,252,349
E02000572,581,735
E02000573,3685,2901
E02000574,1874,1953
E02000575,5112,4689
E02000576,3953,3182
E02000577,1768,1697
E02000578,430,666
E02000579,878,1073
E02000580,1069,1143
E02000581,484,588
E02000582,813,755
E02000583,511,551
E02000584,1429,1050
E02000585,611,442
E02000586,1334,872
E02000587,515,397
E02000588,2123,1596
E02000589,1109,877
E02000590,1685,1702
E02000591,761,906
E02000592,977,822
E02000593,514,681
E02000594,1096,1070
E02000595,1122,829
E02000596,708,319
E02000597,788,861
E02000598,654,1151
E02000599,668,557
E02000600,1177,1189
E02000601,1053,1231
E02000602,1892,1884
E02000603,1118,1664
E02000604,2259,2043
E02000605,910,939
E02000606,10447,8015
E02000607,567,892
E02000608,2936,2496
E02000609,673,980
E02000610,793,1090
E02000611,763,1206
E02000612,237,404
E02000613,559,799
E02000614,1156,1453
E02000615,630,861
E02000616,199,297
E02000617,1130,1376
E02000619,867,1019
E02000620,1759,1927
E02000621,4215,4762
E02000622,1575,1713
E02000623,763,1079
E02000624,986,1397
E02000625,1822,1598
E02000626,775,1160
E02000627,976,1027
E02000628,7717,5817
E02000629,1231,1314
E02000630,1443,1531
E02000631,2507,2312
E02000632,815,677
E02000633,2921,2441
E02000634,1135,1042
E02000635,2191,2225
E02000636,508,334
E02000637,645,975
E02000638,728,700
E02000639,762,1328
E02000640,416,551
E02000641,727,1140
E02000642,1768,1811
E02000643,1025,903
E02000644,680,848
E02000645,2405,2449
E02000646,1888,1617
E02000647,587,1353
E02000648,1204,1725
E02000649,4619,4091
E02000650,1352,1906
E02000651,1208,1448
E02000652,579,790
E02000653,2150,2966
