stoparea_unit_code,lsoa,unit_easting,unit_northing,activity,dist_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_m
AREA::490G00003065,E01002738,531964.0,185233.0,274.15008,474.4733922992943,1441,4,5221.762537687826
AREA::490G00003066,E01002348,553950.0,182760.0,84.08541,3274.295388998498,571,0,24034.032058728724
AREA::490G00003067,E01001733,535708.0,185449.0,149.59488,529.9603758772914,6979,4,7607.818346937576
AREA::490G00003068,E01000933,525441.0,184063.0,391.48423,461.0531422732091,1415,2,5886.660598335868
AREA::490G00003069,E01001140,533547.0,169611.0,38.7674,1075.0451153323752,5356,0,11328.462781860564
AREA::490G00003070,E01003057,530065.0,175171.0,67.77054,536.5389081883997,5301,2,5210.09222567125
AREA::490G00003071,E01003020,530705.0,175135.0,760.92184,454.8709687099794,778,3,5288.738696513565
AREA::490G00003072,E01035707,529980.0,184386.0,85.47338,791.0309728449323,1439,2,4005.3640283999157
AREA::490G00003074,E01002708,530074.0,184317.0,611.00545,699.7520989607676,1439,2,3936.2032467849017
AREA::490G00003075,E01001351,519685.0,180162.0,96.62849,606.4193540441895,500,4,10351.316921049225
AREA::490G00003076,E01032572,520564.0,178902.0,786.60388,324.17158315993066,545,0,9584.797389616539
AREA::490G00003077,E01001354,519586.0,179977.0,118.82522,399.82612115689835,500,4,10455.807955390152
AREA::490G00003078,E01001247,520215.0,182586.0,612.19401,878.6232819066811,653,4,10063.537449624759
AREA::490G00003079,E01000525,521621.0,183169.0,309.76632,316.4752608305455,766,4,8862.929143347588
AREA::490G00003080,E01001354,519596.0,179994.0,45.18703,418.93054049492605,500,4,10445.17175540929
AREA::490G00003082,E01001509,535742.0,196083.0,121.58216,930.7421769749128,6947,2,16707.30582709253
AREA::490G00003083,E01001355,520293.0,180064.0,7517.8893,419.66921497770124,1404,2,9746.156678404057
AREA::490G00003084,E01001244,520821.0,180056.0,291.78468,305.60472836656174,1404,2,9218.730606759262
AREA::490G00003085,E01000020,547479.0,186546.0,48.34372,1091.8081333274633,6874,0,18502.303910594484
AREA::490G00003086,E01001958,522556.0,180910.0,94.54369,768.9914821208138,764,2,7496.687601867908
AREA::490G00003087,E01000938,530690.0,182752.0,511.19491,529.6292476119919,625,2,2460.076624822894
