unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
700,0,2,Shepherd's Bush LU,"LO,LU",-0.2188348749838903,51.50435277171325,2,True
702,5,6,Sloane Square,LU,-0.1563353394945677,51.49233693461083,0,False
703,3,1,Snaresbrook,LU,0.0213934263382834,51.58067707711797,1,True
704,3,1,South Ealing,LU,-0.3075052577072797,51.50089966685759,1,True
705,3,1,Southfields,LU,-0.2066534771013345,51.44507985784133,1,True
706,3,1,Southgate,LU,-0.1277625393853033,51.63225854371172,1,True
707,3,1,South Harrow,LU,-0.3520927569079474,51.564549549948175,1,True
708,5,2,South Kensington,LU,-0.1731650469113846,51.49408858708188,0,False
709,2,1,South Kenton,"LO,LU",-0.3083734923397721,51.570212909100526,3,False
710,3,1,South Ruislip,LU,-0.3988661306887068,51.55686021118094,1,True
711,3,1,South Wimbledon,LU,-0.1933065202931911,51.41498929257676,1,True
712,3,1,South Woodford,LU,0.0273625184698253,51.591892453017074,1,True
713,3,1,Stamford Brook,LU,-0.2460012251835393,51.4949181050598,1,True
714,3,1,Stanmore,LU,-0.3032624771028668,51.61971092780402,1,True
715,0,2,Stepney Green,LU,-0.0465909032388702,51.52186169216427,2,True
716,1,5,Stockwell,LU,-0.1230421883655021,51.47182845729258,5,True
717,3,1,Stonebridge Park,"LO,LU",-0.2764667949099679,51.54419264973252,1,True
718,5,4,Charing Cross LU,LU,-0.1273836832203838,51.50737795073341,0,False
719,0,2,Stratford,"DLR,EZL,LO,LU",-0.0038044932283004,51.54145647497037,2,True
720,2,6,Sudbury Hill,LU,-0.3366239412564384,51.55696518658866,3,False
721,3,1,Sudbury Town,LU,-0.3157464873310852,51.550805806993615,1,True
723,3,1,Swiss Cottage,LU,-0.1748398347754522,51.54370542648981,1,True
724,5,0,Temple,LU,-0.1142517165435635,51.51098440371512,0,True
725,2,3,Theydon Bois,LU,0.1033276639997498,51.671832474283256,3,True
726,3,1,Tooting Bec,LU,-0.159233625335043,51.43589927439103,1,True
727,3,1,Tooting Broadway,LU,-0.1683898368141734,51.42767600459317,1,True
728,5,4,Tottenham Court Road,"EZL,LU",-0.1305038755407188,51.51645724635473,0,False
729,1,5,Tottenham Hale LU,LU,-0.0601646506537094,51.588048703622064,5,True
730,3,1,Totteridge & Whetstone,LU,-0.1792054604098072,51.63058779485697,1,True
731,0,2,Tower Hill,LU,-0.0765262714194326,51.50994511580925,2,True
733,1,5,Tufnell Park,LU,-0.1384656557230477,51.55684430975304,5,True
734,3,1,Turnham Green,LU,-0.2545503301237331,51.4949578319235,1,True
735,3,1,Turnpike Lane,LU,-0.1029721135418456,51.59025232853629,1,True
736,2,3,Upminster,"LO,LU",0.2511155158113154,51.55908765486934,3,True
737,2,3,Upminster Bridge,LU,0.2358266798019925,51.5584960541412,3,True
738,2,1,Upney,LU,0.1015536636074823,51.53835457119145,3,False
739,3,1,Upton Park,LU,0.0352101576549693,51.53538004104193,1,True
740,3,6,Uxbridge,LU,-0.4776347848292753,51.54646222722115,1,False
7401,0,2,Harringay Green Lanes,LO,-0.098795,51.5771,2,True
7402,2,6,Leyton Midland Road,LO,-0.008125,51.569775,3,False
7403,2,6,Leytonstone High Road,LO,0.00857,51.56333,3,False
7404,2,6,South Tottenham,LO,-0.07272,51.58044,3,False
7406,5,2,Crouch Hill,LO,-0.11714,51.57116,0,False
7407,0,6,Walthamstow Queen's Road,LO,-0.02411,51.58148,2,False
7408,0,6,Wanstead Park,LO,0.02523,51.55191,2,False
741,0,2,Victoria LU,LU,-0.1430892898009483,51.49640097859263,2,True
742,3,1,Walthamstow Central,"LO,LU",-0.0215170203946605,51.58311960662003,1,True
743,3,1,Wanstead,LU,0.0286206777652704,51.57560161289604,1,True
745,5,0,Warren Street,LU,-0.1383417771400554,51.52452712399776,0,True
746,3,1,Warwick Avenue,LU,-0.183606755586787,51.52319886210523,1,True
7467,0,6,Woodgrange Park,LO,0.044,51.5494,2,False
747,0,2,Waterloo LU,LU,-0.1144266340815464,51.50342525720376,2,True
7473,4,3,Emerson Park,LO,0.2197,51.56904,4,False
748,2,3,Watford,LU,-0.4174120635262017,51.65748010048808,3,True
749,1,5,Stratford High Street,DLR,-0.0004,51.538015,5,True
750,1,5,Abbey Road,DLR,0.003765,51.532395,5,True
751,0,6,Wembley Central,"LO,LU",-0.2968265595489338,51.55228164027704,2,False
752,1,5,Wembley Park,LU,-0.2800500615096861,51.56376083873252,5,True
753,3,1,West Acton,LU,-0.2809538703054756,51.517980197246935,1,True
754,3,1,Westbourne Park,LU,-0.2011529326328899,51.52092006250626,1,True
755,0,2,West Brompton,"LO,LU",-0.1955717597038599,51.487279564113926,2,True
756,3,1,West Finchley,LU,-0.1883426849145049,51.60948689407505,1,True
757,3,1,West Ham,"DLR,LU",0.0042827258459676,51.5282792316888,1,True
758,3,1,West Hampstead LU,"LO,LU",-0.1901696027556685,51.546801915703966,1,True
759,3,1,West Harrow,LU,-0.3532902802999658,51.57956661616709,1,True
760,3,1,West Kensington,LU,-0.2054570002997324,51.490790555082114,1,True
761,5,0,Westminster,LU,-0.1256586526219809,51.5009642958388,0,True
762,2,3,West Ruislip,LU,-0.4376470760460559,51.56962926058854,3,True
763,0,2,Whitechapel,"EZL,LO,LU",-0.0607687139474135,51.51953209733413,2,True
764,0,0,White City,LU,-0.2244621452540354,51.5122152625013,2,False
765,3,1,Willesden Green,LU,-0.2227167285540804,51.54937241454188,1,True
766,3,1,Willesden Junction,"LO,LU",-0.2445731603163596,51.53240375197415,1,True
767,2,3,Wimbledon,"LU,TRM",-0.2065150560922177,51.42143496760067,3,True
768,3,1,Wimbledon Park,LU,-0.1990863401084273,51.43405524828911,1,True
769,3,1,Woodford,LU,0.03401185348011,51.60686112070409,1,True
770,1,2,Wood Green,LU,-0.1098590191239897,51.5974714659873,5,False
771,3,1,Woodside Park,LU,-0.1855114363532535,51.61808637995582,1,True
773,0,2,Hammersmith (H&C),LU,-0.2249293587788519,51.49378399419851,2,True
774,0,2,Edgware Road (Bak),LU,-0.1702481178612425,51.52046920147198,2,True
775,0,2,Shepherd's Bush Market,LU,-0.2262959221921962,51.50609054189476,2,True
776,3,1,Pimlico,LU,-0.1337087125034068,51.489081972458365,1,True
777,3,1,Vauxhall LU,LU,-0.1242521229828271,51.48569743810505,1,True
778,1,5,Brixton LU,LU,-0.1148949328839154,51.46266709356466,5,True
779,1,5,Hatton Cross,LU,-0.4234642103862575,51.46662784627763,5,True
780,4,4,Heathrow Terminals 123 LU,"EZL,LU",-0.4524258114844233,51.47130365988795,4,True
