NLC,Station,mode_label,total_entry,total_exit,total_activity
6941,Edmonton Green,LO,29426.51467012078,29273.52006711534,58700.03473723612
6947,Southbury,LO,8212.29252131246,9142.581852522,17354.87437383446
6949,Theobalds Grove,LO,6148.569534158809,6213.12942980664,12361.69896396545
695,St. James's Park,LU,66765.907522886,73216.39698456001,139982.304507446
6952,Turkey Street,LO,9058.916838116125,9168.445228001621,18227.36206611775
6954,Wood Street,LO,14807.534366465716,14572.639433909237,29380.173800374952
6956,White Hart Lane,LO,12783.3576964502,12178.090084422141,24961.447780872342
6958,Bruce Grove,LO,9173.592155804046,7947.43751067073,17121.029666474777
6959,Enfield Town,LO,17524.077296385174,16204.73108506557,33728.80838145074
696,St. John's Wood,LU,42020.92673004113,43243.958905650514,85264.88563569164
6962,Cambridge Heath,LO,11923.701416404845,11077.78486118605,23001.486277590895
6966,London Fields,LO,13754.407454570231,14247.718790865205,28002.126245435436
6967,Rectory Road,LO,13096.452443666421,12170.938737375001,25267.39118104142
6968,Stamford Hill,LO,6933.65286759997,6554.431882378367,13488.084749978338
697,St. Paul's,LU,61266.17158135379,60905.73723262999,122171.90881398378
6970,Maryland,EZL,29771.37940203,26456.7721189076,56228.1515209376
6972,Silver Street,LO,20138.857453858614,19762.5889106674,39901.44636452601
6973,St James Street,LO,10414.3030680578,10132.726589943219,20547.029658001018
6977,Hackney Central,LO,39651.609177903585,39586.110991472335,79237.72016937591
6978,Hackney Wick,LO,26560.886184635,28987.633956996004,55548.520141631
6979,Homerton,LO,31193.6931852724,30748.762489147,61942.4556744194
698,Seven Sisters,"LO,LU",90632.97729794873,89492.93431592315,180125.91161387187
700,Shepherd's Bush LU,"LO,LU",163275.63588079312,163395.04296825995,326670.6788490531
702,Sloane Square,LU,99068.22793006,100149.585324892,199217.81325495202
703,Snaresbrook,LU,13238.996659472283,13030.60577852701,26269.602437999292
704,South Ealing,LU,15484.725743702438,15578.219542252913,31062.94528595535
705,Southfields,LU,36852.12736490709,34308.33663470915,71160.46399961624
706,Southgate,LU,27469.63985365151,28802.03847564064,56271.67832929215
707,South Harrow,LU,14147.528349674956,14507.712780224314,28655.24112989927
708,South Kensington,LU,212373.117292016,218265.22819388565,430638.34548590163
709,South Kenton,"LO,LU",7629.345125950081,7154.6873660741985,14784.032492024278
710,South Ruislip,LU,11164.014758387848,10893.475409592947,22057.490167980795
711,South Wimbledon,LU,26447.16039807629,25808.797457909404,52255.95785598569
712,South Woodford,LU,28058.97311423655,28851.233340955398,56910.20645519195
713,Stamford Brook,LU,16036.482813549725,15130.485046143453,31166.967859693177
714,Stanmore,LU,22382.157769075613,22707.927902494375,45090.08567156999
715,Stepney Green,LU,38250.746584140004,37294.431765555004,75545.17834969501
716,Stockwell,LU,56218.229868003276,50803.71216186556,107021.94202986883
717,Stonebridge Park,"LO,LU",18188.6644568641,17161.782392803234,35350.446849667336
718,Charing Cross LU,LU,118314.92834181651,110866.99551983019,229181.9238616467
719,Stratford,"DLR,EZL,LO,LU",398509.31872440287,403939.9098431232,802449.2285675261
720,Sudbury Hill,LU,11614.698910893525,11654.471509511633,23269.170420405157
721,Sudbury Town,LU,12054.315286113087,11063.329361431275,23117.644647544363
723,Swiss Cottage,LU,39279.370001464515,38902.85493518025,78182.22493664476
724,Temple,LU,50767.246223854,54958.133445143845,105725.37966899785
725,Theydon Bois,LU,5058.25853572473,5195.874071936821,10254.132607661551
726,Tooting Bec,LU,45909.682624956564,44085.085999220275,89994.76862417684
727,Tooting Broadway,LU,89438.02502308511,87855.22537501248,177293.2503980976
728,Tottenham Court Road,"EZL,LU",423084.6693491795,421879.5298303097,844964.1991794892
729,Tottenham Hale LU,LU,102655.06661910369,97902.56381860212,200557.6304377058
730,Totteridge & Whetstone,LU,14128.627219858561,13478.705825482333,27607.333045340893
731,Tower Hill,LU,114480.14704989741,125372.0735071454,239852.2205570428
733,Tufnell Park,LU,23761.960494027764,21662.71108364381,45424.67157767157
