NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
599,17895.201553783554,9.792343765611212,0.1337389930295895,0.0741621840929796,0.018566425249392796,0.003811729486110806,0.00281792909577258,0.025523071945554456,0.8157467889315084,medium,2,Wood Lane,LU,10144.243894824054,7750.957658959501
601,19069.65303361564,9.85590594203624,-0.40176943840189977,0.15214299186551827,0.041941351117645485,0.06665957465554631,0.0320362306791383,0.06362446254262487,0.753407475375622,medium,4,Hendon Central,LU,5704.024621890402,13365.628411725253
602,13951.199997230857,9.54339248070993,-0.532449276133922,0.15748253230022852,0.04537082371949689,0.06603690921339721,0.0330238896725264,0.06784138203359841,0.7906189198150559,medium,4,High Barnet,LU,3261.4468287528566,10689.753168478004
603,72618.84151358658,11.19299346255871,-0.036402396014635165,0.1653129917549916,0.039275792817582006,0.06708476594445975,0.03552606763847186,0.06431201862476768,1.0030248947914393,high,3,Highbury & Islington,"LO,LU",34987.67084334249,37631.170670244086
604,19159.437389026225,9.860602879501569,-0.44854634419898076,0.14803754878046438,0.03811843125373804,0.04776078330014887,0.023552504450118465,0.05851992765350207,0.7836242607885426,medium,4,Highgate,LU,5282.770895634623,13876.666493391614
605,35002.80667433,10.463212096681094,0.20698894975308957,0.08649212386589138,0.020977739313516163,0.0031383673508178877,0.0017131100581707218,0.029603527660615525,0.907325402171699,high,2,High Street Kensington,LU,21124.000433130008,13878.806241200004
606,5048.1750742206,8.526980157286589,-0.566273297716156,0.12932915098607176,0.046587546483210174,0.022604576681302363,0.012567389037670218,0.06660747152751662,0.7403509476046156,low,0,Hillingdon,LU,1094.7641637466006,3953.410910474002
607,78112.43957790108,11.265917402686693,0.44622705208113533,0.13569619738799982,0.03243847660603424,0.054399329388635675,0.025102804281429966,0.05158656057837973,0.6566308235091319,high,1,Holborn,LU,56484.161610806885,21628.27796709425
608,9691.551372548252,9.179112969768154,-0.09053665106615233,0.13003289887291758,0.03018512866482849,0.061172573410436866,0.029435510665165067,0.04364061165697363,0.8079360771935399,medium,4,Holland Park,LU,4407.055383821084,5284.49598872717
609,19465.29097175873,9.876439580566018,-0.2869160279455974,0.15230234604558152,0.03992769275649902,0.06537253499708645,0.03123630672723489,0.0633810685175197,0.7917257486431648,medium,4,Holloway Road,LU,6940.193501668213,12525.097470090515
610,5251.126535484709,8.56638832795133,-0.5423163032315742,0.11160099200946691,0.034163934644171785,0.025756148657096228,0.017414899974008632,0.047415098288727545,0.5306449954594624,low,0,Hornchurch,LU,1201.6775024797082,4049.449033005
611,12969.395238467107,9.470424750128155,-0.5746800871727971,0.17460504352867243,0.040416550686431754,0.10479009007512952,0.05257919994771224,0.06446817076168443,0.7455072109862989,medium,4,Hounslow Central,LU,2758.071026123185,10211.32421234392
612,15270.02075557933,9.633712243102236,-0.590253499581145,0.1816956085857149,0.05036109714425787,0.09879919916534785,0.0495911204261179,0.08125496813139801,0.8258168992963381,medium,4,Hounslow East,LU,3128.418782960953,12141.60197261837
613,13121.161865045167,9.482057825223132,-0.5953133809300771,0.2012042428649728,0.049126735656502045,0.11328954294921967,0.05900506528374801,0.08607543785993023,0.8750126911811312,medium,3,Hounslow West,LU,2654.979316717168,10466.182548328
614,12608.405740803119,9.442198301821783,0.4589208128004894,0.14366991868931825,0.032080460319932586,0.05208519767792978,0.02517225052330503,0.04818673763585619,1.0019379599149771,medium,2,Hyde Park Corner,LU,9197.332775745415,3411.072965057697
615,2685.1153526734383,7.895851322055837,-0.49997188760837225,0.13349685308044498,0.04524082153263465,0.02314376021815866,0.013412155491804974,0.06526733977013904,0.6591109360162997,low,0,Ickenham,LU,671.31658067554,2013.7987719978985
616,24113.461860837593,10.09056701671759,-0.3105787527912333,0.19292337637744733,0.046772991129844586,0.11158984797986164,0.05739344296357889,0.07781126510258575,0.9181338332675135,high,4,Kennington,LU,8312.16647530984,15801.295385527756
617,7721.288304391749,8.951866011583299,-0.44550363212630156,0.13304753144905068,0.036601682176938224,0.0045046706116654645,0.00243618434118115,0.05632321999461835,0.7386838796795993,low,4,Kensal Green,"LO,LU",2140.7131600454486,5580.575144346304
618,7333.852332693101,8.900392558498918,0.1338237983301062,0.05558970432792875,0.00862662691345295,0.0,0.0,0.01118057724816481,0.7225740162158849,low,2,Kensington (Olympia),"LO,LU",4157.6481541231005,3176.2041785699994
