NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2,area_share
511,E01004717,1,68660.5422287754,826930.1649370403,0.08303064169149398
511,E01004727,4,515870.94771729346,826930.1649370403,0.6238385895096354
512,E01003157,5,119552.74906062055,1550139.7748050394,0.07712385102540618
512,E01003158,5,12179.90832304935,1550139.7748050394,0.00785729681994723
512,E01003161,3,71.68194420608793,1550139.7748050394,4.6242245616272474e-05
512,E01004472,3,30298.19942824275,1550139.7748050394,0.019545462880631748
512,E01004473,3,76980.63596107751,1550139.7748050394,0.04966044818168693
512,E01004474,2,163424.44367551865,1550139.7748050394,0.10542561795504699
512,E01004475,3,77894.62686820205,1550139.7748050394,0.0502500665644805
512,E01004479,4,1961.3954266238002,1550139.7748050394,0.001265302302736206
512,E01004484,6,152857.65876761367,1550139.7748050394,0.09860895207778185
512,E01004485,3,130219.66136048324,1550139.7748050394,0.08400510939528723
512,E01004486,6,17474.626098456174,1550139.7748050394,0.011272935758747273
512,E01004487,3,39996.57740814105,1550139.7748050394,0.02580191674210244
512,E01004542,4,87875.3334100855,1550139.7748050394,0.05668865146121262
512,E01004543,4,150354.72443356726,1550139.7748050394,0.09699430133806955
512,E01004544,2,92337.26372656466,1550139.7748050394,0.05956705661473521
512,E01004545,2,181512.9729911634,1550139.7748050394,0.11709458459253601
512,E01004546,3,28441.1218295332,1550139.7748050394,0.01834745633380721
512,E01004547,2,7554.390923090861,1550139.7748050394,0.0048733611290252676
512,E01004548,2,46314.93069281896,1550139.7748050394,0.029877906138266776
512,E01004550,4,132836.8724759806,1550139.7748050394,0.08569348044287649
513,E01032739,1,270882.80513192236,270882.80513192236,1.0
514,E01000006,4,113066.38659019896,1986932.0038579472,0.05690501052409566
514,E01000007,1,210688.7907975006,1986932.0038579472,0.10603724253694366
514,E01000008,4,122424.25003094344,1986932.0038579472,0.06161471544735156
514,E01000009,2,139096.19285066568,1986932.0038579472,0.07000551230771265
514,E01000011,4,93778.13318318417,1986932.0038579472,0.04719745466935903
514,E01000012,4,128049.43883665567,1986932.0038579472,0.06444580820482389
514,E01000044,4,78760.61387099024,1986932.0038579472,0.03963931011129917
514,E01000050,4,108441.26088757216,1986932.0038579472,0.05457723801167633
514,E01000051,3,33475.045612285896,1986932.0038579472,0.016847605024876908
514,E01000068,5,272931.3068105577,1986932.0038579472,0.13736318418577878
514,E01000070,4,810.2292526567726,1986932.0038579472,0.00040777905387984214
514,E01003732,5,6820.532468540669,1986932.0038579472,0.0034326954597829772
514,E01003734,3,55435.9061231758,1986932.0038579472,0.027900253262586792
514,E01003735,3,74528.87807215628,1986932.0038579472,0.037509526207966104
514,E01003736,4,44187.36849561246,1986932.0038579472,0.022238993790333842
514,E01033587,4,134391.4438295839,1986932.0038579472,0.06763766629589808
514,E01034473,2,136896.15522980288,1986932.0038579472,0.0688982587043729
514,E01034474,1,175899.15043297817,1986932.0038579472,0.08852801710951445
514,E01034479,3,57250.92048288568,1986932.0038579472,0.028813729091747394
515,E01003638,5,266727.3042507487,1622174.0786462468,0.16442582073148443
515,E01003639,5,767121.160340219,1622174.0786462468,0.47289694148016764
515,E01003640,7,131324.20772543,1622174.0786462468,0.08095568130087741
515,E01003641,6,18391.814122864,1622174.0786462468,0.011337756141568065
515,E01003642,5,65193.2188335566,1622174.0786462468,0.04018879335561958
515,E01003643,3,47221.45440291036,1622174.0786462468,0.029109979640605584
515,E01003648,5,29311.24960861224,1622174.0786462468,0.018069114772856783
515,E01003650,5,14679.341287667849,1622174.0786462468,0.009049177570337089
515,E01003701,6,184996.95958685837,1622174.0786462468,0.1140426061679175
515,E01003705,3,15219.879560096757,1622174.0786462468,0.009382395983542164
515,E01003711,4,81987.48892728295,1622174.0786462468,0.05054173285502378
516,E01001866,2,1550.9100170848128,844102.3733596635,0.0018373482483077744
516,E01001867,2,52290.19626725953,844102.3733596635,0.06194769487394772
516,E01001869,2,15058.230643086279,844102.3733596635,0.01783934167031434
516,E01001871,2,125492.19162296024,844102.3733596635,0.1486693979113944
516,E01001872,3,19117.445234369745,844102.3733596635,0.022648254332326104
516,E01001886,2,90002.92279499571,844102.3733596635,0.10662560091706598
516,E01001887,2,24474.19821744467,844102.3733596635,0.028994348304025513
516,E01001889,2,174114.811551431,844102.3733596635,0.20627215021138487
516,E01001890,1,61475.19131525419,844102.3733596635,0.0728290705670842
516,E01001891,1,70250.21553917343,844102.3733596635,0.08322475775013669
516,E01001892,3,87588.82952578965,844102.3733596635,0.10376564773437609
516,E01001900,2,7854.415427864429,844102.3733596635,0.009305050756583694
516,E01001908,2,962.7586953994952,844102.3733596635,0.0011405710086651699
516,E01001910,2,67203.71582973513,844102.3733596635,0.079615598712575
516,E01001913,1,46597.06735742127,844102.3733596635,0.05520309956238771
516,E01001914,3,69.27332039392837,844102.3733596635,8.206743942468659e-05
517,E01002886,1,7863.338299102949,430477.2164614973,0.018266560919853608
517,E01004653,1,11398.044951349613,430477.2164614973,0.0264776961834148
517,E01004654,2,93281.98925203916,430477.2164614973,0.21669437007331718
517,E01004693,3,62697.20018241334,430477.2164614973,0.14564580373795716
517,E01004694,3,6928.297347885096,430477.2164614973,0.016094457692407926
517,E01004695,3,14373.359221563682,430477.2164614973,0.0333893610902617
517,E01004697,2,43367.92391126219,430477.2164614973,0.10074383092267811
517,E01004698,3,80390.82907116742,430477.2164614973,0.18674816226507013
517,E01004699,2,84544.45775232415,430477.2164614973,0.19639705545226216
517,E01004700,3,24829.773081601223,430477.2164614973,0.05767964512895898
517,E01035717,2,802.0033907884703,430477.2164614973,0.0018630565338182141
518,E01000014,5,113001.85978425594,1958219.6117049775,0.05770642838464261
518,E01000041,5,81857.11958782043,1958219.6117049775,0.04180180767189299
518,E01000046,3,98021.72930478337,1958219.6117049775,0.0500565558218662
518,E01000054,5,148698.22253072943,1958219.6117049775,0.0759354168663755
518,E01000055,5,183473.39038557012,1958219.6117049775,0.09369398063878238
518,E01000056,5,42008.304056790505,1958219.6117049775,0.021452294628085573
518,E01000057,4,109515.0367051696,1958219.6117049775,0.05592581958150104
518,E01000058,5,145069.68199656365,1958219.6117049775,0.07408243750059001
518,E01000059,5,2742.9440009216614,1958219.6117049775,0.00140073359725646
518,E01000072,5,25640.310096504356,1958219.6117049775,0.013093684662967868
518,E01000073,5,17715.327186162227,1958219.6117049775,0.009046649865148625
518,E01000074,6,94558.30983446434,1958219.6117049775,0.04828789849169908
518,E01000075,5,462198.474542636,1958219.6117049775,0.23602994872480634
518,E01000076,4,214478.45584611013,1958219.6117049775,0.10952727394011165
518,E01000077,6,7982.920689443584,1958219.6117049775,0.004076621764855595
518,E01000079,5,72231.10928859559,1958219.6117049775,0.03688611269994666
518,E01000080,5,64108.144535410516,1958219.6117049775,0.03273797491977573
518,E01000095,6,36074.38398107366,1958219.6117049775,0.018422031811674337
518,E01000096,5,38843.88735197238,1958219.6117049775,0.01983632842802135
519,E01000842,3,82643.85522872141,872100.2273330718,0.09476417117955657
519,E01000843,2,90377.10759604856,872100.2273330718,0.10363156064346697
519,E01000844,2,2311.1895558075867,872100.2273330718,0.0026501421320291652
519,E01000845,2,72701.86164802566,872100.2273330718,0.08336411271253967
519,E01000846,2,8435.751899627192,872100.2273330718,0.00967291560675791
519,E01000848,2,98970.62493338677,872100.2273330718,0.11348537912442029
519,E01000849,2,57940.7221766088,872100.2273330718,0.06643814593856323
519,E01000882,4,21139.02772051152,872100.2273330718,0.02423921822054304
519,E01000887,2,948.6101733490725,872100.2273330718,0.0010877306800503564
