NLC,Station,Fare Zone,easting,northing,lon,lat
549,Clapham South,2/3,528834.0334,174322.7074,-0.14721241263243376,51.45323695245536
550,Cockfosters,5,528140.5216,196370.205600001,-0.14916314678277617,51.65152862765704
551,Colindale,4,521318.6301,189961.520300001,-0.24993805686952955,51.59544539419721
552,Colliers Wood,3,526787.9528,170368.2575,-0.17805799608697154,51.41815971696416
553,Covent Garden,1,530250.6062,181025.0034,-0.12436702786860558,51.513144508444505
554,Croxley,7,507909.4599,195402.8332,-0.44176805492340054,51.6470771785801
555,Dagenham East,5,550293.9749,185030.270500001,0.16597604681459355,51.54416043622838
556,Dagenham Heathway,5,549022.5413,184709.7413,0.14751917346847765,51.54161732780605
557,Debden,6,544272.9229,196121.782099999,0.08376689656236329,51.6453918793904
558,Dollis Hill,3,522189.8506,185144.020099999,-0.23904076572437893,51.55196194099086
560,Ealing Broadway,3,517989.3481,180932.526699999,-0.301005548648285,51.51500454109758
561,Ealing Common,3,518895.9685,180345.996200001,-0.28814377331699453,51.50954325566993
562,Earl's Court,1/2,525534.3012,178551.8071,-0.19317540262977842,51.49198454803539
563,East Acton,2,521720.9991,181197.768999999,-0.2471625219934364,51.51659745054098
564,Eastcote,5,511153.3473,187621.8123,-0.39736801686353984,51.576511969832765
565,East Finchley,3,527221.696,189183.6545,-0.1650441219039346,51.58715402026014
566,East Ham,3/4,542463.3563,184275.4352,0.052826568311649,51.53940709913807
567,East Putney,2/3,524381.7165,174869.93,-0.2110636822805433,51.459149587092405
568,Edgware,5,519550.4974,191940.4673,-0.27477777123740055,51.61360827412279
569,Edgware Road (DIS),1,527220.0675,181696.8814,-0.16777316638890663,51.51987245129845
570,Elephant & Castle LU,1/2,531908.9646,179141.8869,-0.10118627610280032,51.49583746787788
571,Elm Park,6,552542.0054,185716.105799999,0.1986662037147443,51.549719886941844
572,Epping,6,546209.4306,201538.4,0.11399961918418978,51.69356092525262
574,Euston LU,1,529498.32,182668.2502,-0.13459860915117344,51.52808458451346
575,Euston Square,1,529416.5999,182393.381999999,-0.13587687351584915,51.525633154752434
576,Fairlop,4,544935.5979,190594.5734,0.09105309597165903,51.595558107334746
577,Farringdon,1,531559.9989,181873.9267,-0.10519198867818359,51.52047027577585
578,Finchley Central,4,525278.0259,190668.344000001,-0.19255484880487297,51.60093175153773
579,Finchley Road,2,526220.4473,184716.2096,-0.18109153879636952,51.54723083836693
580,Finsbury Park LU,2,531329.8862,186775.332800001,-0.10667934765407905,51.56457021452156
581,Fulham Broadway,2,525454.6092,177301.7324,-0.19476643999333534,51.48076777565934
582,Gants Hill,4,543273.6779,188430.207599999,0.06619413225561141,51.57653500920319
583,Gloucester Road,1,526182.7589,178846.489499999,-0.18373468987431105,51.49448863919927
584,Golders Green,3,525255.0926,187480.2837,-0.19402225224523736,51.57228620318889
585,Goldhawk Road,2,523183.913,179607.8456,-0.22664486415404567,51.50199179519617
586,Goodge Street,1,529537.2731,181836.5931,-0.13434290236565843,51.520601842773736
587,Grange Hill,4,544967.3103,192558.691299999,0.09232184221334147,51.61319815416051
588,Great Portland Street,1,528837.973,182179.857899999,-0.1442909711973862,51.52384645620309
589,Greenford,4,514763.0955,183928.051899999,-0.3465040750206399,51.54259127112355
590,Green Park,1,529007.2306,180294.834799999,-0.14254189011089013,51.50686769929983
591,Gunnersbury,3,519845.2545,178387.583799999,-0.2751361823945699,51.491741910939425
592,Hainault,4,545079.8923,191498.1822,0.09350819615879127,51.6036401975141
593,Hammersmith (DIS),2,523460.9489,178502.7234,-0.22304188389888033,51.49199951963806
594,Hampstead,2/3,526372.6132,185761.4121,-0.17852309354375814,51.5565898798849
595,Hanger Lane,3,518527.3157,182634.1785,-0.2926845249496959,51.53018552933825
596,Harlesden,3,520874.9265,183414.186899999,-0.2585901442236528,51.5366984829526
597,Harrow & Wealdstone,5,515443.4908,189445.8062,-0.3348864548890388,51.59204382510434
598,Harrow-on-the-Hill,5,515346.2006,188038.3989,-0.3367522322346986,51.57941460314498
599,Wood Lane,2,523373.9519,180519.177100001,-0.223589832503072,51.510140640931624
601,Hendon Central,3/4,522985.7318,188635.9596,-0.2263467398232382,51.58317142482077
602,High Barnet,5,525030.1427,196180.328199999,-0.19416624688190223,51.65052191222786
603,Highbury & Islington,2,531583.269,184873.934800001,-0.10373671479788171,51.5474243924603
604,Highgate,3,528534.7964,188180.791099999,-0.14646788226539453,51.57784395375154
605,High Street Kensington,1,525578.3546,179494.316500001,-0.19220609592531968,51.500445098932744
606,Hillingdon,6,507602.2269,185034.942299999,-0.44938394891092626,51.55394931648672
607,Holborn,1,530512.0615,181525.070900001,-0.12041642112778311,51.5175781351181
608,Holland Park,2,524626.2477,180217.3517,-0.20566045316838816,51.5071535735316
609,Holloway Road,2,530907.4434,185449.7238,-0.11326351342118741,51.55275576448648
610,Hornchurch,6,553944.498,186240.2941,0.21910684007400003,51.55404895710733
611,Hounslow Central,4,513567.6962,175971.364700001,-0.3662939172379908,51.47131979963469
612,Hounslow East,4,514254.5504,176202.929199999,-0.35633446056928547,51.47326292270873
613,Hounslow West,5,512207.7403,176196.9816,-0.38579398315426044,51.47361867347103
614,Hyde Park Corner,1,528213.2383,179816.724099999,-0.15414966922837586,51.5027515504957
615,Ickenham,6,508092.3561,185937.6131,-0.44204013678137116,51.56196897211082
616,Kennington,2,531598.8041,178299.556299999,-0.10596541286235016,51.48834003191997
617,Kensal Green,2,523257.1398,182789.7245,-0.2244787816465951,51.530571777558116
