lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01004406,400.7091199999999,366.01453000000004,348.63063,249.10924000000003,208.95977,171.39038000000002
E01004407,369.51133000000004,321.60474999999997,247.86556000000002,186.09892,144.14482999999998,113.89713
E01004408,595.08809,482.01526999999993,412.54807000000005,918.6821699999999,877.7344200000001,696.2810099999999
E01004409,1455.825,1165.4159799999998,987.4246199999999,518.44934,505.56668,399.57216999999997
E01004410,65.48425999999999,54.098330000000004,41.4557,134.28926,81.81961999999999,75.64431
E01004411,67.85372,60.70114000000001,46.44130000000001,164.25892000000005,143.69149,124.34436
E01004413,138.53108,123.48220000000002,95.06488999999999,283.5697799999999,231.03082,154.35189000000003
E01004414,101.85986999999999,88.87079999999999,72.53004999999999,154.09693000000001,125.24672,79.02913
E01004415,84.63325,62.46471999999999,56.10665,110.6103,83.17447,53.30281999999999
E01004417,369.7847300000001,319.34348,268.53598999999997,500.0143,420.84131,308.1481600000001
E01004418,210.03492999999997,163.10493,172.93791,418.03155000000004,298.82230000000004,249.60385999999997
E01004419,312.75464,240.09096000000002,154.9739,375.95808,313.42289999999997,203.97764999999995
E01004420,834.2799599999998,805.6613000000001,664.02851,959.5217000000001,897.2115999999999,715.9361900000001
E01004421,182.90299999999996,189.14999,147.61197,250.69726999999995,196.09205,146.27402999999998
E01004422,148.03124000000003,160.35488999999995,111.26534000000001,86.5136,106.15813999999997,57.891799999999975
E01004423,83.80000000000001,73.66546,79.29039,95.56585999999999,72.78799999999998,58.973040000000005
E01004424,888.19784,849.3229299999999,794.18609,1621.9806099999998,1449.1928000000003,1211.34971
E01004426,96.77536,111.10102,85.85212000000001,142.57234000000003,98.27734,78.61942999999998
E01004427,463.005,475.42419000000007,322.66319,678.16364,597.9755100000002,469.97103999999996
E01004428,109.45552,107.14124999999999,85.43750000000001,168.73078000000004,151.98157999999998,114.46947
E01004429,462.27318999999994,408.48538,359.80323999999996,612.18627,479.31073999999995,371.9748700000001
E01004430,896.9596800000002,781.09205,658.1741400000001,981.41599,702.2661,676.84305
E01004432,356.61881,324.78487,256.90415,604.2293000000001,545.46374,399.31346
E01004434,120.72832000000002,78.66837,98.66198,192.68536999999998,139.99528,145.98839
E01004435,126.71818999999999,165.06615999999997,114.64883999999999,253.33607000000003,195.21486999999996,152.71779000000004
E01004437,79.74847999999999,60.81488000000001,58.50153999999999,148.87380999999996,132.73805000000002,88.34746999999999
E01004438,834.5472100000001,774.07208,567.7513600000001,672.8347399999998,604.3973699999999,507.7779
E01004440,1305.0956099999999,1107.8431899999998,856.2040599999999,1246.17186,1060.87597,794.9858700000002
E01004444,869.45062,809.1903999999998,605.2715,1088.8166,1003.00076,716.6940900000001
E01004448,112.42926000000001,97.31015000000001,89.36711000000001,177.04588,153.56277000000003,121.53718999999998
E01004451,54.48194,51.381600000000006,44.680130000000005,92.25437000000001,59.147729999999996,51.52267
E01004452,364.93677999999994,298.62762,226.43482000000006,585.1376499999999,456.4394600000001,326.88491
E01004453,146.76965,138.51492000000002,79.61086,161.71751000000003,125.3319,83.66690999999999
E01004454,155.6099,142.76717,122.99898999999999,364.43211,291.6166400000001,213.05141000000003
E01004455,222.27306999999996,229.38138000000004,146.21757,409.75010999999995,362.84236999999996,256.6212999999999
E01004457,52.387170000000005,43.22042,41.51387,49.669019999999996,47.51071000000001,26.450109999999995
E01004458,179.75644,165.76747,145.03088000000002,280.49233999999996,259.82272,188.43056
E01004460,195.9244,192.76968000000002,139.98982999999998,281.52121,279.48551000000003,187.63026000000005
E01004462,193.72657000000007,248.31681000000003,130.36548,137.73808,156.61750999999998,88.74084
E01004464,115.92392999999998,100.84566,69.828,138.06466,160.39066,98.57707999999998
E01004466,32.739529999999995,52.348929999999996,26.04571,48.69798,46.03372,18.29116
E01004467,126.57843000000001,89.55605,79.31255999999999,151.50405,127.65544,110.87711999999998
