threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
70.0,scan,10,3028,84.27497912607849,565,15.725020873921514,5,42,True,50,6.038876000000528,307.94705901640043,-1648435.5101428395,-1810912.4066544187,67,867,2.212681638044914,0.5449445773504666,1718.0817569614828,0.0,0.5662961421343549,0.15343673201859476,0.18237341132723392,0.47245000664723946,0.384770163656381,0.4666983541238007,0.4413061748091403,1.2348446689787396,False
90.0,scan,2,2848,79.26523796270526,745,20.73476203729474,5,42,True,25,0.7917457000003196,300.3861995263643,-1668041.230439098,-1700200.7950830427,1246,1602,43.75,0.4408522038070389,1471.9440216593903,0.0,0.5168461073996452,0.044252431871973134,0.010517633114713137,0.04080197206223271,0.004846973657781005,0.03598474451946227,0.02721123007982533,16.201112647747998,False
90.0,scan,3,2848,79.26523796270526,745,20.73476203729474,5,42,True,9,0.9506340000007185,301.7673103127807,-1654390.1760371013,-1702632.5001891544,315,1950,11.060393258426966,0.04085066611454648,103.29891162819877,3.7061786220177297e-23,0.03560594433328603,0.08251880639709573,0.08841976823527137,0.35696766882666336,0.31602597310957065,0.3343556730120076,0.33578310498274716,0.12165789614890071,True
90.0,scan,4,2848,79.26523796270526,745,20.73476203729474,5,42,True,23,1.2246615999993082,305.51495433669845,-1654296.9005332885,-1718621.9841934503,177,1173,6.214887640449438,0.4947832802175906,1556.6243727825113,0.0,0.5462814250290124,0.06716803383617666,0.06394518122774435,0.3874535338255303,0.2850232359076316,0.3559011539812099,0.342792641238124,1.4433894450898814,False
90.0,scan,5,2848,79.26523796270526,745,20.73476203729474,5,42,True,42,2.084504000000379,306.2695734395176,-1637102.0973202295,-1717509.9404884998,168,1085,5.898876404494382,0.4981936093665908,1537.8708244291429,0.0,0.5395254394756043,0.13754205150942975,0.12685236008220638,0.3773430567927459,0.28684807954963437,0.34231181029811003,0.3355009822134967,1.4849244436773787,False
90.0,scan,6,2848,79.26523796270526,745,20.73476203729474,5,42,True,28,2.3176081999990856,307.1423583847189,-1620583.4795315983,-1717074.082207977,132,828,4.634831460674158,0.5506825424209573,1634.4145848861008,0.0,0.5733337737108025,0.16956468734077404,0.11448252184638184,0.3842130136783472,0.3219233341309873,0.3404872166049541,0.34887452147142956,1.5784544543361112,False
90.0,scan,7,2848,79.26523796270526,745,20.73476203729474,5,42,True,29,2.960162200000923,307.9819607145247,-1603876.8604906749,-1716450.2226751624,80,1030,2.808988764044944,0.5017147572927484,1511.8103805695155,0.0,0.5300282930550917,0.10574864381634391,0.1513678192851762,0.4615325215146098,0.4068655456880229,0.44742866123606717,0.43860890947956666,1.143877259328955,False
90.0,scan,8,2848,79.26523796270526,745,20.73476203729474,5,42,True,54,5.421806899999865,308.65098439995364,-1586210.6579349716,-1714866.7796275676,98,899,3.441011235955056,0.5086878873939139,1504.793765379316,0.0,0.5273921709082099,0.13868920552927952,0.13879606175784093,0.46980631935005657,0.3774298433998453,0.4572812206309951,0.4348391277936323,1.1698300702031788,False
90.0,scan,9,2848,79.26523796270526,745,20.73476203729474,5,42,True,53,5.047698999998829,309.30398711185325,-1568448.1476666848,-1713187.0288673895,44,859,1.5449438202247192,0.5079101015102107,1500.1681023348501,0.0,0.5255963727843783,0.16176111796326617,0.19757570813454065,0.4665997704780913,0.4067099858495572,0.4800582872959001,0.45112268120784954,1.1258802154445366,False
90.0,scan,10,2848,79.26523796270526,745,20.73476203729474,5,42,True,49,5.735734300000331,309.68932756646814,-1549155.5089895139,-1709977.149698327,64,806,2.247191011235955,0.5200491403258779,1516.7535855242022,0.0,0.5312732859493313,0.17087584350745494,0.20415522619671977,0.4545479311688275,0.3721179050474564,0.44713497382050843,0.42460027001226414,1.2247970080444293,False
100.0,scan,2,2761,76.84386306707486,832,23.156136932925133,5,42,True,28,0.8745438999994803,301.43572485649844,-1621737.9736679844,-1653729.9773606192,1064,1697,38.53676204273814,0.4118348476459196,1371.0312869817917,4.14418336382848e-300,0.49656806342217896,0.023029226390144614,0.0017447866806224643,0.011307269920318828,5.529633016163276e-06,0.008697131140066311,0.006669976897800435,61.74456882777672,False
100.0,scan,3,2761,76.84386306707486,832,23.156136932925133,5,42,True,11,0.5717555000010179,302.8418654848752,-1608092.1014768716,-1656083.0686899298,289,1961,10.467222021006881,0.0784768430377855,236.86770145387163,3.67140384777661e-52,0.08515870248508761,0.07598727424618268,0.09242551089220671,0.2791749772135775,0.2533293296951784,0.26977419244922485,0.2674261664526602,0.2934523725885196,True
100.0,scan,4,2761,76.84386306707486,832,23.156136932925133,5,42,True,14,1.2170671000003495,306.2822072309752,-1605696.6786458541,-1669686.6093793355,225,1146,8.149221296631655,0.4822377610584933,1470.7055653597017,0.0,0.5323560266085244,0.08095055770276673,0.09739599833819809,0.36579142882619814,0.28086842156685066,0.32620829466512563,0.32428938168605814,1.4870599788103567,False
100.0,scan,5,2761,76.84386306707486,832,23.156136932925133,5,42,True,16,1.258819399999993,307.0547867757676,-1588551.7446272739,-1668540.6388811786,166,997,6.012314378848243,0.490574568349439,1461.6853240091568,0.0,0.5289133976811164,0.09202693954530229,0.11721780692976858,0.3948275053582317,0.30798469501595643,0.36075628231240303,0.35452282756219705,1.3837601706010687,False
