MSOA11CD,hour,od_origin,od_destination
E02000062,4,0.0,116.0
E02000062,5,82.0,243.0
E02000062,18,1502.0,1237.0
E02000062,19,1283.0,804.0
E02000062,20,1075.0,542.0
E02000062,21,614.0,483.0
E02000062,22,372.0,282.0
E02000062,23,139.0,178.0
E02000063,0,0.0,47.0
E02000063,5,0.0,12.0
E02000063,18,129.0,452.0
E02000063,19,108.0,252.0
E02000063,20,107.0,112.0
E02000063,21,32.0,73.0
E02000063,22,37.0,65.0
E02000063,23,0.0,14.0
E02000064,0,38.0,81.0
E02000064,1,15.0,15.0
E02000064,5,76.0,10.0
E02000064,18,201.0,220.0
E02000064,19,191.0,140.0
E02000064,20,54.0,116.0
E02000064,21,29.0,33.0
E02000064,22,73.0,33.0
E02000064,23,10.0,26.0
E02000065,0,0.0,39.0
E02000065,1,0.0,23.0
E02000065,3,0.0,32.0
E02000065,4,31.0,0.0
E02000065,5,49.0,158.0
E02000065,18,412.0,517.0
E02000065,19,372.0,390.0
E02000065,20,183.0,294.0
E02000065,21,96.0,198.0
E02000065,22,80.0,99.0
E02000065,23,0.0,28.0
E02000066,0,21.0,33.0
E02000066,4,46.0,34.0
E02000066,5,139.0,34.0
E02000066,18,603.0,820.0
E02000066,19,362.0,556.0
E02000066,20,256.0,281.0
E02000066,21,141.0,258.0
E02000066,22,82.0,123.0
E02000066,23,43.0,49.0
E02000067,0,24.0,35.0
E02000067,1,19.0,19.0
E02000067,2,15.0,15.0
E02000067,3,13.0,13.0
E02000067,5,98.0,95.0
E02000067,18,650.0,615.0
E02000067,19,557.0,458.0
E02000067,20,334.0,422.0
E02000067,21,222.0,245.0
E02000067,22,118.0,127.0
E02000067,23,72.0,50.0
E02000068,0,35.0,19.0
E02000068,2,11.0,11.0
E02000068,4,12.0,72.0
E02000068,5,136.0,213.0
E02000068,18,938.0,918.0
E02000068,19,554.0,597.0
E02000068,20,328.0,268.0
E02000068,21,226.0,145.0
E02000068,22,78.0,110.0
E02000068,23,68.0,54.0
E02000069,0,0.0,16.0
E02000069,5,18.0,0.0
E02000069,18,212.0,245.0
E02000069,19,153.0,167.0
E02000069,20,86.0,130.0
E02000069,21,65.0,64.0
E02000069,22,53.0,24.0
E02000069,23,0.0,20.0
E02000070,4,10.0,0.0
E02000070,5,66.0,11.0
E02000070,18,246.0,325.0
E02000070,19,113.0,227.0
E02000070,20,89.0,163.0
E02000070,21,38.0,92.0
E02000070,22,17.0,76.0
E02000070,23,0.0,35.0
E02000071,5,26.0,19.0
E02000071,18,155.0,168.0
E02000071,19,117.0,149.0
E02000071,20,76.0,133.0
E02000071,21,46.0,96.0
E02000071,22,34.0,33.0
E02000071,23,11.0,11.0
E02000072,0,15.0,15.0
E02000072,3,28.0,14.0
E02000072,4,105.0,36.0
E02000072,5,212.0,70.0
E02000072,18,394.0,511.0
E02000072,19,250.0,400.0
E02000072,20,274.0,328.0
E02000072,21,120.0,183.0
E02000072,22,73.0,171.0
E02000072,23,33.0,43.0
E02000073,0,0.0,18.0
E02000073,4,36.0,0.0
E02000073,5,10.0,138.0
E02000073,18,320.0,358.0
E02000073,19,290.0,262.0
E02000073,20,177.0,227.0
E02000073,21,64.0,62.0
E02000073,22,72.0,106.0
E02000073,23,10.0,109.0
E02000074,0,0.0,11.0
E02000074,1,0.0,19.0
E02000074,4,72.0,0.0
E02000074,5,201.0,17.0
E02000074,18,90.0,307.0
E02000074,19,111.0,264.0
E02000074,20,69.0,207.0
E02000074,21,56.0,108.0
E02000074,22,65.0,58.0
E02000074,23,10.0,10.0
E02000075,5,36.0,0.0
E02000075,18,130.0,202.0
E02000075,19,197.0,107.0
E02000075,20,55.0,64.0
E02000075,21,71.0,85.0
E02000075,22,0.0,22.0
E02000077,4,0.0,10.0
E02000077,18,136.0,163.0
E02000077,19,85.0,93.0
E02000077,20,63.0,69.0
E02000077,21,17.0,20.0
E02000077,22,0.0,23.0
E02000078,0,10.0,10.0
E02000078,3,32.0,0.0
E02000078,5,116.0,138.0
E02000078,18,266.0,254.0
E02000078,19,181.0,145.0
E02000078,20,117.0,78.0
E02000078,21,57.0,47.0
E02000078,22,30.0,0.0
E02000079,0,55.0,21.0
E02000079,1,14.0,0.0
E02000079,2,12.0,0.0
E02000079,3,21.0,0.0
E02000079,4,11.0,74.0
