MSOA11CD,od_destination_total,bus_alighting_total,std_residual
E02000474,981,789.13114,0.23046039659707654
E02000475,981,459.78654,-0.5472683503882454
E02000476,6454,5945.5949,0.5445704912717114
E02000477,849,229.17224,-1.349237911590337
E02000478,79,49.07835,-0.2899328682513392
E02000479,952,844.1748299999999,0.36892430931247683
E02000480,2683,1709.58439,-0.04220138467448266
E02000481,376,345.92845,0.3636495574498185
E02000482,646,241.91787,-0.8951774915912645
E02000483,1727,986.85495,-0.22678919469078535
E02000484,857,315.14655,-0.9044328286480964
E02000485,962,598.4147,-0.14099765601191458
E02000486,647,382.07359,-0.2403780436398763
E02000487,201,70.60683999999999,-1.051541272975287
E02000488,457,181.75297,-0.8291774151276633
E02000489,961,618.66568,-0.09164557791046395
E02000490,762,568.6756399999999,0.1066526772923523
E02000491,1590,1441.1673,0.43280553259311944
E02000492,737,321.32037,-0.6687706835316611
E02000493,1405,838.98039,-0.17626881293637905
E02000494,534,199.5131,-0.9097240751792212
E02000495,1658,603.24342,-0.879520907952352
E02000496,793,271.60213,-1.0112509913318124
E02000497,901,208.73136,-1.5652496319065405
E02000498,651,132.68157,-1.7671686378203633
E02000499,688,90.43313,-2.3911134289589424
E02000500,1485,740.2907700000001,-0.43283962250330865
E02000501,382,248.70653,-0.13236868273470276
E02000502,593,154.12581,-1.4241229525347066
E02000503,700,147.63512,-1.7141776112226081
E02000504,695,98.72046,-2.2799235913015177
E02000506,647,345.97138,-0.3831343380262064
E02000507,461,236.94985,-0.4605362319562549
E02000508,2555,3003.509,0.8375493794091109
E02000509,1479,788.76729,-0.33590317222643123
E02000510,1435,1590.27882,0.7160608711228871
E02000511,1369,663.2294899999999,-0.4790572476230355
E02000512,1043,582.33769,-0.29158233936702166
E02000513,1553,870.90572,-0.26049185615540155
E02000514,2076,271.59689,-2.337379021725281
E02000515,1722,1616.42776,0.48829497067729016
E02000516,840,367.45049,-0.6560323299937357
E02000517,858,1466.27402,1.3076800338202528
E02000518,751,508.07422,-0.0355304780067853
E02000519,2319,5537.63779,1.8532494183389494
E02000520,4907,3634.03144,0.21256315161053063
E02000521,1921,904.89591,-0.498434978614533
E02000522,1112,868.96799,0.1965930790395171
E02000523,2723,4722.1069,1.402146124421288
E02000524,26390,9743.44531,-0.6851057418145369
E02000525,3559,4259.2718,0.8842876752919444
E02000526,1338,1250.56196,0.46617120798584566
E02000528,2739,3188.23239,0.827735469007818
E02000529,1833,563.38206,-1.1162434058298183
E02000530,3142,1595.65953,-0.3593118823680013
E02000531,2754,1697.89578,-0.08809616468803128
E02000532,1503,479.36384,-1.0751428628752284
E02000533,485,318.26131,-0.10644119925876128
E02000534,1304,373.33804,-1.2390827721224371
E02000535,1642,1417.29743,0.3643831897239694
E02000536,1567,1635.10699,0.6348537875143685
E02000537,1259,276.09856,-1.6244844425007836
E02000538,2933,2064.4902,0.10688389970634601
E02000539,2352,1345.44318,-0.2059117172948019
E02000540,3176,4276.22176,1.0469834113616687
E02000541,2792,1175.22356,-0.6372422296151302
E02000542,3498,3963.25027,0.8042603808517338
E02000543,4965,6724.09097,1.0836455596413939
E02000544,909,296.04736,-1.075447394375516
E02000545,1712,742.027,-0.6255106528154677
E02000546,1192,689.59053,-0.2321488028088129
E02000547,3469,1073.21256,-1.0673896052701715
E02000548,1576,1054.7527,-0.0048191627500353
E02000549,4288,3679.60749,0.4164483753739379
E02000550,3182,106.34617,-4.270140503392582
E02000551,1960,1480.56032,0.1833207276011891
E02000552,1662,998.5306,-0.15696821435468888
E02000553,961,587.07667,-0.1671056952768241
E02000554,1059,1788.33699,1.3039144916147078
E02000555,567,280.52796,-0.5028522535295458
E02000556,1129,2416.93852,1.649929888160164
E02000557,1906,4737.55367,1.8985870749727551
E02000558,1553,3542.7504200000003,1.761852534287903
E02000559,604,807.4290100000001,0.931444177859744
E02000560,1016,2095.79325,1.5897055235725757
E02000561,247,654.96885,1.859899458473392
E02000562,609,1092.81729,1.3561241309408643
E02000563,868,2409.11499,2.0074384671533965
E02000564,1407,2138.24612,1.1699867853149633
E02000565,513,1702.1231,2.230862159333083
E02000566,1554,986.79587,-0.08139948313489515
E02000567,930,1835.76096,1.5205941732211448
E02000568,1830,1907.97558,0.6434705056848494
E02000569,1017,3699.99659,2.4078003685418685
E02000570,388,441.96169,0.6728616207510698
E02000571,349,417.57734,0.7368942737116311
E02000572,735,1019.87923,0.9976505126966596
E02000573,2901,5166.32173,1.444489632172302
E02000574,1953,1732.85702,0.4150425935355928
E02000575,4689,3655.45221,0.2836931236017969
E02000576,3182,3531.31001,0.7684133261895139
E02000577,1697,1483.44956,0.3847200732531529
E02000578,666,599.02978,0.3669601666265804
E02000579,1073,652.65835,-0.16650225022871062
E02000580,1143,845.9346400000001,0.12000924972934338
E02000581,588,361.00691,-0.19030318648537528
E02000582,755,1548.64725,1.5625988479938953
E02000583,551,674.5778,0.7989660648107278
E02000584,1050,3142.95776,2.1285534422483874
E02000585,442,814.85745,1.3744321223491993
E02000586,872,213.21984,-1.48964422994291
E02000587,397,620.19695,1.129021582186021
E02000588,1596,1476.69108,0.46270879347604765
E02000589,877,77.89135999999999,-2.9381824767161158
E02000590,1702,1861.40295,0.7077909971263081
E02000591,906,485.21144,-0.36024461567548655
E02000592,822,898.79681,0.6614943450278024
E02000593,681,1187.15321,1.3215697848583081
E02000594,1070,2312.02732,1.6599083558033088
E02000595,829,1641.10836,1.51739716724842
E02000596,319,797.35852,1.7917004234764697
E02000597,861,1149.07368,0.9515797175152975
E02000598,1151,636.11165,-0.30016560368146145
E02000599,557,613.77471,0.6480393572022782
E02000600,1189,1341.73181,0.7302656709180815
E02000601,1231,286.6285,-1.539703890793605
E02000602,1884,1938.75654,0.6264564121501035
E02000603,1664,630.3605200000001,-0.8211868386581085
E02000604,2043,897.79557,-0.5946540790910156
E02000605,939,233.24573,-1.462731212554118
E02000606,8015,4341.65545,-0.20744479000642108
E02000607,892,256.27929,-1.2567280909850982
E02000608,2496,1333.92655,-0.30021520903697574
E02000609,980,1196.86318,0.8319602398728533
E02000610,1090,547.04797,-0.4423080750006781
E02000611,1206,493.26064,-0.7306323167653532
E02000612,404,712.71785,1.3052124964266565
E02000613,799,1101.29325,0.9933203666955731
E02000614,1453,879.5947,-0.15446400118709394
E02000615,861,427.19847,-0.4733098852552051
E02000616,297,213.87534,-0.0029648326000376885
E02000617,1376,509.57626,-0.8655117367611775
E02000619,1019,793.70889,0.1864336573004113
E02000620,1927,1329.72805,0.051876387576439
E02000621,4762,5278.3146,0.7921191047232498
E02000622,1713,3657.99819,1.6728638686146382
E02000623,1079,741.29931,0.009216746914405115
E02000624,1397,1692.8573,0.843140697154586
E02000625,1598,2285.45476,1.0905361376541727
E02000626,1160,138.94732,-2.496815755888094
E02000627,1027,947.85528,0.4313342150094603
E02000628,5817,10040.47715,1.4434313917098374
E02000629,1314,783.8096400000001,-0.18197241360294478
E02000630,1531,1466.16789,0.5097054302687167
E02000631,2312,2491.2485,0.7057255252749505
E02000632,677,756.7354300000001,0.6809480434212514
E02000633,2441,2683.99047,0.738313585907179
E02000634,1042,3638.77175,2.350284973838002
E02000635,2225,1651.57074,0.16606338340287333
