K,cluster,day_type,direction,hour_bin,mean_share
4,2,Weekday,boardings,1080,0.1299608976279218
4,2,Weekday,boardings,1140,0.08852565071529704
4,2,Weekday,boardings,1200,0.056039589162371846
4,2,Weekday,boardings,1260,0.03453626879771304
4,2,Weekday,boardings,1320,0.023793800008302633
4,2,Weekday,boardings,1380,0.013602389005196591
4,2,Weekday,boardings,1440,0.004438603575079828
4,2,Weekday,boardings,1500,0.0006698359093662146
4,2,Weekday,boardings,1560,0.00031575348363461526
4,2,Weekday,boardings,1620,0.0003736935875470587
4,2,Weekday,boardings,1680,0.0011613780566631427
4,2,Weekday,boardings,1740,0.03468548201895252
4,2,Saturday,boardings,1080,0.11154736148567745
4,2,Saturday,boardings,1140,0.08864024992526459
4,2,Saturday,boardings,1200,0.058557307600691735
4,2,Saturday,boardings,1260,0.03825454239535435
4,2,Saturday,boardings,1320,0.030161772989868815
4,2,Saturday,boardings,1380,0.021887637944353146
4,2,Saturday,boardings,1440,0.0028171532540482262
4,2,Saturday,boardings,1500,0.0004204614834309839
4,2,Saturday,boardings,1560,0.00023037649791951027
4,2,Saturday,boardings,1620,0.0003358963874980503
4,2,Saturday,boardings,1680,0.0007297423675706768
4,2,Saturday,boardings,1740,0.0029560143292703765
4,2,Sunday,boardings,1080,0.06384871175693257
4,2,Sunday,boardings,1140,0.05472148325971931
4,2,Sunday,boardings,1200,0.04167650482181066
4,2,Sunday,boardings,1260,0.026358857153877188
4,2,Sunday,boardings,1320,0.017865603185181895
4,2,Sunday,boardings,1380,0.00924223458224075
4,2,Sunday,boardings,1440,0.004438603575079828
4,2,Sunday,boardings,1500,0.0006698359093662146
4,2,Sunday,boardings,1560,0.00031575348363461526
4,2,Sunday,boardings,1620,0.0003736935875470587
4,2,Sunday,boardings,1680,0.0011613780566631427
4,2,Sunday,boardings,1740,0.03468548201895252
4,2,Weekday,alightings,1080,0.13246864329503497
4,2,Weekday,alightings,1140,0.09473523837433322
4,2,Weekday,alightings,1200,0.05925640836658703
4,2,Weekday,alightings,1260,0.04309738757162416
4,2,Weekday,alightings,1320,0.03476000014638907
4,2,Weekday,alightings,1380,0.024991963029296023
4,2,Weekday,alightings,1440,0.010721235932169672
4,2,Weekday,alightings,1500,0.0012932323221172745
4,2,Weekday,alightings,1560,0.0003111418012091396
4,2,Weekday,alightings,1620,0.00027091104160163136
