iteration,K,sample_unique_n,model_seed,ARI,converged,n_iter,convergence_warnings
88,5,166,1613758404,0.5382624654646804,True,6,0
88,6,166,1613758405,0.5120937433416719,True,8,0
88,7,166,1613758406,0.5888483566273093,True,7,0
88,8,166,1613758407,0.44995050707423584,True,6,0
89,3,171,1045028623,0.8781189170174396,True,6,0
89,4,171,1045028624,0.6756721452101185,True,8,0
89,5,171,1045028625,0.5031404027780032,True,9,0
89,6,171,1045028626,0.6531809726378397,True,11,0
89,7,171,1045028627,0.4336157074259283,True,9,0
89,8,171,1045028628,0.5427854403804291,True,9,0
90,3,174,534772099,0.5330101889858117,True,3,0
90,4,174,534772100,0.8104490830936614,True,9,0
90,5,174,534772101,0.7560048212024169,True,8,0
90,6,174,534772102,0.7263464352575424,True,10,0
90,7,174,534772103,0.4507409884631538,True,11,0
90,8,174,534772104,0.5576503535129428,True,6,0
91,3,171,1404980868,0.5150193450701468,True,4,0
91,4,171,1404980869,0.8491570176057229,True,10,0
