NLC,tot_entry,tot_exit,total_activity,ASC,Station,Fare Zone,mode_label
6888,2946.0304898688323,19494.35385206,22440.384341928835,6888,Shenfield,,EZL
6893,3227.3480462908396,12302.571610435998,15529.919656726837,6893,Seven Kings,,EZL
690,3766.6737741913344,5045.963569120002,8812.637343311337,690,Royal Oak,,LU
691,1369.1119007054772,3388.6791263300006,4757.791027035478,691,Ruislip,,LU
6913,1810.4921619374047,4913.423047656789,6723.915209594194,6913,Bush Hill Park,,LO
6914,1644.0503799000007,6899.706044120001,8543.75642402,6914,Chingford,,LO
6919,1782.4986035243985,7622.036187323,9404.5347908474,6919,Highams Park,,LO
692,548.2006136067607,2478.0829117859194,3026.28352539268,692,Ruislip Gardens,,LU
6926,2558.8213819519096,5878.30745456,8437.12883651191,6926,Clapton,,LO
693,1135.1417761113576,3611.0141923490005,4746.155968460358,693,Ruislip Manor,,LU
6934,3180.843303452984,5021.79143207272,8202.634735525704,6934,Stoke Newington,,LO
694,16961.799446863726,14485.716047708001,31447.51549457173,694,Russell Square,,LU
6941,3885.513460385031,10919.006849600935,14804.520309985966,6941,Edmonton Green,,LO
6947,1376.2470685994606,3118.7995495800014,4495.046618179462,6947,Southbury,,LO
6949,754.2456501465183,2337.032009906909,3091.277660053427,6949,Theobalds Grove,,LO
695,16261.405731740006,8234.79622232,24496.201954060005,695,St. James's Park,,LU
6952,1144.706725110124,3375.3064526529993,4520.013177763123,6952,Turkey Street,,LO
6954,1770.6667657043083,5935.975449491459,7706.642215195767,6954,Wood Street,,LO
6956,1785.0051583179,3916.225706423141,5701.230864741041,6956,White Hart Lane,,LO
6958,1649.4740004440466,2988.1468593016994,4637.620859745746,6958,Bruce Grove,,LO
6959,2199.994947517026,6047.8648546023705,8247.859802119398,6959,Enfield Town,,LO
696,9371.729247069701,10694.614173047472,20066.343420117173,696,St. John's Wood,,LU
6962,3009.0682599662846,3064.1416540581517,6073.209914024436,6962,Cambridge Heath,,LO
6966,3046.1599854878295,4511.134330179124,7557.2943156669535,6966,London Fields,,LO
6967,2057.117263565044,5435.480527284481,7492.597790849524,6967,Rectory Road,,LO
6968,1179.952991283969,1747.652914513877,2927.605905797846,6968,Stamford Hill,,LO
697,19542.028783677277,6631.529187240315,26173.55797091759,697,St. Paul's,,LU
6970,4339.426120527999,11818.417154867999,16157.843275395997,6970,Maryland,,EZL
6972,3381.652596773615,6979.556834976801,10361.209431750416,6972,Silver Street,,LO
6973,1609.808524962893,4307.504171194,5917.312696156893,6973,St James Street,,LO
6977,10432.239133823583,14799.435581669997,25231.67471549358,6977,Hackney Central,,LO
6978,8310.027022434997,10693.318085660007,19003.345108095004,6978,Hackney Wick,,LO
6979,6103.737008072402,11414.198568077003,17517.935576149404,6979,Homerton,,LO
698,15998.830868857925,38481.97396432041,54480.804833178336,698,Seven Sisters,,"LO,LU"
700,52513.74243420955,39388.617316994714,91902.35975120426,700,Shepherd's Bush LU,,"LO,LU"
702,30166.163134500017,17157.562022179987,47323.725156680004,702,Sloane Square,,LU
703,1790.3165470355493,4819.338828903056,6609.655375938606,703,Snaresbrook,,LU
704,2492.0020781598573,6374.2133880329975,8866.215466192854,704,South Ealing,,LU
705,4511.147136029097,14128.549550596188,18639.696686625284,705,Southfields,,LU
706,3753.7286465642005,12054.447963018007,15808.176609582208,706,Southgate,,LU
707,2085.0727093208156,5836.565959456402,7921.638668777217,707,South Harrow,,LU
708,64840.749567854655,33206.591218796,98047.34078665066,708,South Kensington,,LU
709,833.4626661991517,2476.5702346709363,3310.0329008700883,709,South Kenton,,"LO,LU"
710,1336.1161568561022,4675.353387702297,6011.469544558399,710,South Ruislip,,LU
711,5377.384112114038,10635.146303431993,16012.53041554603,711,South Wimbledon,,LU
712,3527.1906896958776,11960.422652434356,15487.613342130233,712,South Woodford,,LU
713,3141.833861529746,5951.706564779551,9093.540426309297,713,Stamford Brook,,LU
714,2940.2459311199987,9864.30611794,12804.552049059997,714,Stanmore,,LU
715,9211.999976390001,12439.099285079998,21651.09926147,715,Stepney Green,,LU
716,11734.554633516093,23840.268217588015,35574.82285110411,716,Stockwell,,LU
717,2741.5231935802963,6815.794483907234,9557.31767748753,717,Stonebridge Park,,"LO,LU"
718,47642.083590239294,25478.029962169756,73120.11355240905,718,Charing Cross LU,,LU
719,109412.07920527432,109541.3797164371,218953.45892171143,719,Stratford,,"DLR,EZL,LO,LU"
720,1325.4806219414481,4942.9987287824915,6268.479350723939,720,Sudbury Hill,,LU
721,1412.2104128747358,4830.552004385999,6242.762417260735,721,Sudbury Town,,LU
723,9136.820310518158,12429.64556587238,21566.46587639054,723,Swiss Cottage,,LU
724,21168.162285120005,6445.522787027799,27613.685072147804,724,Temple,,LU
725,553.4518174163296,2017.794610891821,2571.246428308151,725,Theydon Bois,,LU
726,8554.179452075798,21233.871855663216,29788.051307739013,726,Tooting Bec,,LU
727,18894.925007615984,35813.427876112495,54708.35288372848,727,Tooting Broadway,,LU
728,215067.84166969336,90121.40062885474,305189.2422985481,728,Tottenham Court Road,,"EZL,LU"
729,22952.977822733694,33958.984854072405,56911.9626768061,729,Tottenham Hale LU,,LU
730,1709.5141837205751,6577.551912209003,8287.066095929578,730,Totteridge & Whetstone,,LU
731,27071.89899645992,30802.739606752715,57874.63860321263,731,Tower Hill,,LU
733,5200.455433111411,10364.314367393032,15564.769800504444,733,Tufnell Park,,LU
734,7078.445830639661,13246.824661478653,20325.270492118314,734,Turnham Green,,LU
735,8909.175894506996,27410.88117236101,36320.057066868,735,Turnpike Lane,,LU
736,3630.84487467141,11528.280302080799,15159.125176752208,736,Upminster,,"LO,LU"
737,409.97082885510116,1554.9469583829662,1964.9177872380674,737,Upminster Bridge,,LU
738,1879.7516242600614,5749.963384139999,7629.7150084000605,738,Upney,,LU
739,14569.287761268895,31938.220878200013,46507.508639468906,739,Upton Park,,LU
740,5919.985832640004,9937.99282379999,15857.978656439995,740,Uxbridge,,LU
7401,3958.2389807309896,4022.572265093983,7980.8112458249725,7401,Harringay Green Lanes,,LO
7402,2369.156565366001,4130.6277547,6499.784320066001,7402,Leyton Midland Road,,LO
7403,2021.298083765668,3251.2421770156843,5272.540260781352,7403,Leytonstone High Road,,LO
7404,3603.953326791535,2789.9409802505725,6393.894307042107,7404,South Tottenham,,LO
7406,2076.256255570752,2074.2090072499986,4150.4652628207505,7406,Crouch Hill,,LO
7407,2548.516314691201,2465.839593608979,5014.35590830018,7407,Walthamstow Queen's Road,,LO
7408,2883.807588721317,3182.0970521564823,6065.9046408777995,7408,Wanstead Park,,LO
741,118852.27373182659,128193.1719837549,247045.44571558147,741,Victoria LU,,LU
