NLC,mode_label,has_lu,is_lu_only,is_tram_only,is_dlr_only,is_lo_only,is_ezl_only
771,LU,True,True,False,False,False,False
773,LU,True,True,False,False,False,False
774,LU,True,True,False,False,False,False
775,LU,True,True,False,False,False,False
776,LU,True,True,False,False,False,False
777,LU,True,True,False,False,False,False
778,LU,True,True,False,False,False,False
779,LU,True,True,False,False,False,False
780,LU,True,True,False,False,False,False
781,LU,True,True,False,False,False,False
783,LU,True,True,False,False,False,False
784,LU,True,True,False,False,False,False
787,LU,True,True,False,False,False,False
788,"LO,LU",True,False,False,False,False,False
789,LU,True,True,False,False,False,False
831,LU,True,True,False,False,False,False
832,LU,True,True,False,False,False,False
842,DLR,False,False,False,True,False,False
850,DLR,False,False,False,True,False,False
851,DLR,False,False,False,True,False,False
852,LU,True,True,False,False,False,False
853,DLR,False,False,False,True,False,False
854,DLR,False,False,False,True,False,False
855,DLR,False,False,False,True,False,False
856,DLR,False,False,False,True,False,False
857,DLR,False,False,False,True,False,False
858,DLR,False,False,False,True,False,False
859,DLR,False,False,False,True,False,False
860,DLR,False,False,False,True,False,False
861,DLR,False,False,False,True,False,False
862,DLR,False,False,False,True,False,False
864,DLR,False,False,False,True,False,False
865,DLR,False,False,False,True,False,False
866,DLR,False,False,False,True,False,False
867,DLR,False,False,False,True,False,False
8776,TRM,False,False,True,False,False,False
8777,TRM,False,False,True,False,False,False
8779,TRM,False,False,True,False,False,False
879,DLR,False,False,False,True,False,False
882,DLR,False,False,False,True,False,False
883,DLR,False,False,False,True,False,False
884,"DLR,LU",True,False,False,False,False,False
886,DLR,False,False,False,True,False,False
887,DLR,False,False,False,True,False,False
888,DLR,False,False,False,True,False,False
889,DLR,False,False,False,True,False,False
890,DLR,False,False,False,True,False,False
891,DLR,False,False,False,True,False,False
893,DLR,False,False,False,True,False,False
894,DLR,False,False,False,True,False,False
895,DLR,False,False,False,True,False,False
897,DLR,False,False,False,True,False,False
898,DLR,False,False,False,True,False,False
928,DLR,False,False,False,True,False,False
940,DLR,False,False,False,True,False,False
9440,TRM,False,False,True,False,False,False
9441,TRM,False,False,True,False,False,False
9442,TRM,False,False,True,False,False,False
9443,TRM,False,False,True,False,False,False
9444,TRM,False,False,True,False,False,False
9445,TRM,False,False,True,False,False,False
9446,TRM,False,False,True,False,False,False
9449,TRM,False,False,True,False,False,False
9450,TRM,False,False,True,False,False,False
9454,TRM,False,False,True,False,False,False
9459,TRM,False,False,True,False,False,False
9460,TRM,False,False,True,False,False,False
9464,TRM,False,False,True,False,False,False
9468,TRM,False,False,True,False,False,False
9470,TRM,False,False,True,False,False,False
9471,TRM,False,False,True,False,False,False
9472,TRM,False,False,True,False,False,False
9473,TRM,False,False,True,False,False,False
9474,TRM,False,False,True,False,False,False
9475,TRM,False,False,True,False,False,False
9476,TRM,False,False,True,False,False,False
9477,TRM,False,False,True,False,False,False
9478,TRM,False,False,True,False,False,False
9479,TRM,False,False,True,False,False,False
9480,TRM,False,False,True,False,False,False
9481,TRM,False,False,True,False,False,False
9482,TRM,False,False,True,False,False,False
9484,TRM,False,False,True,False,False,False
9485,TRM,False,False,True,False,False,False
9486,TRM,False,False,True,False,False,False
9487,TRM,False,False,True,False,False,False
9488,TRM,False,False,True,False,False,False
9491,TRM,False,False,True,False,False,False
9497,TRM,False,False,True,False,False,False
9498,TRM,False,False,True,False,False,False
9499,TRM,False,False,True,False,False,False
9586,LO,False,False,False,False,True,False
9587,LO,False,False,False,False,True,False
9846,EZL,False,False,False,False,False,True
