lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01002687,True,46.26939,retained,3
E01002691,True,144.58748,retained,2
E01002692,True,1730.09071,retained,0
E01002693,True,1282.91355,retained,0
E01002694,True,50.99165,retained,3
E01002695,True,549.14779,retained,0
E01002696,True,1079.45858,retained,0
E01002697,True,1268.82492,retained,0
E01002698,False,31.39755,at_least_one_direction_below_36,-1
E01002700,True,74.29793000000001,retained,3
E01002703,False,3.06803,at_least_one_direction_below_36,-1
E01002704,True,7111.61015,retained,0
E01002706,True,488.19823,retained,0
E01002707,True,1496.35598,retained,0
E01002708,True,316.89341,retained,0
E01002710,True,1178.38446,retained,0
E01002711,True,890.06271,retained,0
E01002712,True,795.9977,retained,0
E01002713,True,569.22258,retained,0
E01002714,True,801.6402,retained,0
E01002716,True,1528.78485,retained,0
E01002717,True,76.61208,retained,1
E01002718,True,78.33094,retained,4
E01002719,True,141.59878999999998,retained,1
E01002720,True,846.76831,retained,0
E01002723,True,100.25282,retained,3
E01002724,True,2929.76305,retained,0
E01002726,True,2335.73083,retained,0
E01002727,True,1313.00126,retained,1
E01002728,True,335.87119,retained,4
E01002730,True,1534.82587,retained,0
E01002732,True,521.34078,retained,0
E01002734,True,7257.21301,retained,0
E01002735,True,4826.65287,retained,0
E01002738,True,924.63938,retained,0
E01002741,True,267.78043,retained,0
E01002743,True,416.88997,retained,0
E01002745,True,211.75383,retained,1
E01002747,True,518.28782,retained,0
E01002748,True,87.73008,retained,3
E01002749,True,472.73289,retained,0
E01002752,True,118.8275,retained,0
E01002754,False,13.77449,at_least_one_direction_below_36,-1
E01002756,True,136.29558,retained,3
E01002758,True,995.24601,retained,0
E01002759,True,83.33708,retained,3
E01002762,True,459.3431,retained,2
E01002763,True,1273.69857,retained,0
E01002764,True,679.58003,retained,0
E01002765,True,1344.61274,retained,0
E01002766,True,136.44818,retained,1
E01002767,True,353.83283,retained,0
E01002768,True,328.06481,retained,1
E01002770,True,8423.93676,retained,0
E01002771,True,486.93633,retained,0
E01002772,True,608.04704,retained,0
E01002773,True,71.80616,retained,3
E01002774,True,1082.48957,retained,0
E01002775,True,107.9184,retained,3
E01002776,True,223.70616,retained,0
E01002778,True,99.45041,retained,3
E01002779,True,2535.40862,retained,0
E01002780,True,289.62526,retained,0
E01002781,True,94.73304,retained,3
E01002782,True,46.25076,retained,3
E01002784,True,93.85075,retained,4
E01002785,True,701.50861,retained,0
E01002786,True,3480.99463,retained,0
E01002788,True,156.9078,retained,3
E01002789,True,520.75757,retained,0
E01002790,True,824.33335,retained,0
E01002791,True,2501.34244,retained,0
E01002793,True,2314.10397,retained,0
E01002794,True,10117.69447,retained,0
E01002795,True,2309.41499,retained,0
E01002796,True,42.34502,retained,1
E01002797,True,263.66663,retained,0
E01002798,True,424.08586,retained,0
E01002801,True,835.0655399999999,retained,0
E01002804,True,249.24101,retained,0
E01002805,True,773.83934,retained,0
E01002807,True,353.54925000000003,retained,0
E01002808,True,184.18113,retained,1
E01002810,True,190.96327,retained,1
E01002811,True,394.84408,retained,3
E01002814,True,441.94151,retained,0
E01002815,True,253.93592,retained,4
E01002817,True,1372.54505,retained,0
E01002818,True,1058.90771,retained,0
E01002819,True,472.24242,retained,0
E01002821,True,4134.45887,retained,0
E01002823,False,0.3834799999999996,at_least_one_direction_below_36,-1
E01002825,True,2275.2508900000003,retained,0
E01002826,True,2357.20318,retained,0
E01002827,True,2372.93396,retained,0
E01002830,True,177.87589,retained,4
E01002831,True,1935.31557,retained,0
E01002832,False,16.153209999999998,at_least_one_direction_below_36,-1
E01002833,True,748.51471,retained,0
E01002835,True,891.4673,retained,4
E01002837,True,69.20792,retained,3
E01002839,True,77.54645,retained,4
E01002840,True,660.10032,retained,0
E01002843,True,517.81881,retained,1
E01002844,True,824.42431,retained,0
E01002845,True,1659.51727,retained,0
E01002846,True,206.00415,retained,1
E01002847,True,246.19751,retained,1
E01002849,True,1298.62934,retained,0
E01002850,True,40.04785,retained,4
E01002851,True,212.59442,retained,4
E01002852,True,2215.08555,retained,0
E01002854,True,136.75188,retained,1
E01002857,False,28.73831,at_least_one_direction_below_36,-1
E01002858,True,70.76086,retained,3
E01002859,True,680.56884,retained,0
E01002861,True,130.96204,retained,2
E01002862,True,47.71712,retained,2
E01002863,True,91.55144,retained,4
E01002864,True,480.13862,retained,0
E01002866,True,137.15633,retained,3
E01002867,True,208.66633,retained,3
E01002868,True,500.11088,retained,0
E01002869,True,373.97981,retained,0
E01002870,True,368.07958,retained,2
E01002873,True,566.17967,retained,0
E01002874,True,118.96611,retained,2
E01002875,False,6.645359999999999,at_least_one_direction_below_36,-1
E01002877,True,115.04904,retained,2
E01002878,True,367.36793,retained,0
E01002880,True,311.30059,retained,2
E01002882,True,85.93761,retained,4
E01002883,True,1319.06667,retained,0
E01002884,True,1308.49912,retained,0
E01002885,True,214.41037,retained,4
E01002886,True,979.89518,retained,0
E01002887,True,121.20751,retained,3
E01002891,True,435.89958,retained,1
E01002892,False,3.30198,at_least_one_direction_below_36,-1
E01002893,False,18.68387,at_least_one_direction_below_36,-1
E01002894,True,809.24226,retained,0
E01002896,True,245.79152,retained,2
E01002897,True,141.35495,retained,2
E01002898,True,118.54201,retained,3
E01002899,True,853.5117,retained,0
E01002900,True,89.57405,retained,3
E01002901,True,965.05234,retained,0
E01002902,True,3165.93518,retained,0
E01002903,True,640.40857,retained,0
E01002905,True,616.10661,retained,0
E01002906,True,642.91118,retained,0
E01002908,True,130.56335,retained,1
E01002909,True,458.77623,retained,0
E01002910,True,197.50281,retained,4
E01002911,True,1123.01836,retained,0
E01002912,True,1305.58089,retained,2
E01002913,True,1035.32642,retained,0
E01002914,True,419.0243,retained,3
E01002915,True,51.97435,retained,3
E01002916,True,551.04824,retained,0
E01002918,True,41.4156,retained,3
E01002919,True,1037.04353,retained,0
E01002920,True,99.28762,retained,3
E01002921,True,249.11856,retained,0
E01002922,True,65.23648,retained,3
E01002926,True,155.39036,retained,3
E01002927,False,0.1106,at_least_one_direction_below_36,-1
E01002928,True,240.90995,retained,0
E01002929,True,57.07544,retained,3
E01002930,True,682.90729,retained,0
E01002931,True,1204.27367,retained,0
E01002932,True,268.11406,retained,1
E01002933,False,0.99772,at_least_one_direction_below_36,-1
E01002935,True,460.10899,retained,0
E01002938,True,121.43743,retained,3
E01002939,False,15.98747,at_least_one_direction_below_36,-1
E01002940,True,232.28198,retained,1
E01002941,True,433.73773,retained,0
E01002942,False,6.995889999999999,at_least_one_direction_below_36,-1
E01002943,False,3.80385,at_least_one_direction_below_36,-1
E01002945,False,1.93605,at_least_one_direction_below_36,-1
E01002946,True,133.16081,retained,1
E01002947,True,108.84866,retained,1
E01002948,True,295.81967000000003,retained,1
E01002949,True,149.72339,retained,2
E01002950,True,34.23811,retained,1
E01002951,True,97.72676,retained,1
E01002952,True,183.41078,retained,3
E01002953,True,221.04705,retained,2
E01002954,True,1570.02367,retained,0
E01002955,True,302.20053,retained,1
E01002956,True,315.75844,retained,2
E01002957,True,123.37401,retained,1
E01002959,True,65.1748,retained,3
E01002960,True,162.92992,retained,1
E01002961,True,106.9028,retained,3
E01002963,False,29.72713,at_least_one_direction_below_36,-1
E01002964,True,267.22821,retained,0
E01002965,True,880.59892,retained,0
E01002966,True,137.81329,retained,3
E01002967,True,254.24057,retained,0
E01002968,True,9399.26697,retained,0
E01002969,True,170.19266,retained,1
E01002970,True,195.82285,retained,1
E01002971,True,171.83183,retained,1
E01002972,True,315.78359,retained,0
E01002973,True,229.35459,retained,2
E01002974,True,619.67385,retained,0
E01002975,True,220.40713,retained,3
E01002978,True,790.8487,retained,0
E01002979,False,0.2071899999999999,at_least_one_direction_below_36,-1
E01002981,True,36.78373,retained,3
E01002982,True,277.64846,retained,2
E01002983,True,76.97357000000001,retained,2
E01002984,True,2328.16878,retained,0
E01002986,False,3.92107,at_least_one_direction_below_36,-1
E01002987,True,2853.4153,retained,0
E01002988,True,98.02748,retained,3
E01002990,True,277.34339,retained,0
E01002991,True,44.28992,retained,3
E01002993,True,266.60866,retained,3
E01002994,True,159.27101,retained,0
E01002995,True,241.90752,retained,2
E01002996,True,459.18768,retained,0
E01002997,True,118.36979,retained,3
E01002998,True,63.07666,retained,3
E01002999,True,369.84953,retained,0
E01003000,True,186.73447,retained,3
E01003001,True,255.39262,retained,2
E01003002,True,359.80121,retained,0
E01003005,True,87.86279,retained,2
E01003006,True,276.59786,retained,3
E01003007,False,24.58097,at_least_one_direction_below_36,-1
E01003008,True,77.10245,retained,3
E01003009,True,119.07014,retained,3
E01003010,True,177.18792,retained,3
E01003011,True,102.6561,retained,3
E01003013,True,5544.61726,retained,0
E01003014,True,2149.2539,retained,0
E01003016,True,257.94167,retained,4
E01003018,True,1703.01312,retained,0
E01003019,True,432.62447,retained,0
E01003020,True,3844.14745,retained,0
E01003023,True,1193.73246,retained,0
E01003024,True,2109.28312,retained,0
E01003026,True,156.81729,retained,1
E01003030,True,382.43359,retained,0
