lsoa,private_rented_share,social_rented_share
E01000339,0.08985024958402663,0.20133111480865223
E01000340,0.1233974358974359,0.028846153846153848
E01000341,0.10112359550561797,0.025682182985553772
E01000342,0.14037854889589904,0.012618296529968454
E01000343,0.14336917562724014,0.012544802867383513
E01000344,0.13500784929356358,0.018838304552590265
E01000345,0.07566462167689161,0.010224948875255624
E01000346,0.09120521172638436,0.013029315960912053
E01000347,0.14992025518341306,0.03987240829346093
E01000348,0.045714285714285714,0.009523809523809525
E01000349,0.056402439024390245,0.010670731707317074
E01000350,0.10076045627376426,0.011406844106463879
E01000351,0.08814102564102565,0.004807692307692308
E01000352,0.18590704647676162,0.06296851574212893
E01000353,0.04128440366972477,0.0030581039755351682
E01000354,0.128500823723229,0.2273476112026359
E01000355,0.06156405990016639,0.011647254575707155
E01000356,0.14149443561208266,0.011128775834658187
E01000357,0.036885245901639344,0.010245901639344262
E01000358,0.16691729323308271,0.03007518796992481
E01000359,0.09696969696969697,0.00808080808080808
E01000360,0.33896103896103896,0.02857142857142857
E01000361,0.14381270903010032,0.06688963210702341
E01000362,0.1093951093951094,0.07979407979407979
E01000363,0.11190053285968028,0.008880994671403197
E01000364,0.14660493827160495,0.06944444444444445
E01000365,0.20709219858156028,0.06099290780141844
E01000366,0.17095310136157338,0.04084720121028744
E01000367,0.09022556390977443,0.3483709273182957
E01000368,0.10223642172523961,0.43769968051118213
E01000369,0.0890302066772655,0.07631160572337042
E01000370,0.09794628751974724,0.09004739336492891
E01000371,0.11428571428571428,0.03968253968253968
E01000372,0.07288135593220339,0.33220338983050846
E01000373,0.12636165577342048,0.42701525054466233
E01000374,0.07265774378585087,0.4187380497131931
E01000375,0.17961783439490445,0.16050955414012738
E01000376,0.12111292962356793,0.11129296235679215
E01000377,0.14176829268292682,0.08689024390243902
E01000379,0.13004484304932734,0.15844544095665172
E01000380,0.15316315205327413,0.3795782463928968
E01000381,0.1326219512195122,0.2774390243902439
E01000382,0.061016949152542375,0.03559322033898305
E01000383,0.0848,0.1072
E01000384,0.18073878627968337,0.15435356200527706
E01000385,0.089058524173028,0.3893129770992366
E01000386,0.15038759689922482,0.4945736434108527
E01000387,0.0864,0.0496
E01000388,0.09181969949916527,0.01669449081803005
E01000389,0.16292134831460675,0.12640449438202248
E01000390,0.0912621359223301,0.062135922330097085
E01000391,0.1125,0.0640625
E01000392,0.27356020942408377,0.25392670157068065
E01000393,0.152,0.0032
E01000394,0.2,0.07313432835820896
E01000395,0.07720588235294118,0.03308823529411765
E01000396,0.08678500986193294,0.009861932938856016
E01000398,0.06557377049180328,0.19836065573770492
E01000399,0.15434083601286175,0.05466237942122187
E01000400,0.1455160744500846,0.050761421319796954
E01000401,0.19826338639652677,0.25180897250361794
E01000402,0.1987673343605547,0.2896764252696456
E01000403,0.14124293785310735,0.4058380414312618
E01000404,0.3383991894630192,0.3677811550151976
E01000405,0.23049645390070922,0.16134751773049646
E01000406,0.2296954314720812,0.09517766497461928
E01000407,0.11989459815546773,0.11198945981554677
E01000408,0.270223752151463,0.0981067125645439
E01000409,0.0888208269525268,0.009188361408882083
E01000410,0.11872909698996656,0.011705685618729096
E01000411,0.08483754512635379,0.009025270758122744
E01000412,0.14463452566096424,0.01088646967340591
E01000413,0.10919540229885058,0.044061302681992334
E01000414,0.2910344827586207,0.023448275862068966
E01000415,0.05029013539651837,0.013539651837524178
E01000416,0.299412915851272,0.22113502935420742
E01000417,0.20933521923620935,0.19236209335219237
E01000418,0.28060522696011003,0.17881705639614856
E01000419,0.08747855917667238,0.008576329331046312
E01000420,0.1288135593220339,0.04745762711864407
E01000421,0.06197654941373534,0.005025125628140704
E01000422,0.11553784860557768,0.7430278884462151
E01000423,0.07248764415156507,0.008237232289950576
E01000424,0.123342175066313,0.0649867374005305
E01000425,0.03289473684210526,0.018092105263157895
E01000426,0.18811881188118812,0.0876944837340877
E01000427,0.10584343991179714,0.1730981256890849
E01000428,0.27342888643880925,0.3175303197353914
E01000429,0.3135593220338983,0.327683615819209
E01000430,0.15864022662889518,0.20113314447592068
E01000431,0.1740139211136891,0.33874709976798145
E01000433,0.14285714285714285,0.4495798319327731
E01000434,0.0975609756097561,0.5958188153310104
