lsoa,dependent_children_share,lone_parent_dependent_share,one_person_share
E01000293,0.2994350282485876,0.038135593220338986,0.2627118644067797
E01000294,0.3165075034106412,0.054570259208731244,0.30013642564802184
E01000295,0.2776073619631902,0.0352760736196319,0.2822085889570552
E01000296,0.32063074901445465,0.05519053876478318,0.2733245729303548
E01000297,0.3208955223880597,0.04477611940298507,0.2294776119402985
E01000298,0.27709190672153633,0.04252400548696845,0.31550068587105623
E01000299,0.33038674033149174,0.06519337016574586,0.33812154696132596
E01000300,0.3313782991202346,0.060117302052785926,0.2829912023460411
E01000301,0.3950850661625709,0.02835538752362949,0.21928166351606806
E01000302,0.2715311004784689,0.050239234449760764,0.4258373205741627
E01000303,0.394392523364486,0.03551401869158879,0.21495327102803738
E01000304,0.30845771144278605,0.06799336650082918,0.24212271973466004
E01000305,0.25384615384615383,0.046153846153846156,0.3415384615384615
E01000306,0.33818770226537215,0.042071197411003236,0.2168284789644013
E01000307,0.3363309352517986,0.07014388489208633,0.22661870503597123
E01000308,0.23645833333333333,0.059375,0.36770833333333336
E01000309,0.3248587570621469,0.043785310734463276,0.2725988700564972
E01000310,0.2665876777251185,0.06516587677725119,0.3009478672985782
E01000311,0.4346153846153846,0.04038461538461539,0.22115384615384615
E01000312,0.2863070539419087,0.051175656984785614,0.31258644536652835
E01000313,0.2907303370786517,0.06601123595505617,0.2991573033707865
E01000314,0.2822477650063857,0.04469987228607918,0.24265644955300128
E01000315,0.33280757097791797,0.11987381703470032,0.2744479495268139
E01000316,0.35174746335963925,0.09131905298759865,0.266065388951522
E01000317,0.30985915492957744,0.06259780907668232,0.297339593114241
E01000318,0.3422712933753943,0.050473186119873815,0.18138801261829654
E01000319,0.4012096774193548,0.038306451612903226,0.1814516129032258
E01000320,0.2899628252788104,0.05080545229244114,0.3023543990086741
E01000321,0.2632850241545894,0.050724637681159424,0.33695652173913043
E01000322,0.33374844333748444,0.11083437110834371,0.32503113325031135
E01000323,0.2463199214916585,0.05593719332679097,0.37684003925417076
E01000324,0.37327188940092165,0.07219662058371736,0.22734254992319508
E01000325,0.3436426116838488,0.041237113402061855,0.15807560137457044
E01000326,0.3688073394495413,0.08440366972477065,0.21834862385321102
E01000327,0.3232484076433121,0.03662420382165605,0.23248407643312102
E01000328,0.36661211129296234,0.058919803600654665,0.2160392798690671
E01000329,0.36363636363636365,0.09545454545454546,0.25757575757575757
E01000330,0.23146944083224968,0.06371911573472042,0.40052015604681407
E01000331,0.3961352657004831,0.0998389694041868,0.23349436392914655
E01000332,0.28363047001620745,0.059967585089141004,0.2576985413290113
E01000333,0.32839506172839505,0.10246913580246914,0.33827160493827163
E01000334,0.33647798742138363,0.07075471698113207,0.2610062893081761
E01000335,0.36877394636015326,0.11781609195402298,0.2739463601532567
E01000336,0.37926675094816686,0.16434892541087232,0.347661188369153
E01000337,0.39938556067588327,0.14285714285714285,0.20890937019969277
E01000338,0.37373737373737376,0.09668109668109669,0.22943722943722944
