NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
580,0.8949720311845001,0.9394543660511739,0.8537479334330966,4,Finsbury Park LU,96987.91985231308,11.482352022634299
581,0.6883546442576913,0.6901983015629098,0.6723216683032678,4,Fulham Broadway,24260.60167008916,10.096650201344683
582,0.7019494269170355,0.7378763932654239,0.7095821147761102,4,Gants Hill,19639.256602102665,9.885336647103284
583,0.8942011955210665,0.9104886746430955,0.8436578446721954,4,Gloucester Road,49643.892184906006,10.812650787744237
584,0.821922607985474,0.8531296524165551,0.8253478764383781,4,Golders Green,24661.055774892084,10.113021138000057
585,0.8214665539718632,0.8240528469482927,0.792614354009088,4,Goldhawk Road,7819.435629045285,8.964495539026816
586,0.527346055252203,0.5409824837916783,0.5312814598009608,1,Goodge Street,18240.722646889844,9.811466702529017
587,0.495849160453654,0.495849160453654,0.513529199636755,0,Grange Hill,1217.7457387074792,7.105577525860799
588,0.6048851780619181,0.6053968329962502,0.6103753935355017,2,Great Portland Street,18227.247113171605,9.810727709082071
589,0.681322318588495,0.6871350912136995,0.6774450368025264,4,Greenford,11637.972736643227,9.362114464525213
590,0.6718517379180575,0.7156758315251756,0.7065657856224973,1,Green Park,115055.53815306832,11.653178922645587
591,0.5671740459384086,0.571632762495027,0.5864888593403774,2,Gunnersbury,12454.38662313578,9.429908468815125
592,0.596261640500224,0.6278261424825402,0.613769677841275,0,Hainault,11540.465514010884,9.353701526280705
593,0.8234564928894451,0.8446551616799688,0.799942543720045,2,Hammersmith (DIS),92622.92482985467,11.436302754756168
594,1.0015218428485226,1.027518363573633,0.9503463575635209,4,Hampstead,14566.802204192689,9.586569043898514
595,0.8598261070267011,0.8617791561752033,0.8347416838253788,4,Hanger Lane,11087.567171938344,9.313669871991813
596,0.6992230466590265,0.7005370935396839,0.6880425928604004,4,Harlesden,8866.723494646463,9.090173390124525
597,0.7561757279934798,0.7558202493483134,0.7384467791718194,4,Harrow & Wealdstone,19549.947789565453,9.88077904452306
598,0.7533626369609286,0.7590816998572372,0.7313952288377705,4,Harrow-on-the-Hill,30529.93007509534,10.326495549565431
599,0.8157467889315084,0.8158118096189027,0.7906889239165195,2,Wood Lane,17895.201553783554,9.792343765611212
601,0.753407475375622,0.7819429045778272,0.7663814767608663,4,Hendon Central,19069.65303361565,9.85590594203624
602,0.7906189198150559,0.8338639130975348,0.8023392518835256,4,High Barnet,13951.19999723086,9.54339248070993
603,1.0030248947914393,1.0626626537105672,0.9278004399404948,3,Highbury & Islington,72618.84151358658,11.19299346255871
604,0.7836242607885426,0.8150614642296421,0.7842772936214146,4,Highgate,19159.43738902624,9.860602879501569
605,0.907325402171699,0.908827992652899,0.870332282035108,2,High Street Kensington,35002.806674330015,10.463212096681094
606,0.7403509476046156,0.7472845311599455,0.7331576698827371,0,Hillingdon,5048.175074220602,8.526980157286589
607,0.6566308235091319,0.6872029212753367,0.6735444737115507,1,Holborn,78112.43957790114,11.265917402686693
608,0.8079360771935399,0.8431315569863962,0.7966886925370746,4,Holland Park,9691.551372548252,9.179112969768154
