lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01004106,False,0.33259,at_least_one_direction_below_36,-1
E01004107,True,122.78789,retained,-1
E01004108,False,0.0,at_least_one_direction_below_36,-1
E01004109,True,49.4919,retained,-1
E01004110,True,957.77399,retained,2
E01004111,True,111.70013,retained,-1
E01004112,False,20.29935,at_least_one_direction_below_36,-1
E01004116,False,14.0665,at_least_one_direction_below_36,-1
E01004118,True,2179.14995,retained,2
E01004119,True,87.1395,retained,-1
E01004120,True,221.23727,retained,6
E01004121,True,461.72719,retained,2
E01004123,True,2370.60339,retained,0
E01004125,True,228.28617,retained,0
E01004127,True,107.46648,retained,-1
E01004128,True,115.31091,retained,-1
E01004129,True,624.9945299999999,retained,6
E01004130,True,235.11412,retained,0
E01004131,True,573.90941,retained,6
E01004132,False,6.102759999999999,at_least_one_direction_below_36,-1
E01004133,False,6.160349999999999,at_least_one_direction_below_36,-1
E01004134,True,286.11294,retained,6
E01004135,True,128.74133,retained,-1
E01004137,True,1977.81078,retained,2
E01004138,True,197.10243,retained,0
E01004139,True,77.83403999999999,retained,-1
E01004140,True,1038.9888,retained,6
E01004141,False,1.7261599999999997,at_least_one_direction_below_36,-1
E01004144,True,309.69973,retained,6
E01004145,False,8.71904,at_least_one_direction_below_36,-1
E01004146,True,804.91885,retained,2
E01004147,False,26.86237,at_least_one_direction_below_36,-1
E01004148,True,183.80154,retained,6
E01004150,False,2.18239,at_least_one_direction_below_36,-1
E01004152,True,154.49775,retained,1
E01004153,True,72.26456,retained,-1
E01004156,True,1743.10819,retained,2
E01004157,True,56.49467,retained,-1
E01004158,True,103.8675,retained,-1
E01004159,True,83.42686,retained,-1
E01004160,True,84.93302,retained,-1
E01004162,False,32.62768,at_least_one_direction_below_36,-1
E01004163,True,115.12446,retained,-1
E01004164,True,366.13165,retained,0
E01004165,True,374.73658,retained,0
E01004166,True,39.13205,retained,-1
E01004167,True,182.29167,retained,0
E01004169,True,114.47057,retained,-1
E01004170,True,713.42773,retained,0
E01004171,True,703.06609,retained,0
E01004172,False,17.13834,at_least_one_direction_below_36,-1
E01004175,True,39.52946,retained,-1
E01004176,True,67.59203,retained,-1
E01004177,True,219.2774,retained,0
E01004178,True,1689.64073,retained,2
E01004180,True,53.63401,retained,-1
E01004181,True,212.07544,retained,0
E01004182,True,155.68837,retained,0
E01004183,True,130.07572,retained,-1
E01004185,True,78.82984,retained,-1
E01004186,True,133.82095,retained,0
E01004190,True,194.53016,retained,0
E01004191,True,321.60694,retained,6
E01004192,False,27.63253,at_least_one_direction_below_36,-1
E01004193,False,1.6912099999999997,at_least_one_direction_below_36,-1
E01004196,True,223.70862,retained,6
E01004198,True,391.68764,retained,2
E01004200,True,451.36441,retained,6
E01004201,True,58.00202,retained,-1
E01004203,True,922.47327,retained,5
E01004204,True,408.09044,retained,1
E01004205,True,48.90971,retained,-1
E01004207,True,1267.79131,retained,5
E01004208,True,4620.16427,retained,2
E01004209,True,743.40674,retained,5
E01004211,True,673.28823,retained,2
E01004212,True,430.43669,retained,6
E01004216,True,155.02519999999998,retained,1
E01004217,True,881.4620199999999,retained,1
E01004218,True,146.60877,retained,1
E01004219,True,2677.21751,retained,5
E01004221,True,413.01074,retained,5
E01004223,True,502.15212,retained,6
E01004226,True,66.44633,retained,-1
E01004228,True,755.32663,retained,6
E01004229,True,375.37834,retained,1
E01004230,True,1226.80067,retained,2
E01004231,True,1002.84675,retained,1
E01004232,True,4192.35978,retained,2
E01004233,True,220.19047,retained,1
E01004234,True,544.31225,retained,6
E01004235,True,195.34701,retained,-1
E01004236,True,73.14175,retained,-1
E01004239,True,144.95726,retained,-1
E01004241,True,109.4097,retained,-1
E01004244,True,65.21164999999999,retained,-1
E01004245,True,352.64355,retained,1
E01004247,True,1590.65636,retained,5
E01004248,False,11.43543,at_least_one_direction_below_36,-1
E01004249,True,450.57589,retained,0
E01004255,True,734.61083,retained,5
E01004257,True,436.25365,retained,5
E01004259,True,1787.29029,retained,2
E01004260,False,22.53985,at_least_one_direction_below_36,-1
E01004266,True,38.22246,retained,-1
E01004267,True,684.24473,retained,5
E01004270,True,1942.03265,retained,2
E01004272,True,199.11464,retained,5
E01004274,True,326.81858,retained,1
E01004276,True,225.6347,retained,1
E01004277,True,2910.4712,retained,4
E01004280,True,362.83257,retained,1
E01004281,True,77.55418999999999,retained,-1
E01004283,False,31.40494,at_least_one_direction_below_36,-1
E01004287,True,671.38672,retained,5
E01004288,True,38.3028,retained,-1
E01004289,True,916.86022,retained,5
E01004290,True,528.57268,retained,5
E01004291,True,181.9679,retained,0
E01004293,True,1187.95542,retained,5
E01004295,True,52.0997,retained,-1
E01004296,True,300.4673,retained,1
E01004297,False,29.90951,at_least_one_direction_below_36,-1
E01004298,False,22.14957,at_least_one_direction_below_36,-1
E01004301,True,144.47764,retained,0
E01004303,True,51.25011,retained,-1
E01004305,True,426.67937,retained,5
E01004307,True,204.15476,retained,0
E01004308,False,13.02586,at_least_one_direction_below_36,-1
E01004309,True,2029.09645,retained,5
E01004310,True,5397.44116,retained,4
E01004313,True,649.52832,retained,2
E01004319,True,63.24038,retained,-1
E01004321,True,1362.06493,retained,5
E01004322,True,215.50021,retained,5
E01004326,True,1406.69677,retained,5
E01004328,True,159.78136,retained,1
E01004329,True,68.34604999999999,retained,-1
E01004330,True,307.22733,retained,0
E01004331,True,157.97415999999998,retained,0
E01004332,True,167.30568,retained,6
E01004335,True,816.261,retained,2
E01004336,True,5265.07362,retained,2
E01004337,True,160.20609,retained,1
E01004340,True,38.79813,retained,-1
E01004341,True,1251.42253,retained,1
E01004342,True,400.66389,retained,6
E01004343,True,203.30603,retained,0
E01004344,True,1407.47633,retained,2
E01004345,True,165.08498,retained,0
E01004347,True,78.50416,retained,-1
E01004348,True,853.59363,retained,1
E01004349,True,79.39811,retained,-1
E01004350,True,271.44732,retained,0
E01004352,True,739.3039200000001,retained,2
E01004353,True,49.01245,retained,-1
E01004354,True,1241.56851,retained,2
E01004356,True,197.02194,retained,1
E01004357,True,36.41861,retained,-1
