unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,catchment_area_m2,station_in_loac_extent,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share,covered_area_m2,loac_coverage_ratio,analysis_eligible,dominant_loac_supergroup
1449,2,1.0,1.0982331642891694e-24,Kentish Town West,LO,False,528620.0,184687.0,-0.14652,51.54643,Kentish Town West Station,naptan_rse_tmu,10770.269645071492,486445.2978167709,True,0.07692307692307693,0.3333333333333333,0.0,0.07692307692307693,0.48717948717948717,0.02564102564102564,0.0,486445.2978167592,0.9999999999999759,True,E
1451,1,0.9999999992946867,1.5564299654486485e-08,South Hampstead,LO,False,526356.0,184079.0,-0.17937,51.54147,South Hampstead Station,naptan_rse_tmu,2134.1915767604123,539396.469176303,True,0.26190476190476186,0.09523809523809523,0.0,0.30952380952380953,0.30952380952380953,0.0,0.023809523809523808,539396.4691763098,1.0000000000000124,True,D
1452,0,1.0,7.2040879199572155e-25,South Acton,LO,False,520149.5,179240.5,-0.2704649999999999,51.499345,South Acton Station,naptan_rse_tmu,3246.864884642724,795113.9679835084,True,0.32653061224489793,0.42857142857142855,0.0,0.08163265306122448,0.16326530612244897,0.0,0.0,795113.967983509,1.0000000000000007,True,B
1524,2,1.0,1.6437024747163847e-27,Upper Holloway,LO,False,529751.5,186655.5,-0.12948,51.56386,Upper Holloway Station,naptan_rse_tmu,6468.477298474721,1062344.4107049506,True,0.13157894736842105,0.5,0.0,0.10526315789473684,0.2631578947368421,0.0,0.0,1062344.4107049447,0.9999999999999946,True,B
3000,4,1.0,9.158642490717794e-25,Acton Main Line,EZL,False,520341.5,181216.5,-0.2670249999999999,51.51706,Acton Main Line Station,naptan_rse_tmu,13057.448204672,1081802.2455420715,True,0.023809523809523808,0.40476190476190477,0.23809523809523808,0.0,0.16666666666666666,0.14285714285714285,0.023809523809523808,1081802.2455420757,1.0000000000000038,True,B
3174,4,0.9999999999322426,1.6588242658815896e-09,West Drayton,EZL,False,506117.0,180097.0,-0.472285,51.509845,West Drayton Station,naptan_rse_tmu,15917.433870161003,2007391.033949385,True,0.0,0.02,0.38,0.0,0.12,0.36,0.12,2007391.0339493859,1.0000000000000004,True,C
3186,4,1.0,2.568956687858336e-20,Hayes & Harlington,EZL,False,509734.5,179436.0,-0.42038,51.503215,Hayes & Harlington Station,naptan_rse_tmu,36725.25042095919,2007391.033949385,True,0.0,0.0,0.7083333333333333,0.14583333333333331,0.08333333333333333,0.0625,0.0,2007391.0339493847,0.9999999999999999,True,C
3187,0,0.9999999879237292,2.322508112242249e-07,Southall,EZL,False,512618.0,179793.0,-0.37874,51.50586,Southall Station,naptan_rse_tmu,32270.135327246837,2007391.033949385,True,0.0,0.0,0.9516129032258064,0.0,0.03225806451612903,0.016129032258064516,0.0,2007391.0339493852,1.0000000000000002,True,C
3188,4,0.9999999998767636,2.936128847379667e-09,West Ealing,EZL,False,516679.0,180744.0,-0.31994,51.51358,West Ealing Station,naptan_rse_tmu,12161.075263852,1827479.4722838637,True,0.22666666666666668,0.4133333333333334,0.013333333333333334,0.06666666666666667,0.09333333333333334,0.06666666666666667,0.12000000000000001,1827479.472283865,1.0000000000000007,True,B
3191,4,0.9999999999754436,6.26108869150863e-10,Hanwell,EZL,False,515403.0,180515.5,-0.338395,51.51179,Hanwell Station,naptan_rse_tmu,8982.560265344218,1911123.5333582156,True,0.07142857142857142,0.4107142857142857,0.08928571428571427,0.03571428571428571,0.03571428571428571,0.3214285714285714,0.03571428571428571,1911123.5333582158,1.0000000000000002,True,B
500,4,1.0,3.630432497775933e-50,Acton Town,LU,True,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,Acton Town,underground_stations_csv,20020.017376020107,1231702.4429543123,True,0.07500000000000001,0.47500000000000003,0.025,0.07500000000000001,0.25,0.0,0.1,1231702.442954317,1.0000000000000038,True,B
501,2,0.9996685058009852,0.0029873377044685,Barbican,LU,True,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,Barbican,underground_stations_csv,17385.19949178,506176.4778921927,True,0.11111111111111112,0.0,0.0,0.6666666666666667,0.22222222222222224,0.0,0.0,506176.47789218277,0.9999999999999803,True,D
502,2,1.0,2.195744730896885e-56,Aldgate,LU,True,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,Aldgate,underground_stations_csv,25375.977887714904,290636.5934304191,True,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.0,290636.59343043837,1.0000000000000664,True,D
503,2,1.0,1.764128550635016e-32,Aldgate East,LU,True,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,Aldgate East,underground_stations_csv,51676.27325639999,525377.6255496435,True,0.0,0.10638297872340426,0.0,0.425531914893617,0.425531914893617,0.0425531914893617,0.0,525377.6255496171,0.9999999999999497,True,D
504,3,1.0,2.4364891789842856e-179,Stratford International DLR,DLR,False,538214.2,184786.0,-0.008202,51.54505,Stratford International Station,naptan_rse_tmu,17004.300557321185,1034454.611946668,True,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.5909090909090909,0.1590909090909091,0.13636363636363635,0.0,1034454.6119466488,0.9999999999999815,True,D
505,0,0.9998636976942789,0.0013494701305527,Alperton,LU,True,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,Alperton,underground_stations_csv,9844.40784943342,1805377.1462870107,True,0.0,0.017543859649122806,0.8771929824561403,0.03508771929824561,0.07017543859649122,0.0,0.0,1805377.1462870138,1.0000000000000018,True,C
506,0,1.0,1.8951978431267563e-67,Amersham,LU,True,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566,Amersham,underground_stations_csv,6726.80084282051,2007391.033949385,False,,,,,,,,,,False,
507,1,0.9999999991382538,1.8846354464874263e-08,Angel,LU,True,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,Angel,underground_stations_csv,57649.7526291,1744083.0416587647,True,0.1322314049586777,0.18181818181818182,0.0,0.3305785123966942,0.3553719008264463,0.0,0.0,1744083.0416587647,1.0,True,E
