NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
541,23917.078064615067,10.082389856367188,0.505139810814746,0.1044106895235513,0.0221002733202519,0.0776603996207679,0.0291512974952647,0.0300877047971816,0.3303282857380648,high,1,Chancery Lane,LU,17999.273176708124,5917.804887906948,531123.9465,181615.465500001,-0.1115693026029435,51.51824890350831,underground_stations_csv,546686.6347354882,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,546686.6347355053,1.0000000000000313,True,1,-0.0,
542,83089.29412287241,11.32768317646348,0.3536150790769299,0.1243621842881541,0.0286466588603782,0.0202597656114075,0.0105028576142014,0.0478069411483716,1.0347540303687888,high,1,Embankment,LU,56235.4607172891,26853.83340558329,530419.3254,180395.871400001,-0.1221695343079573,51.50745185655674,underground_stations_csv,341453.8019552259,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211408.6888607576,0.6191428756985379,True,1,-0.0,
543,3657.855235202673,8.204905600203372,-0.6939619936207453,0.1456255399000662,0.0565200679387783,0.03980896195653,0.0257053067563485,0.0812032910413944,0.5999583441927969,low,0,Chesham,LU,559.7213619026732,3098.133873299999,496079.3711,201633.0847,-0.6109804023947352,51.70522161796168,underground_stations_csv,2007391.033949385,False,,,,,,,,,,False,,,no LNWC-covered catchment area
544,944.065389648131,6.8512541204947,-0.6582638054837555,0.0806880602354171,0.0196789324622873,0.0,0.0,0.0268894118952417,0.4795101757530508,low,0,Chigwell,LU,161.310656816424,782.7547328317072,543795.2009,193021.039000001,0.0755949749891976,51.61765286220907,underground_stations_csv,1893706.6215227162,False,,,,,,,,,,False,,,no LNWC-covered catchment area
545,7480.91863119764,8.920244539574648,-0.2902979300311902,0.1135629542290092,0.0386141498697386,0.0152620234169358,0.0082570757414789,0.055230342537149,0.6198649762509517,low,0,Chiswick Park,LU,2654.6117189146003,4826.306912283037,520293.2801,178723.680199999,-0.2685715255005448,51.49466748590177,underground_stations_csv,672783.2078730569,True,0.0,0.7697081080172881,0.05849560552249837,0.038129175224942476,0.133667111235271,0.0,0.0,672783.2078730764,1.000000000000029,True,2,0.3911154279548891,
546,3946.174511664658,8.280755288433777,-0.4850669117944354,0.119037600006654,0.0469326823758136,0.0146523330776835,0.0072064944852538,0.0662046707839926,0.6690312755917066,low,0,Chorleywood,LU,1016.007913944784,2930.166597719873,502580.7743,196094.9067,-0.5185530310182181,51.65429398451199,underground_stations_csv,2007391.033949385,False,,,,,,,,,,False,,,no LNWC-covered catchment area
547,43497.49987600918,10.680481730873147,-0.2677471419930114,0.237717845650072,0.0636257679869848,0.1393069987219899,0.0778310469088915,0.1066911739332579,0.9647151135461992,high,3,Clapham Common,LU,15925.584300183176,27571.91557582601,529504.8104,175338.249199999,-0.1371925356673191,51.46221051259463,underground_stations_csv,1141951.1545578605,True,0.14131616972984096,0.49525499758423663,0.07678540344784908,0.21241199582789005,0.07423143341018329,0.0,0.0,1141951.1545578665,1.0000000000000053,True,2,0.6905430920857157,
548,28327.99488441655,10.25164111335354,-0.2926298914580393,0.2222198091379826,0.0592204196085754,0.099770470345387,0.0552715094884419,0.0989037307785986,0.9866656351025234,high,3,Clapham North,LU,10019.188408082928,18308.80647633361,530038.9661,175743.4515,-0.1293589507032176,51.46572960060881,underground_stations_csv,552732.9247635723,True,0.25058827700022956,0.729569320967335,0.0,0.019842402032435428,0.0,0.0,0.0,552732.9247635778,1.00000000000001,True,2,0.3364055180562765,
549,28790.350817705537,10.26783030218964,-0.4363828158378699,0.1699197328202411,0.0470568212933571,0.0793924427125804,0.0380339528833433,0.0729679121692529,0.7020369732780788,high,4,Clapham South,LU,8113.368229457536,20676.982588248,528834.0334,174322.7074,-0.1472124126324337,51.45323695245536,underground_stations_csv,1692061.2719411927,True,0.0,0.43612781417454466,0.23797513983055965,0.038430957275258734,0.2874660887196369,0.0,0.0,1692061.271941187,0.9999999999999967,True,2,0.6100765269135658,
550,5979.617022566761,8.696279022653112,-0.502384303648473,0.1849075975190376,0.0553152549571614,0.0799284552590307,0.041826674203192,0.0853428997400336,0.9279199050895466,low,4,Cockfosters,LU,1487.7756443000023,4491.841378266759,528140.5216,196370.205600001,-0.1491631467827761,51.65152862765704,underground_stations_csv,1923513.9703284188,True,0.0,0.0,0.0,0.0,0.38459065288361616,0.0,0.6154093471163838,1923513.9703284132,0.9999999999999971,True,7,0.3423934128933459,
