lsoa,direction,TV_alpha0_alpha5
E01000807,boardings,0.0007200050995182334
E01000808,boardings,0.07077056353337627
E01000809,boardings,0.010015575879870038
E01000813,boardings,0.009521516980623741
E01000816,boardings,0.030692822467494486
E01000819,boardings,0.002125798131938947
E01000820,boardings,0.012275025918714644
E01000824,boardings,0.0017400858396014686
E01000826,boardings,0.055926637207534734
E01000827,boardings,0.003194271114395138
E01000828,boardings,0.005355329391541565
E01000831,boardings,0.05999436354740837
E01000832,boardings,0.005431792187575266
E01000834,boardings,0.023482361595264442
E01000835,boardings,0.0012101477856148312
E01000838,boardings,0.010567599184659302
E01000840,boardings,0.04342649872114464
E01000841,boardings,0.022370695176019233
E01000843,boardings,0.02205663315186038
E01000846,boardings,0.0024379796655981507
E01000847,boardings,0.012866493885993736
E01000848,boardings,0.0023669728643589552
E01000849,boardings,0.0014016389592880062
E01000850,boardings,0.00034401880005445473
E01000855,boardings,6.549857077450989e-05
E01000856,boardings,0.00018856507819775298
E01000858,boardings,0.000597579742840216
E01000861,boardings,0.00013830290721280909
E01000862,boardings,0.0046688163399829135
E01000863,boardings,5.1696884133024985e-05
E01000867,boardings,0.000566869609732622
E01000868,boardings,0.0033955529458726094
E01000869,boardings,0.0005978932807994329
E01000871,boardings,0.0016795784774539303
E01000872,boardings,0.00028714239786223035
E01000873,boardings,0.02249867183299856
E01000874,boardings,0.005918888761982071
E01000875,boardings,0.0011790272586028577
E01000876,boardings,0.00019690775673646295
E01000877,boardings,0.0014218971569144368
E01000879,boardings,0.010847695882445546
E01000880,boardings,0.003765758547466485
E01000881,boardings,0.0008091338913464162
E01000882,boardings,0.06849437407482539
E01000883,boardings,0.0005840053015941597
E01000884,boardings,0.0013491161736581747
E01000886,boardings,0.004292666574504757
E01000887,boardings,0.0011119878159523756
E01000888,boardings,0.0025028481127985064
E01000890,boardings,0.0029047133736400748
E01000895,boardings,0.0011510862297259724
E01000896,boardings,0.0049612609456657466
E01000898,boardings,0.0006229455045839033
E01000899,boardings,0.0020922176613755875
E01000900,boardings,0.002101889866673742
E01000902,boardings,0.01691368854127574
E01000903,boardings,0.002801682425352183
E01000904,boardings,0.0005574879684034612
E01000905,boardings,0.001906673330194089
E01000906,boardings,0.0008408444880645806
E01000908,boardings,0.018408463390840714
E01000909,boardings,0.0016780229999599214
E01000911,boardings,0.04174493807143806
E01000912,boardings,0.0010772454062617128
E01000913,boardings,0.010281770435009059
E01000914,boardings,4.952451866538344e-05
E01000916,boardings,0.0013683331601220706
E01000917,boardings,0.0036604441642831306
E01000918,boardings,0.000427738388304749
E01000919,boardings,0.0002030325350033395
E01000920,boardings,0.0022075040585065662
E01000921,boardings,0.0011176975339022743
E01000922,boardings,0.0006922272842740333
E01000924,boardings,0.006362006964993593
E01000926,boardings,0.0004757867378950458
E01000927,boardings,0.00044516915724959164
E01000928,boardings,0.0003637366584915171
E01000929,boardings,0.0008636947991296888
E01000930,boardings,0.00023830427141822378
E01000931,boardings,0.00013791579198844158
E01000932,boardings,0.004108126751399526
E01000933,boardings,0.00013734296918506503
E01000934,boardings,0.0028962498055602123
E01000935,boardings,0.002795208803713628
E01000938,boardings,0.001319942267457417
E01000939,boardings,9.169662621816982e-05
E01000942,boardings,0.0005297119983684647
E01000946,boardings,7.080925806275326e-05
E01000947,boardings,0.00023121784919308578
E01000948,boardings,0.00556076349842159
E01000954,boardings,0.0018012233071415425
E01000956,boardings,0.00010938811567798995
E01000958,boardings,0.012175230308639848
E01000959,boardings,0.004770439987331907
E01000960,boardings,0.0009051064023285459
E01000963,boardings,0.00023056043743136987
E01000965,boardings,0.10120270227185961
E01000969,boardings,0.00035562112259311413
E01000972,boardings,0.00020802065503202851
E01000973,boardings,0.00026497073291421836
E01000974,boardings,0.0002090873635992611
E01000975,boardings,0.0002522621169729367
E01000976,boardings,0.0010588936049425906
E01000977,boardings,0.0035537340995380772
E01000978,boardings,0.003331920203002982
E01000979,boardings,0.004606114280508329
E01000980,boardings,0.009191413563234814
E01000981,boardings,0.011338724800347973
E01000982,boardings,0.01871734540771928
E01000983,boardings,0.003428606372696023
E01000984,boardings,0.009585692476226655
E01000985,boardings,0.0118106398775449
E01000989,boardings,0.05865584714145886
E01000991,boardings,0.06851622189890659
E01000992,boardings,0.0017374004416703006
E01000993,boardings,0.0034001151372654594
E01000994,boardings,0.015212647289596376
E01000995,boardings,0.0015028051013981313
E01000997,boardings,0.0031634292465081374
E01000998,boardings,0.006988389006147541
E01001000,boardings,0.0011894162443887274
E01001003,boardings,0.005810475930999569
E01001004,boardings,0.008488910299661534
E01001006,boardings,0.0034244506480694877
E01001008,boardings,0.00391219374053118
E01001010,boardings,0.0009091230263132801
E01001011,boardings,0.0002791191058881884
E01001013,boardings,0.00010168146546834199
E01001015,boardings,0.008134024073476399
E01001016,boardings,0.012704346293971807
E01001018,boardings,0.0035005599970101896
E01001019,boardings,0.026018586289287854
E01001020,boardings,0.006831242855941862
E01001021,boardings,0.028574682419230054
E01001022,boardings,0.04087328360099998
E01001023,boardings,0.0003594314408711292
E01001024,boardings,0.03943150127835386
E01001025,boardings,0.023773778748209063
E01001026,boardings,0.02083067627272105
E01001027,boardings,0.02650110260257697
E01001028,boardings,0.039050468884707236
E01001029,boardings,0.00396078469284147
E01001031,boardings,0.028300326345738754
E01001032,boardings,0.018269907518899346
E01001033,boardings,0.0017468861089461774
E01001034,boardings,0.00401045023475826
E01001035,boardings,0.0061365200116598176
E01001036,boardings,0.01613280802308613
E01001037,boardings,0.0018195772242527212
