K,replicate,base_cluster,matched_jaccard
8,4,6,0.05075187969924812
8,4,7,0.34177215189873417
8,5,0,0.26495726495726496
8,5,1,0.6669941060903732
8,5,2,0.29545454545454547
8,5,3,0.14193548387096774
8,5,4,0.31078610603290674
8,5,5,0.49085365853658536
8,5,6,0.13551401869158877
8,5,7,0.09274193548387097
8,6,0,0.16149068322981366
8,6,1,0.655850540806293
8,6,2,0.5
8,6,3,0.5538461538461539
8,6,4,0.3556085918854415
8,6,5,0.45745361484325014
8,6,6,0.0
8,6,7,0.37398373983739835
8,7,0,0.04081632653061224
8,7,1,0.6705653021442495
8,7,2,0.33620689655172414
8,7,3,0.2128
8,7,4,0.31442463533225284
8,7,5,0.5163817663817664
8,7,6,0.17692307692307693
8,7,7,0.030042918454935622
8,8,0,0.1780821917808219
8,8,1,0.6136767317939609
8,8,2,0.4689265536723164
8,8,3,0.12898089171974522
8,8,4,0.2964329643296433
8,8,5,0.47235494880546075
8,8,6,0.0
8,8,7,0.2857142857142857
8,9,0,0.2
8,9,1,0.6277372262773723
8,9,2,0.3377777777777778
8,9,3,0.09193548387096774
8,9,4,0.21686746987951808
8,9,5,0.54724111866969
8,9,6,0.04980340760157274
8,9,7,0.3438914027149321
8,10,0,0.0
8,10,1,0.2852112676056338
8,10,2,0.2824858757062147
8,10,3,0.3827258320126783
8,10,4,0.07317073170731707
8,10,5,0.4603677869372226
8,10,6,0.030696576151121605
8,10,7,0.3187919463087248
8,11,0,0.07518796992481203
8,11,1,0.5835616438356165
8,11,2,0.3423913043478261
8,11,3,0.1347068145800317
8,11,4,0.3227848101265823
8,11,5,0.45042321644498184
8,11,6,0.002403846153846154
8,11,7,0.007272727272727273
8,12,0,0.18548387096774194
8,12,1,0.6801242236024845
8,12,2,0.3941176470588235
8,12,3,0.3429824561403509
8,12,4,0.017948717948717947
8,12,5,0.06954689146469968
8,12,6,0.37724084177708495
8,12,7,0.29916897506925205
8,13,0,0.2814814814814815
8,13,1,0.5951265229615745
8,13,2,0.46534653465346537
8,13,3,0.4341692789968652
8,13,4,0.36524822695035464
8,13,5,0.4857142857142857
8,13,6,0.0
8,13,7,0.42528735632183906
8,14,0,0.26785714285714285
8,14,1,0.6857429718875502
8,14,2,0.2810810810810811
8,14,3,0.2637231503579952
8,14,4,0.3345656192236599
8,14,5,0.520336605890603
8,14,6,0.022249690976514216
8,14,7,0.357487922705314
8,15,0,0.039735099337748346
8,15,1,0.6349693251533742
8,15,2,0.35121951219512193
8,15,3,0.38666666666666666
8,15,4,0.14734774066797643
8,15,5,0.12238805970149254
8,15,6,0.40663302090843545
8,15,7,0.1523809523809524
8,16,0,0.22058823529411764
8,16,1,0.44765342960288806
8,16,2,0.5024154589371981
8,16,3,0.14285714285714285
8,16,4,0.2746212121212121
8,16,5,0.45124282982791586
8,16,6,0.0
8,16,7,0.03896103896103896
8,17,0,0.22413793103448276
8,17,1,0.6957862281603289
8,17,2,0.520618556701031
8,17,3,0.4952038369304556
8,17,4,0.2595978062157221
8,17,5,0.47494707127734653
8,17,6,0.0
8,17,7,0.40437158469945356
8,18,0,0.0962566844919786
8,18,1,0.4396551724137931
8,18,2,0.25268817204301075
8,18,3,0.4024767801857585
8,18,4,0.08118433619866285
8,18,5,0.08817204301075268
8,18,6,0.4306122448979592
8,18,7,0.36538461538461536
8,19,0,0.20491803278688525
8,19,1,0.6142595978062158
8,19,2,0.4222222222222222
8,19,3,0.1722560975609756
8,19,4,0.31343283582089554
8,19,5,0.45414572864321606
8,19,6,0.004790419161676647
8,19,7,0.2784313725490196
8,20,0,0.13513513513513514
8,20,1,0.6341698841698842
8,20,2,0.3387096774193548
8,20,3,0.3167372881355932
8,20,4,0.061946902654867256
8,20,5,0.4996481351161154
8,20,6,0.002652519893899204
8,20,7,0.3778801843317972
