lsoa,cluster,max_posterior,entropy
E01000469,2,1.0,3.599192032309462e-72
E01000470,1,0.9999999815234448,3.47484195934147e-07
E01000472,1,0.9999999999999716,9.77616686065544e-13
E01000473,1,0.9999999999999858,3.739159104392702e-13
E01000475,2,0.999853134293991,0.0014430904601535875
E01000476,3,1.0,2.7182787714539346e-22
E01000477,3,1.0,5.386588377979937e-23
E01000478,3,1.0,2.3180028366666777e-23
E01000479,1,0.9999999778855939,4.119257977294705e-07
E01000480,0,1.0,2.1158606564490463e-16
E01000481,1,0.9999999988627906,2.455770960729185e-08
E01000483,1,0.9999999999992326,2.231403698381461e-11
E01000485,3,1.0,1.905180871129185e-26
E01000487,3,1.0,1.855180013665627e-27
E01000489,2,1.0,5.5856299166269525e-40
E01000491,0,1.0,9.96317887072578e-18
E01000493,1,0.9999999713797512,5.257296110204931e-07
E01000494,1,0.9999970949187249,3.9942101094600456e-05
E01000495,2,1.0,2.661196546888143e-32
E01000497,2,1.0,2.136265710978242e-14
E01000498,0,1.0,4.8513855016290855e-21
E01000499,3,1.0,2.688023200241291e-27
E01000501,0,1.0,6.737602058799587e-14
E01000502,0,1.0,1.1179638823278031e-30
E01000506,2,0.9999999999052207,2.2821845683658455e-09
E01000507,3,1.0,3.1653015364768854e-23
E01000508,1,0.9999999999999858,4.98591981896472e-13
E01000510,1,0.9999999999999574,1.1438644172223091e-12
E01000511,2,0.999999999975536,6.221353354143403e-10
E01000512,3,1.0,4.734183303187762e-25
E01000513,1,0.9999999999915019,2.250074269446171e-10
E01000515,1,0.9983066997869142,0.012496942893084274
E01000516,1,1.0,1.6557499050979006e-14
E01000518,1,1.0,7.379924525441732e-15
E01000519,1,0.9999999999999432,1.5875071219267913e-12
E01000520,0,0.9999999998657074,3.1868836106275458e-09
E01000521,1,0.9999999999999858,2.928147401218013e-13
E01000523,1,1.0,1.5149245145063655e-15
E01000524,1,1.0,1.3566753359172933e-16
E01000525,2,1.0,1.9511436660162313e-42
E01000526,1,0.999999999958888,1.0242141434657947e-09
E01000528,2,1.0,3.81843107055452e-20
