lsoa,tier,total_activity
E01000633,3_reliable_core,19980.55296
E01000634,3_reliable_core,3668.57648
E01000636,3_reliable_core,2875.68608
E01000637,0_no_recorded_activity,
E01000638,3_reliable_core,9690.77489
E01000639,0_no_recorded_activity,
E01000640,3_reliable_core,4891.12066
E01000641,0_no_recorded_activity,
E01000642,3_reliable_core,4055.21327
E01000643,3_reliable_core,2085.23544
E01000644,3_reliable_core,2593.17941
E01000645,2_below_reliable_threshold,54.65979
E01000646,2_below_reliable_threshold,327.79344
E01000647,0_no_recorded_activity,
E01000648,2_below_reliable_threshold,193.5433
E01000649,3_reliable_core,505.81485
E01000650,2_below_reliable_threshold,151.10748999999998
E01000651,2_below_reliable_threshold,194.10558
E01000652,2_below_reliable_threshold,31.74808
E01000653,2_below_reliable_threshold,131.55841999999998
E01000654,2_below_reliable_threshold,15.828
E01000655,2_below_reliable_threshold,18.15175
E01000656,2_below_reliable_threshold,157.68869
E01000657,2_below_reliable_threshold,259.24756
E01000658,2_below_reliable_threshold,38.56675
E01000659,2_below_reliable_threshold,384.74391
E01000661,3_reliable_core,1141.87669
E01000662,3_reliable_core,461.98222
E01000663,2_below_reliable_threshold,145.49295999999998
E01000664,2_below_reliable_threshold,73.68664
E01000665,3_reliable_core,1036.72833
E01000666,2_below_reliable_threshold,422.56095
E01000667,2_below_reliable_threshold,410.33541
E01000668,3_reliable_core,1998.22717
E01000669,0_no_recorded_activity,
E01000670,3_reliable_core,979.30262
E01000671,2_below_reliable_threshold,312.90054
E01000672,2_below_reliable_threshold,274.98616
E01000673,2_below_reliable_threshold,137.24093
E01000674,2_below_reliable_threshold,392.77606
E01000676,3_reliable_core,9321.61106
E01000677,2_below_reliable_threshold,329.20535
E01000678,3_reliable_core,632.4951599999999
E01000679,2_below_reliable_threshold,111.66935
E01000680,2_below_reliable_threshold,26.59627
E01000681,2_below_reliable_threshold,8.61115
E01000682,2_below_reliable_threshold,83.00389
E01000683,2_below_reliable_threshold,281.64702
E01000684,2_below_reliable_threshold,104.68094
E01000685,2_below_reliable_threshold,172.91884
E01000686,3_reliable_core,725.7860499999999
E01000687,2_below_reliable_threshold,192.96245
E01000688,2_below_reliable_threshold,11.86953
E01000689,2_below_reliable_threshold,93.07002
E01000690,2_below_reliable_threshold,358.80739
E01000691,3_reliable_core,524.1059799999999
E01000692,3_reliable_core,1269.72332
E01000693,3_reliable_core,570.55218
E01000694,2_below_reliable_threshold,165.72956
E01000695,0_no_recorded_activity,
