lsoa,retained_for_fit,min_direction_activity,cluster
E01000991,False,20.23799,-1
E01000992,True,398.6646800000001,1
E01000993,True,180.95559,0
E01000994,True,69.03777,0
E01000995,True,416.2492999999999,1
E01000997,True,308.11922999999985,1
E01000998,True,157.82338,0
E01001000,True,727.2300899999998,1
E01001003,True,154.67329999999998,1
E01001004,True,116.63485,0
E01001006,True,251.40919,1
E01001008,True,219.78618,2
E01001010,True,402.20782,0
E01001011,True,1774.2297199999998,1
E01001013,True,3619.50236,1
E01001015,True,69.45271000000001,0
E01001016,True,78.79228,0
E01001018,True,244.93195,0
E01001019,True,54.37772,0
E01001020,True,155.74628,0
E01001021,True,57.15871,0
E01001022,False,30.452730000000003,-1
E01001023,True,1447.6510699999997,1
E01001024,False,32.33326,-1
E01001025,False,26.42737,-1
E01001026,True,53.85984,0
E01001027,True,48.56183999999999,0
E01001028,False,32.56796000000001,-1
E01001029,True,186.42096,0
E01001031,False,32.9522,-1
E01001032,True,54.2271,0
E01001033,True,268.06186,1
E01001034,True,234.24357999999995,0
E01001035,True,189.7461,2
E01001036,True,69.46322999999998,0
E01001037,True,274.01811999999995,0
E01001038,True,321.7653,2
E01001039,False,31.870109999999997,-1
E01001040,True,285.12698,1
E01001041,True,858.29512,1
E01001042,True,615.9886400000001,1
E01001044,True,252.92748,1
E01001047,True,42.17114,0
E01001049,True,211.57336,1
E01001050,True,325.99186000000014,1
E01001051,True,134.19051,1
E01001052,True,164.72517999999997,1
E01001053,True,266.95078,2
E01001054,True,260.4312099999999,1
E01001055,True,256.67809000000005,2
E01001058,True,45.97679,0
E01001059,True,47.69066,0
E01001060,True,90.31161,0
E01001061,True,204.8528,1
E01001062,True,569.1438000000002,1
E01001063,True,551.9625199999998,1
E01001064,True,353.46581999999984,1
E01001065,True,1510.0966300000002,1
E01001066,True,155.29108000000002,2
E01001067,False,10.977620000000002,-1
E01001068,True,49.11918,0
E01001070,True,81.84933,0
E01001071,True,54.75287,0
E01001074,True,508.48664,0
E01001075,True,230.41081,0
E01001076,True,311.48957,1
E01001077,False,29.79894,-1
E01001078,True,160.80529,1
E01001079,True,215.8849,2
E01001080,True,215.22829,1
E01001081,True,122.71675,0
E01001083,True,143.23814,2
E01001084,True,814.6681100000002,1
E01001085,True,1022.39093,1
E01001087,True,1227.7820499999998,1
E01001089,True,801.7319,1
E01001091,True,322.63914,1
E01001092,True,340.19704,0
E01001093,True,280.0966399999999,1
E01001094,True,173.67167,0
E01001095,True,517.2490700000001,1
E01001097,True,4005.7229600000014,1
E01001099,True,75.77211,0
E01001102,True,217.76039,0
E01001103,True,48.56464,0
E01001104,True,70.37881,0
E01001105,True,78.07851000000001,0
E01001106,True,113.13710000000002,0
E01001107,True,38.39728,0
E01001108,True,44.879290000000005,0
E01001109,True,238.21715,1
E01001110,True,506.0300999999999,1
E01001111,True,686.5886200000002,1
E01001112,True,715.00653,1
E01001114,True,486.9983,1
E01001115,True,75.30648000000001,0
E01001116,True,343.0333100000001,1
E01001118,True,1193.9119299999998,1
E01001119,True,79.25428,0
E01001120,True,55.854700000000015,2
E01001121,False,33.81523,-1
