lsoa,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
E01000113,2,0.16296195139624417,19.307664748685365,77,1.7712475967245944,2.6382146065194516,8,22,73,1.6529008782653727,2.536560045056178,7,20,4.356708826689592,472.50293298693674,4.30406509320417,447.95732607852443
E01000114,1,0.26132690344519893,20.06799520531141,78,1.69348762086306,2.5364405943774804,7,20,74,1.5718208146907924,2.4299423194968672,6,18,4.3694478524670215,298.4767315254889,4.31748811353631,283.1702324728997
E01000118,3,0.3416229930138507,13.840451012530064,36,1.5202794137591331,2.129647059318192,6,12,27,1.277259025520433,1.9734718543181673,5,10,3.6109179126442243,105.37932380488343,3.332204510175204,79.03449285366257
E01000120,3,0.1715599016998619,13.935573356621076,60,1.716024957774942,2.677354100357537,8,20,57,1.5973786467674413,2.6093040600122785,7,19,4.110873864173311,349.7320726201389,4.060443010546419,332.245468989132
E01000121,0,0.3616814166840721,13.409452724335447,69,1.5831945316280702,2.8451534468081845,8,23,67,1.4953399063498591,2.794969236908484,7,22,4.248495242049359,190.77562964831932,4.219507705176107,185.24590125271587
E01000123,0,0.49134034559443107,12.932845848206203,61,1.8454153864747356,2.8610479007689693,8,25,54,1.6821026373749055,2.6798320776163993,7,21,4.127134385045092,124.15019557614644,4.007333185232471,109.90345182150669
E01000124,3,0.2933974828491165,12.506322725901324,72,1.9480441465000333,2.8844090424036604,9,26,63,1.7957416974212532,2.7749424115547114,8,24,4.290459441148391,245.40087836072863,4.1588830833596715,214.72576856563757
E01000126,2,0.1619912773939118,13.55481171990957,16,1.424442778503618,1.8946891171539901,5,9,11,1.1685184057430877,1.4205719259467045,4,6,2.833213344056216,98.77075023671203,2.4849066497880004,67.90489078773953
E01000127,2,0.1833898358512532,14.390164944608813,13,1.4791328074296435,1.818483163012365,5,7,8,1.320888343149322,1.559581156259877,4,5,2.6390573296152584,70.88724377584508,2.1972245773362196,43.622919246673895
E01000128,2,0.21000421118256188,13.973591887790763,20,1.4886936332683078,2.28995151603326,5,12,14,1.254041901733449,1.8662160235859526,4,8,3.044522437723423,95.23618544303145,2.70805020110221,66.665329810122
E01000129,1,0.18526451883139713,14.212746296532291,176,1.6552737715850876,2.5863837362884228,8,25,160,1.4857014416594343,2.402568118192251,7,21,5.176149732573829,949.9930213845834,5.081404364984463,863.6300194405303
E01000130,2,0.2324020098947812,13.975694420187924,27,1.5035755066511498,2.0955398863924017,6,11,24,1.2990863371591326,1.9650462643680413,5,10,3.332204510175204,116.17799696407148,3.2188758248682006,103.26933063473021
E01000131,2,0.36260708705154315,13.576558425400107,28,1.5788163963655775,2.2612642683081665,7,13,18,1.4420930769667715,1.9795962153613327,6,10,3.367295829986474,77.21856797580989,2.9444389791664403,49.640507984449215
