NLC,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
551,4,1.9006454927856278,13.020577628268148,436,1.9029972137755162,3.103959783326491,9,43,378,1.7427261049255094,2.9620411597722645,8,38,6.07993319509559,229.39575089354977,5.937536205082426,198.87980238018764
552,4,1.701150285156175,10.555140798015636,498,1.9681206136954508,3.1033978793488166,9,41,445,1.8231769758298801,2.9351485557252444,8,36,6.212606095751519,292.74309527231503,6.100318952020064,261.58770561481964
553,1,0.2849151221458583,0.6564429896723645,1986,1.6293532590059776,2.9787940010460114,9,44,1966,1.5890303691054775,2.9440615278557143,8,40,7.594381242551817,6970.496985355853,7.584264818389059,6900.300641092451
555,0,1.9180357234383112,20.68958446254566,324,1.9026840290547953,3.106945178066563,9,40,290,1.7505877648218593,2.976577382737783,8,36,5.783825182329737,168.9228182982905,5.673323267171493,151.19634971143284
556,0,1.8688643011362214,19.3786561105081,357,1.8945916616249001,2.888827848987009,9,37,320,1.74213822039563,2.7573488175110863,8,33,5.8805329864007,191.02510534496977,5.771441123130016,171.2269851831662
558,4,1.5115151176055615,9.263634612986136,487,1.8088157490738184,3.151103734961929,9,42,448,1.6630243620060219,3.051549565141539,8,38,6.1903154058531475,322.19327106133875,6.1070228877422545,296.39134586340816
559,3,1.0301612611634658,10.358487582654138,101,2.014351931216814,3.091684836369996,9,33,78,1.913615747437046,2.914253770804392,8,28,4.624972813284271,98.04290241503591,4.3694478524670215,75.71630087497823
560,4,1.4748999314470046,12.15725962459408,800,1.8879074645968186,2.9460814397279576,9,41,750,1.7643901929497163,2.825274184417041,8,37,6.68586094706836,542.4096801029278,6.621405651764134,508.5090750964949
561,4,1.2066726930890275,11.23807996260065,199,1.9715919370851198,2.899166545925192,9,30,177,1.825765943498393,2.767227243640285,8,27,5.298317366548036,164.91630343483536,5.181783550292085,146.6843502912857
562,4,0.6375202160558152,4.949329544951715,461,1.817088046393456,2.875382933459413,9,40,438,1.7039026056556672,2.765092392765247,8,35,6.135564891081739,723.1143238909293,6.0844994130751715,687.0370365818374
563,4,1.7738017757893731,8.452749068720872,280,1.9320789481453486,2.954567335727911,9,37,235,1.776780529603615,2.828772652725348,8,33,5.638354669333745,157.85303849715396,5.4638318050256105,132.48380016725423
564,0,1.7819505872263741,20.31559762672631,353,1.9120729940236971,3.0298673542772527,9,39,324,1.7737994474667707,2.9004223676775616,8,35,5.869296913133774,198.0975244377839,5.783825182329737,181.82322356329172
