LSOA21CD,n_oas,loac_dominant_supergroup,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share
E01000402,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000403,6,E,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333
E01000404,7,F,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0
E01000405,4,F,0.0,0.0,0.25,0.0,0.0,0.75,0.0
E01000406,7,F,0.0,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285
E01000407,6,G,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5
E01000408,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
E01000409,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000410,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000411,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000412,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000413,4,G,0.0,0.0,0.0,0.0,0.0,0.25,0.75
E01000414,5,G,0.0,0.0,0.2,0.0,0.0,0.2,0.6
E01000415,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000416,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000417,5,G,0.0,0.2,0.0,0.0,0.2,0.2,0.4
E01000418,6,F,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666
E01000419,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000420,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000421,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000422,4,E,0.0,0.0,0.0,0.0,0.75,0.25,0.0
E01000423,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000424,6,G,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.5
E01000425,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000426,6,G,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334
E01000427,7,G,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571
E01000428,7,B,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285
E01000429,6,F,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0
E01000430,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000431,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000433,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000434,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000435,4,F,0.0,0.0,0.0,0.0,0.0,0.75,0.25
E01000436,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000437,4,G,0.0,0.0,0.0,0.0,0.0,0.25,0.75
E01000438,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
E01000439,4,F,0.0,0.0,0.0,0.0,0.0,0.75,0.25
E01000440,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000441,5,F,0.0,0.0,0.0,0.0,0.2,0.8,0.0
E01000442,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000443,4,G,0.0,0.0,0.0,0.0,0.0,0.25,0.75
E01000444,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000445,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000446,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000447,5,A,0.4,0.2,0.0,0.0,0.0,0.0,0.4
E01000448,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000449,5,G,0.2,0.0,0.0,0.0,0.0,0.0,0.8
E01000450,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000451,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000452,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000453,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000454,5,F,0.0,0.0,0.0,0.0,0.0,0.6,0.4
E01000455,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000456,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000457,6,B,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
E01000458,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000459,6,G,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
E01000460,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000461,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000462,6,B,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333
E01000463,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000464,4,F,0.0,0.0,0.0,0.0,0.25,0.75,0.0
E01000465,6,F,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
E01000466,5,F,0.0,0.0,0.0,0.0,0.4,0.6,0.0
E01000467,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000468,8,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000469,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000470,3,E,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
E01000471,4,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
